pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
9,1,9-H-001,363692.669,6591775.89,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,11.62,383.0
9,2,9-H-002,363693.511,6591767.934,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,11.07,364.613
9,3,9-H-003,363694.352,6591759.979,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.24,370.192
9,4,9-H-004,363695.194,6591752.023,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.56,380.75
9,5,9-H-005,363696.035,6591744.068,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,11.24,370.287
9,6,9-H-006,363696.877,6591736.112,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,11.89,391.749
9,7,9-H-007,363697.718,6591728.156,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.49,11.91,392.363
9,8,9-H-008,363698.56,6591720.201,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,11.73,386.427
9,9,9-H-009,363699.401,6591712.245,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.9,10.77,354.789
9,10,9-H-010,363700.243,6591704.289,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,11.23,370.019
9,11,9-H-011,363686.129,6591771.176,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.28,11.55,380.487
9,12,9-H-012,363686.97,6591763.22,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.1,365.703
9,13,9-H-013,363687.812,6591755.265,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.3,11.46,377.704
9,14,9-H-014,363688.653,6591747.309,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.49,11.96,394.037
9,15,9-H-015,363689.495,6591739.353,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.42,10.93,360.036
9,16,9-H-016,363690.336,6591731.398,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.79,11.37,374.794
9,17,9-H-017,363691.178,6591723.442,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,11.57,381.187
9,18,9-H-018,363692.019,6591715.487,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.87,11.81,389.26
9,19,9-H-019,363692.861,6591707.531,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.38,10.33,340.229
9,20,9-H-020,363678.747,6591774.417,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.11,366.18
9,21,9-H-021,363679.589,6591766.462,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.61,382.71
9,22,9-H-022,363680.43,6591758.506,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,11.8,388.75
9,23,9-H-023,363681.271,6591750.551,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.3,11.25,370.541
9,24,9-H-024,363682.113,6591742.595,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.34,11.27,371.351
9,25,9-H-025,363682.954,6591734.639,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.62,11.63,383.044
9,26,9-H-026,363683.796,6591726.684,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.76,11.37,374.653
9,27,9-H-027,363684.637,6591718.728,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.66,11.16,367.639
9,28,9-H-028,363685.479,6591710.772,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.26,11.86,390.803
9,29,9-H-029,363686.32,6591702.817,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.76,11.66,384.356
9,30,9-H-030,363672.207,6591769.703,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.01,362.894
9,31,9-H-031,363673.048,6591761.748,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.5,378.828
9,32,9-H-032,363673.89,6591753.792,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.95,11.91,392.353
9,33,9-H-033,363674.731,6591745.836,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.91,11.82,389.441
9,34,9-H-034,363675.572,6591737.881,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,10.97,361.59
9,35,9-H-035,363676.414,6591729.925,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,11.61,382.399
9,36,9-H-036,363677.255,6591721.97,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,11.97,394.262
9,37,9-H-037,363678.097,6591714.014,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,10.82,356.673
9,38,9-H-038,363678.938,6591706.058,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,11.25,370.824
9,39,9-H-039,363664.825,6591772.945,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.46,377.766
9,40,9-H-040,363665.666,6591764.989,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.6,11.45,377.142
9,41,9-H-041,363666.508,6591757.034,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,11.42,376.132
9,42,9-H-042,363667.349,6591749.078,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.34,11.98,394.7
9,43,9-H-043,363668.191,6591741.122,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,11.3,372.444
9,44,9-H-044,363669.032,6591733.167,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.29,10.8,355.742
9,45,9-H-045,363669.873,6591725.211,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.85,11.49,378.682
9,46,9-H-046,363670.715,6591717.256,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,3.77,10.29,339.062
9,47,9-H-047,363671.556,6591709.3,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.56,10.15,334.467
9,48,9-H-048,363672.398,6591701.344,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,12.05,397.187
9,49,9-H-049,363658.284,6591768.231,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,12.12,399.254
9,50,9-H-050,363659.126,6591760.275,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,12.42,409.242
9,51,9-H-051,363659.967,6591752.32,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.19,368.859
9,52,9-H-052,363660.809,6591744.364,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.52,11.05,364.036
9,53,9-H-053,363661.65,6591736.408,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.07,10.13,333.683
9,54,9-H-054,363662.492,6591728.453,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,11.27,371.334
9,55,9-H-055,363663.333,6591720.497,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.45,11.5,379.009
9,56,9-H-056,363664.175,6591712.541,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.9,10.58,348.495
9,57,9-H-057,363665.016,6591704.586,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.58,11.57,381.305
9,58,9-H-058,363665.857,6591696.63,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.3,10.9,359.211
9,59,9-H-059,363650.902,6591771.472,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,10.96,361.13
9,60,9-H-060,363651.744,6591763.517,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,10.97,361.537
9,61,9-H-061,363652.585,6591755.561,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.23,11.59,381.954
9,62,9-H-062,363653.427,6591747.605,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.8,12.09,398.307
9,63,9-H-063,363654.268,6591739.65,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.31,372.778
9,64,9-H-064,363655.11,6591731.694,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,10.88,358.555
9,65,9-H-065,363655.951,6591723.739,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.39,10.98,361.876
9,66,9-H-066,363656.793,6591715.783,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.37,10.89,358.972
9,67,9-H-067,363657.634,6591707.827,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.57,11.81,389.103
9,68,9-H-068,363658.476,6591699.872,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.0,11.05,364.069
9,69,9-H-069,363644.362,6591766.758,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.14,11.61,382.586
9,70,9-H-070,363645.203,6591758.803,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.39,375.152
9,71,9-H-071,363646.045,6591750.847,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.96,11.39,375.315
9,72,9-H-072,363646.886,6591742.891,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.27,11.84,390.115
