pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
11,1,11-H-001,363742.872,6591788.697,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.66,11.44,376.835
11,2,11-H-002,363744.908,6591780.961,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.57,381.141
11,3,11-H-003,363746.944,6591773.224,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.24,10.31,339.826
11,4,11-H-004,363748.98,6591765.488,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.18,10.52,346.539
11,5,11-H-005,363751.016,6591757.751,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.85,11.1,365.773
11,6,11-H-006,363753.052,6591750.014,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.69,10.93,360.234
11,7,11-H-007,363755.088,6591742.278,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
11,8,11-H-008,363757.124,6591734.541,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,11.27,371.374
11,9,11-H-009,363759.16,6591726.805,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.44,10.83,356.795
11,10,11-H-010,363737.12,6591783.048,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.0,362.46
11,11,11-H-011,363739.156,6591775.311,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.96,11.25,370.826
11,12,11-H-012,363741.192,6591767.575,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,11.54,380.23
11,13,11-H-013,363743.228,6591759.838,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.18,368.257
11,14,11-H-014,363745.264,6591752.101,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.71,11.67,384.57
11,15,11-H-015,363747.3,6591744.365,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.0,362.589
11,16,11-H-016,363749.336,6591736.628,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.03,11.16,367.83
11,17,11-H-017,363751.372,6591728.892,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.8,11.6,382.358
11,18,11-H-018,363753.408,6591721.155,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,10.82,356.601
11,19,11-H-019,363729.333,6591785.135,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.96,11.54,380.398
11,20,11-H-020,363731.369,6591777.398,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,11.6,382.34
11,21,11-H-021,363733.405,6591769.661,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.37,374.535
11,22,11-H-022,363735.441,6591761.925,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,10.55,347.708
11,23,11-H-023,363737.477,6591754.188,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,10.8,355.896
11,24,11-H-024,363739.513,6591746.452,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.14,11.37,374.598
11,25,11-H-025,363741.549,6591738.715,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.46,10.75,354.21
11,26,11-H-026,363743.585,6591730.978,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.16,367.64
11,27,11-H-027,363745.621,6591723.242,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.35,373.929
11,28,11-H-028,363723.581,6591779.485,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.76,11.29,371.946
11,29,11-H-029,363725.617,6591771.748,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.85,10.95,360.78
11,30,11-H-030,363727.653,6591764.012,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,12.07,397.556
11,31,11-H-031,363729.689,6591756.275,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.11,11.25,370.787
11,32,11-H-032,363731.725,6591748.538,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.21,11.0,362.497
11,33,11-H-033,363733.761,6591740.802,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.36,10.82,356.566
11,34,11-H-034,363735.797,6591733.065,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,10.93,360.065
11,35,11-H-035,363737.833,6591725.329,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.87,391.025
11,36,11-H-036,363739.869,6591717.592,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.02,362.946
11,37,11-H-037,363715.794,6591781.572,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
11,38,11-H-038,363717.83,6591773.835,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.95,10.98,361.812
11,39,11-H-039,363719.866,6591766.098,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.64,11.31,372.58
11,40,11-H-040,363721.902,6591758.362,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.28,371.771
11,41,11-H-041,363723.938,6591750.625,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.98,11.15,367.28
11,42,11-H-042,363725.974,6591742.889,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.66,384.288
11,43,11-H-043,363728.01,6591735.152,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.94,10.62,349.851
11,44,11-H-044,363730.046,6591727.415,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.64,11.04,363.734
11,45,11-H-045,363732.081,6591719.679,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.78,11.66,384.197
11,46,11-H-046,363710.042,6591775.922,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.59,11.58,381.664
11,47,11-H-047,363712.078,6591768.185,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.83,11.18,368.358
11,48,11-H-048,363714.114,6591760.449,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.47,377.914
11,49,11-H-049,363716.15,6591752.712,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.19,11.41,375.898
11,50,11-H-050,363718.186,6591744.976,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.37,11.91,392.339
11,51,11-H-051,363720.222,6591737.239,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.53,379.856
11,52,11-H-052,363722.258,6591729.502,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.33,11.82,389.428
11,53,11-H-053,363724.294,6591721.766,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.01,10.48,345.387
11,54,11-H-054,363726.33,6591714.029,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
11,55,11-H-055,363702.255,6591778.009,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.0,11.25,370.71
11,56,11-H-056,363704.291,6591770.272,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.72,10.94,360.333
11,57,11-H-057,363706.327,6591762.536,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.18,11.41,376.06
11,58,11-H-058,363708.363,6591754.799,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.51,11.7,385.486
11,59,11-H-059,363710.399,6591747.062,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.21,11.2,369.167
11,60,11-H-060,363712.435,6591739.326,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.56,11.73,386.591
11,61,11-H-061,363714.471,6591731.589,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.9,10.75,354.048
11,62,11-H-062,363716.506,6591723.853,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.06,364.311
11,63,11-H-063,363718.542,6591716.116,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.52,11.47,378.065
11,64,11-H-064,363698.539,6591764.622,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,10.99,362.258
11,65,11-H-065,363700.575,6591756.886,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.83,11.14,366.894
11,66,11-H-066,363702.611,6591749.149,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.94,10.58,348.629
11,67,11-H-067,363704.647,6591741.413,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.25,370.616
11,68,11-H-068,363706.683,6591733.676,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.8,11.19,368.67
11,69,11-H-069,363708.719,6591725.939,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.17,367.944
11,70,11-H-070,363710.755,6591718.203,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.54,380.239
11,71,11-H-071,363712.791,6591710.466,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.22,11.07,364.655
11,72,11-H-072,363702.967,6591720.29,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.0,11.11,366.036
11,73,11-H-073,363705.003,6591712.553,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,11.92,392.766
