pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
4,1,4-H-001,363594.419,6591695.845,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.36,11.25,370.679
4,2,4-H-002,363586.499,6591696.977,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.02,362.966
4,3,4-H-003,363578.579,6591698.108,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,11.2,369.089
4,4,4-H-004,363570.66,6591699.239,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.0,10.94,360.52
4,5,4-H-005,363562.74,6591700.371,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.53,379.903
4,6,4-H-006,363591.449,6591703.341,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.79,388.375
4,7,4-H-007,363583.529,6591704.472,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,10.67,351.719
4,8,4-H-008,363575.609,6591705.603,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.98,11.4,375.674
4,9,4-H-009,363567.69,6591706.735,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,10.75,354.065
4,10,4-H-010,363559.77,6591707.866,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.01,11.43,376.644
4,11,4-H-011,363596.398,6591709.705,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.3,372.381
4,12,4-H-012,363588.479,6591710.836,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,11.02,363.089
4,13,4-H-013,363580.559,6591711.967,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,12.11,398.893
4,14,4-H-014,363572.64,6591713.099,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.6,11.23,369.926
4,15,4-H-015,363564.72,6591714.23,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.71,385.95
4,16,4-H-016,363556.8,6591715.361,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.52,11.56,380.876
4,17,4-H-017,363593.429,6591717.2,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.72,11.27,371.472
4,18,4-H-018,363585.509,6591718.331,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.06,9.85,324.47
