pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
26,1,26-H-001,363701.288,6591903.713,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.32,373.083
26,2,26-H-002,363702.535,6591911.615,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.37,10.86,357.677
26,3,26-H-003,363703.783,6591919.517,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.79,10.57,348.361
26,4,26-H-004,363705.031,6591927.419,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.91,11.37,374.52
26,5,26-H-005,363707.578,6591898.67,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.85,11.65,383.798
26,6,26-H-006,363708.826,6591906.572,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.3,10.23,337.017
26,7,26-H-007,363710.073,6591914.475,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.29,10.72,353.182
26,8,26-H-008,363711.321,6591922.377,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,11.72,386.043
26,9,26-H-009,363715.116,6591901.53,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,12.11,398.94
26,10,26-H-010,363716.364,6591909.432,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,10.66,351.119
26,11,26-H-011,363717.612,6591917.334,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.56,11.75,387.164
26,12,26-H-012,363721.407,6591896.487,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.21,11.0,362.572
26,13,26-H-013,363722.654,6591904.389,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.9,11.09,365.375
26,14,26-H-014,363723.902,6591912.291,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.21,11.77,387.731
26,15,26-H-015,363725.15,6591920.193,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
26,16,26-H-016,363728.945,6591899.346,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.95,11.56,380.908
26,17,26-H-017,363730.193,6591907.248,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,10.74,353.957
26,18,26-H-018,363731.44,6591915.15,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.29,371.914
26,19,26-H-019,363735.235,6591894.303,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.27,11.98,394.809
26,20,26-H-020,363736.483,6591902.205,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
26,21,26-H-021,363737.731,6591910.108,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.72,11.23,370.084
26,22,26-H-022,363738.979,6591918.01,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.22,11.37,374.526
26,23,26-H-023,363741.526,6591889.261,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.47,11.32,373.08
26,24,26-H-024,363742.774,6591897.163,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.07,10.88,358.567
26,25,26-H-025,363744.021,6591905.065,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.35,373.847
26,26,26-H-026,363745.269,6591912.967,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.35,11.28,371.692
26,27,26-H-027,363749.064,6591892.12,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.3,11.34,373.768
