pattern_number,hole_number,hole_id,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
18,1,18-H-001,363579.184,6591904.788,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.53,12.59,414.818
18,2,18-H-002,363587.159,6591905.418,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.0,362.416
18,3,18-H-003,363595.135,6591906.048,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.6,11.14,366.96
18,4,18-H-004,363603.11,6591906.677,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.09,12.27,404.289
18,5,18-H-005,363611.085,6591907.307,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,11.07,364.741
18,6,18-H-006,363575.747,6591897.495,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.36,374.265
18,7,18-H-007,363583.723,6591898.125,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.2,368.983
18,8,18-H-008,363591.698,6591898.755,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.64,11.19,368.562
18,9,18-H-009,363599.673,6591899.384,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.4,11.74,386.912
18,10,18-H-010,363607.648,6591900.014,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.83,389.825
18,11,18-H-011,363615.623,6591900.643,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.35,373.863
18,12,18-H-012,363623.599,6591901.273,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.66,11.32,373.148
18,13,18-H-013,363631.574,6591901.903,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.07,11.32,372.966
18,14,18-H-014,363639.549,6591902.532,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,11.07,364.606
18,15,18-H-015,363647.524,6591903.162,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.91,11.57,381.197
18,16,18-H-016,363655.499,6591903.791,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,10.7,352.521
18,17,18-H-017,363572.311,6591890.202,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.57,11.83,389.915
18,18,18-H-018,363580.286,6591890.832,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.22,12.31,405.697
18,19,18-H-019,363588.261,6591891.461,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.3,11.29,371.879
18,20,18-H-020,363596.236,6591892.091,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,11.3,372.429
