pattern_id,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
A185-001-13,1,13-H-001,1,charge,363729.556,6591838.885,199.977,183.906,16.071,ANFO,0.8,229.0,3.2,4.73,12.0,11.34,395.4,373.788,23.259,-5.47,Minor variance
A185-001-13,2,13-H-002,1,charge,363731.381,6591831.224,199.964,184.032,15.932,ANFO,0.8,229.0,3.2,5.74,12.0,10.2,395.4,335.961,21.087,-15.03,Undercharged - review
A185-001-13,3,13-H-003,1,charge,363733.429,6591823.587,200.042,183.253,16.789,ANFO,0.8,229.0,3.2,6.47,12.0,10.32,395.4,340.034,20.253,-14.0,Undercharged - review
A185-001-13,4,13-H-004,1,charge,363735.85,6591816.045,200.019,183.814,16.205,ANFO,0.8,229.0,3.2,6.57,12.0,9.63,395.4,317.32,19.582,-19.75,Undercharged - review
A185-001-13,5,13-H-005,1,charge,363737.339,6591808.151,199.985,183.445,16.54,ANFO,0.8,229.0,3.2,3.9,12.0,12.64,395.4,416.593,25.187,5.36,Minor variance
A185-001-13,6,13-H-006,1,charge,363739.385,6591800.045,199.926,181.484,18.442,ANFO,0.8,229.0,3.2,5.52,12.0,12.93,395.4,425.912,23.095,7.72,Minor variance
A185-001-13,7,13-H-007,1,charge,363723.505,6591833.4,199.919,183.506,16.413,ANFO,0.8,229.0,3.2,6.22,12.0,10.19,395.4,335.71,20.454,-15.1,Undercharged - review
A185-001-13,8,13-H-008,1,charge,363726.114,6591825.746,199.989,184.138,15.851,ANFO,0.8,229.0,3.2,5.03,12.0,10.82,395.4,356.586,22.496,-9.82,Minor variance
A185-001-13,9,13-H-009,1,charge,363727.728,6591817.857,199.989,184.418,15.571,ANFO,0.8,229.0,3.2,4.53,12.0,11.04,395.4,363.674,23.356,-8.02,Minor variance
A185-001-13,10,13-H-010,1,charge,363729.707,6591810.755,199.984,184.511,15.473,ANFO,0.8,229.0,3.2,4.3,12.0,11.17,395.4,368.204,23.797,-6.88,Minor variance
A185-001-13,11,13-H-011,1,charge,363731.616,6591802.075,199.905,183.809,16.096,ANFO,0.8,229.0,3.2,4.97,12.0,11.13,395.4,366.721,22.783,-7.25,Minor variance
A185-001-13,12,13-H-012,1,charge,363733.584,6591795.208,199.96,183.329,16.631,ANFO,0.8,229.0,3.2,6.2,12.0,10.44,395.4,343.84,20.675,-13.04,Undercharged - review
A185-001-13,13,13-H-013,1,charge,363715.668,6591835.29,200.077,184.187,15.89,ANFO,0.8,229.0,3.2,5.29,12.0,10.6,395.4,349.113,21.971,-11.71,Undercharged - review
A185-001-13,14,13-H-014,1,charge,363717.55,6591828.19,200.027,183.908,16.119,ANFO,0.8,229.0,3.2,4.58,12.0,11.54,395.4,380.297,23.593,-3.82,As charged
A185-001-13,15,13-H-015,1,charge,363720.069,6591820.094,199.93,183.712,16.218,ANFO,0.8,229.0,3.2,4.37,12.0,11.85,395.4,390.373,24.07,-1.27,As charged
A185-001-13,16,13-H-016,1,charge,363722.147,6591812.403,200.006,185.002,15.004,ANFO,0.8,229.0,3.2,5.34,12.0,9.66,395.4,318.267,21.212,-19.51,Undercharged - review
A185-001-13,17,13-H-017,1,charge,363723.678,6591804.472,200.045,183.425,16.62,ANFO,0.8,229.0,3.2,4.28,12.0,12.34,395.4,406.437,24.455,2.79,As charged
A185-001-13,18,13-H-018,1,charge,363725.466,6591796.567,199.975,183.692,16.283,ANFO,0.8,229.0,3.2,4.34,12.0,11.94,395.4,393.513,24.167,-0.48,As charged
A185-001-13,19,13-H-019,1,charge,363710.17,6591829.869,200.003,184.339,15.664,ANFO,0.8,229.0,3.2,4.45,12.0,11.21,395.4,369.386,23.582,-6.58,Minor variance
A185-001-13,20,13-H-020,1,charge,363712.028,6591822.213,199.965,182.702,17.263,ANFO,0.8,229.0,3.2,5.63,12.0,11.63,395.4,383.304,22.204,-3.06,As charged
A185-001-13,21,13-H-021,1,charge,363714.091,6591814.278,200.008,183.841,16.167,ANFO,0.8,229.0,3.2,5.04,12.0,11.13,395.4,366.776,22.687,-7.24,Minor variance
A185-001-13,22,13-H-022,1,charge,363715.91,6591807.28,200.015,185.3,14.715,ANFO,0.8,229.0,3.2,4.87,12.0,9.84,395.4,324.389,22.045,-17.96,Undercharged - review
A185-001-13,23,13-H-023,1,charge,363717.948,6591798.511,199.998,181.992,18.006,ANFO,0.8,229.0,3.2,5.94,12.0,12.07,395.4,397.677,22.086,0.58,As charged
A185-001-13,24,13-H-024,1,charge,363720.006,6591790.864,200.031,183.85,16.181,ANFO,0.8,229.0,3.2,4.32,12.0,11.87,395.4,390.973,24.162,-1.12,As charged
A185-001-13,25,13-H-025,1,charge,363702.487,6591832.273,200.113,183.296,16.817,ANFO,0.8,229.0,3.2,5.87,12.0,10.95,395.4,360.849,21.457,-8.74,Minor variance
A185-001-13,26,13-H-026,1,charge,363704.466,6591824.367,200.046,183.983,16.063,ANFO,0.8,229.0,3.2,4.96,12.0,11.1,395.4,365.797,22.773,-7.49,Minor variance
A185-001-13,27,13-H-027,1,charge,363706.062,6591816.654,200.013,183.776,16.237,ANFO,0.8,229.0,3.2,5.92,12.0,10.32,395.4,339.92,20.935,-14.03,Undercharged - review
A185-001-13,29,13-H-029,1,charge,363710.464,6591800.559,199.991,183.854,16.137,ANFO,0.8,229.0,3.2,5.16,12.0,10.97,395.4,361.535,22.404,-8.56,Minor variance
A185-001-13,30,13-H-030,1,charge,363712.108,6591793.298,199.885,182.814,17.071,ANFO,0.8,229.0,3.2,5.64,12.0,11.43,395.4,376.652,22.064,-4.74,As charged
A185-001-13,31,13-H-031,1,charge,363695.059,6591834.099,200.031,183.773,16.258,ANFO,0.8,229.0,3.2,4.43,12.0,11.83,395.4,389.853,23.979,-1.4,As charged
A185-001-13,32,13-H-032,1,charge,363696.373,6591826.093,199.996,183.486,16.51,ANFO,0.8,229.0,3.2,6.01,12.0,10.5,395.4,345.941,20.953,-12.51,Undercharged - review
A185-001-13,33,13-H-033,1,charge,363698.215,6591818.863,199.985,184.032,15.953,ANFO,0.8,229.0,3.2,4.53,12.0,11.43,395.4,376.503,23.601,-4.78,As charged
A185-001-13,34,13-H-034,1,charge,363700.543,6591810.846,200.024,183.712,16.312,ANFO,0.8,229.0,3.2,5.53,12.0,10.78,395.4,355.114,21.77,-10.19,Undercharged - review
A185-001-13,35,13-H-035,1,charge,363702.527,6591803.554,200.0,184.726,15.274,ANFO,0.8,229.0,3.2,4.14,12.0,11.14,395.4,367.024,24.029,-7.18,Minor variance
