pattern_id,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
A185-001-23,1,23-H-001,1,charge,363333.481,6591820.174,200.069,183.722,16.347,ANFO,0.8,229.0,3.2,5.69,12.0,10.65,395.4,351.039,21.474,-11.22,Undercharged - review
A185-001-23,2,23-H-002,1,charge,363335.962,6591827.826,200.007,183.983,16.024,ANFO,0.8,229.0,3.2,5.58,12.0,10.44,395.4,344.038,21.47,-12.99,Undercharged - review
A185-001-23,3,23-H-003,1,charge,363337.651,6591835.683,200.016,183.222,16.794,ANFO,0.8,229.0,3.2,6.6,12.0,10.19,395.4,335.736,19.991,-15.09,Undercharged - review
A185-001-23,4,23-H-004,1,charge,363341.422,6591822.247,200.088,185.075,15.013,ANFO,0.8,229.0,3.2,5.44,12.0,9.57,395.4,315.299,21.002,-20.26,Undercharged - review
A185-001-23,5,23-H-005,1,charge,363343.262,6591829.953,200.067,183.579,16.488,ANFO,0.8,229.0,3.2,5.92,12.0,10.57,395.4,348.247,21.121,-11.93,Undercharged - review
A185-001-23,6,23-H-006,1,charge,363345.615,6591837.811,200.023,183.276,16.747,ANFO,0.8,229.0,3.2,6.64,12.0,10.11,395.4,332.984,19.883,-15.79,Undercharged - review
A185-001-23,7,23-H-007,1,charge,363347.587,6591846.075,199.951,183.939,16.012,ANFO,0.8,229.0,3.2,5.89,12.0,10.13,395.4,333.627,20.836,-15.62,Undercharged - review
A185-001-23,8,23-H-008,1,charge,363349.351,6591853.19,199.922,184.275,15.647,ANFO,0.8,229.0,3.2,5.5,12.0,10.14,395.4,334.252,21.362,-15.46,Undercharged - review
A185-001-23,9,23-H-009,1,charge,363347.225,6591816.766,199.964,183.708,16.256,ANFO,0.8,229.0,3.2,6.44,12.0,9.81,395.4,323.357,19.892,-18.22,Undercharged - review
A185-001-23,10,23-H-010,1,charge,363349.402,6591824.073,199.949,184.132,15.817,ANFO,0.8,229.0,3.2,5.94,12.0,9.87,395.4,325.307,20.567,-17.73,Undercharged - review
A185-001-23,11,23-H-011,1,charge,363351.183,6591832.148,199.96,183.813,16.147,ANFO,0.8,229.0,3.2,5.66,12.0,10.49,395.4,345.555,21.401,-12.61,Undercharged - review
A185-001-23,12,23-H-012,1,charge,363353.02,6591839.715,199.982,183.605,16.377,ANFO,0.8,229.0,3.2,6.46,12.0,9.92,395.4,326.835,19.957,-17.34,Undercharged - review
A185-001-23,13,23-H-013,1,charge,363355.324,6591847.853,199.988,185.008,14.98,ANFO,0.8,229.0,3.2,5.81,12.0,9.17,395.4,302.051,20.164,-23.61,Undercharged - review
A185-001-23,14,23-H-014,1,charge,363357.631,6591855.837,200.032,184.745,15.287,ANFO,0.8,229.0,3.2,5.25,12.0,10.04,395.4,330.667,21.631,-16.37,Undercharged - review
A185-001-23,15,23-H-015,1,charge,363359.501,6591862.907,200.03,186.371,13.659,ANFO,0.8,229.0,3.2,4.56,12.0,9.1,395.4,299.866,21.954,-24.16,Undercharged - review
A185-001-23,16,23-H-016,1,charge,363355.16,6591818.816,200.027,181.767,18.26,ANFO,0.8,229.0,3.2,5.76,12.0,12.5,395.4,411.772,22.55,4.14,As charged
A185-001-23,17,23-H-017,1,charge,363357.232,6591826.903,200.015,183.427,16.588,ANFO,0.8,229.0,3.2,5.36,12.0,11.23,395.4,369.982,22.304,-6.43,Minor variance
A185-001-23,18,23-H-018,1,charge,363359.161,6591834.348,200.063,183.988,16.075,ANFO,0.8,229.0,3.2,4.98,12.0,11.1,395.4,365.685,22.749,-7.52,Minor variance
A185-001-23,19,23-H-019,1,charge,363361.684,6591842.139,200.036,184.273,15.763,ANFO,0.8,229.0,3.2,5.5,12.0,10.26,395.4,338.021,21.444,-14.51,Undercharged - review
A185-001-23,20,23-H-020,1,charge,363362.822,6591849.788,200.041,183.956,16.085,ANFO,0.8,229.0,3.2,4.85,12.0,11.24,395.4,370.254,23.019,-6.36,Minor variance
A185-001-23,21,23-H-021,1,charge,363365.311,6591858.102,199.923,183.338,16.585,ANFO,0.8,229.0,3.2,5.22,12.0,11.36,395.4,374.342,22.571,-5.33,Minor variance
A185-001-23,22,23-H-022,1,charge,363367.22,6591865.083,199.944,184.325,15.619,ANFO,0.8,229.0,3.2,4.78,12.0,10.84,395.4,357.144,22.866,-9.68,Minor variance
A185-001-23,23,23-H-023,1,charge,363369.301,6591873.032,200.004,183.452,16.552,ANFO,0.8,229.0,3.2,5.51,12.0,11.04,395.4,363.863,21.983,-7.98,Minor variance
A185-001-23,24,23-H-024,1,charge,363365.152,6591828.574,200.03,183.823,16.207,ANFO,0.8,229.0,3.2,5.69,12.0,10.51,395.4,346.463,21.377,-12.38,Undercharged - review
A185-001-23,25,23-H-025,1,charge,363368.107,6591835.732,199.968,184.458,15.51,ANFO,0.8,229.0,3.2,6.23,12.0,9.28,395.4,305.659,19.707,-22.7,Undercharged - review
