pattern_id,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
A185-001-17,1,17-H-001,1,charge,363783.656,6591840.199,199.991,183.269,16.722,ANFO,0.8,229.0,3.2,4.96,12.0,11.76,395.4,387.53,23.175,-1.99,As charged
A185-001-17,2,17-H-002,1,charge,363785.551,6591832.543,200.01,183.587,16.423,ANFO,0.8,229.0,3.2,4.45,12.0,11.97,395.4,394.428,24.017,-0.25,As charged
A185-001-17,3,17-H-003,1,charge,363787.153,6591824.212,200.028,184.075,15.953,ANFO,0.8,229.0,3.2,5.17,12.0,10.78,395.4,355.198,22.265,-10.17,Undercharged - review
A185-001-17,4,17-H-004,1,charge,363788.736,6591816.793,200.01,183.121,16.889,ANFO,0.8,229.0,3.2,4.74,12.0,12.15,395.4,400.452,23.711,1.28,As charged
A185-001-17,5,17-H-005,1,charge,363790.456,6591808.961,199.984,183.926,16.058,ANFO,0.8,229.0,3.2,5.28,12.0,10.78,395.4,355.273,22.124,-10.15,Undercharged - review
A185-001-17,6,17-H-006,1,charge,363792.61,6591801.417,199.939,184.493,15.446,ANFO,0.8,229.0,3.2,4.69,12.0,10.76,395.4,354.387,22.944,-10.37,Undercharged - review
A185-001-17,7,17-H-007,1,charge,363794.371,6591793.481,199.89,183.648,16.242,ANFO,0.8,229.0,3.2,4.32,12.0,11.92,395.4,392.781,24.183,-0.66,As charged
A185-001-17,8,17-H-008,1,charge,363795.733,6591786.552,199.896,183.924,15.972,ANFO,0.8,229.0,3.2,4.72,12.0,11.25,395.4,370.794,23.215,-6.22,Minor variance
A185-001-17,9,17-H-009,1,charge,363797.613,6591777.636,200.037,183.796,16.241,ANFO,0.8,229.0,3.2,4.77,12.0,11.47,395.4,378.047,23.277,-4.39,As charged
A185-001-17,10,17-H-010,1,charge,363799.836,6591769.924,200.153,184.003,16.15,ANFO,0.8,229.0,3.2,3.63,12.0,12.52,395.4,412.555,25.545,4.34,As charged
A185-001-17,11,17-H-011,1,charge,363801.612,6591762.6,200.063,185.209,14.854,ANFO,0.8,229.0,3.2,4.38,12.0,10.47,395.4,345.077,23.231,-12.73,Undercharged - review
A185-001-17,12,17-H-012,1,charge,363802.985,6591754.409,200.041,184.235,15.806,ANFO,0.8,229.0,3.2,5.09,12.0,10.71,395.4,353.03,22.335,-10.72,Undercharged - review
A185-001-17,13,17-H-013,1,charge,363775.456,6591842.408,199.952,183.78,16.172,ANFO,0.8,229.0,3.2,4.81,12.0,11.37,395.4,374.525,23.159,-5.28,Minor variance
A185-001-17,14,17-H-014,1,charge,363777.808,6591834.719,200.03,183.337,16.693,ANFO,0.8,229.0,3.2,4.29,12.0,12.4,395.4,408.724,24.485,3.37,As charged
A185-001-17,16,17-H-016,1,charge,363780.854,6591819.248,200.034,182.897,17.137,ANFO,0.8,229.0,3.2,4.38,12.0,12.75,395.4,420.216,24.521,6.28,Minor variance
A185-001-17,17,17-H-017,1,charge,363782.954,6591811.485,200.067,183.451,16.616,ANFO,0.8,229.0,3.2,4.75,12.0,11.86,395.4,390.877,23.524,-1.14,As charged
A185-001-17,18,17-H-018,1,charge,363785.524,6591803.805,200.01,183.785,16.225,ANFO,0.8,229.0,3.2,5.14,12.0,11.09,395.4,365.254,22.512,-7.62,Minor variance
A185-001-17,19,17-H-019,1,charge,363786.758,6591795.847,200.018,184.98,15.038,ANFO,0.8,229.0,3.2,4.37,12.0,10.67,395.4,351.542,23.377,-11.09,Undercharged - review
A185-001-17,20,17-H-020,1,charge,363788.399,6591788.079,200.085,183.121,16.964,ANFO,0.8,229.0,3.2,5.43,12.0,11.54,395.4,380.2,22.412,-3.84,As charged
A185-001-17,21,17-H-021,1,charge,363789.94,6591780.153,200.063,183.55,16.513,ANFO,0.8,229.0,3.2,4.25,12.0,12.26,395.4,403.962,24.463,2.17,As charged
A185-001-17,22,17-H-022,1,charge,363792.253,6591772.526,200.044,184.152,15.892,ANFO,0.8,229.0,3.2,5.21,12.0,10.69,395.4,352.098,22.156,-10.95,Undercharged - review
A185-001-17,23,17-H-023,1,charge,363793.624,6591764.538,199.98,184.259,15.721,ANFO,0.8,229.0,3.2,4.18,12.0,11.54,395.4,380.207,24.185,-3.84,As charged
A185-001-17,24,17-H-024,1,charge,363795.583,6591756.76,199.981,184.212,15.769,ANFO,0.8,229.0,3.2,4.24,12.0,11.53,395.4,379.806,24.086,-3.94,As charged
A185-001-17,25,17-H-025,1,charge,363797.256,6591748.962,200.034,183.777,16.257,ANFO,0.8,229.0,3.2,4.57,12.0,11.68,395.4,384.937,23.678,-2.65,As charged
A185-001-17,26,17-H-026,1,charge,363768.133,6591845.021,200.025,183.89,16.135,ANFO,0.8,229.0,3.2,3.74,12.0,12.4,395.4,408.512,25.318,3.32,As charged
A185-001-17,27,17-H-027,1,charge,363770.049,6591836.48,200.031,183.565,16.466,ANFO,0.8,229.0,3.2,3.84,12.0,12.63,395.4,416.147,25.273,5.25,Minor variance
A185-001-17,28,17-H-028,1,charge,363771.856,6591829.331,200.093,184.215,15.878,ANFO,0.8,229.0,3.2,4.96,12.0,10.92,395.4,359.854,22.664,-8.99,Minor variance
A185-001-17,29,17-H-029,1,charge,363772.844,6591820.937,200.094,184.104,15.99,ANFO,0.8,229.0,3.2,4.01,12.0,11.98,395.4,394.84,24.693,-0.14,As charged
A185-001-17,30,17-H-030,1,charge,363775.395,6591813.677,199.967,183.031,16.936,ANFO,0.8,229.0,3.2,6.63,12.0,10.31,395.4,339.615,20.053,-14.11,Undercharged - review
A185-001-17,31,17-H-031,1,charge,363777.337,6591805.798,199.968,183.528,16.44,ANFO,0.8,229.0,3.2,5.82,12.0,10.62,395.4,349.902,21.284,-11.51,Undercharged - review
A185-001-17,32,17-H-032,1,charge,363779.639,6591798.498,199.866,184.642,15.224,ANFO,0.8,229.0,3.2,4.58,12.0,10.65,395.4,350.794,23.042,-11.28,Undercharged - review
A185-001-17,33,17-H-033,1,charge,363780.416,6591790.069,200.028,183.646,16.382,ANFO,0.8,229.0,3.2,4.15,12.0,12.23,395.4,402.951,24.597,1.91,As charged
A185-001-17,34,17-H-034,1,charge,363782.025,6591782.359,199.966,183.973,15.993,ANFO,0.8,229.0,3.2,5.02,12.0,10.98,395.4,361.666,22.614,-8.53,Minor variance
A185-001-17,35,17-H-035,1,charge,363784.632,6591774.603,200.035,184.141,15.894,ANFO,0.8,229.0,3.2,4.85,12.0,11.04,395.4,363.859,22.893,-7.98,Minor variance
A185-001-17,36,17-H-036,1,charge,363785.868,6591766.993,199.968,182.507,17.461,ANFO,0.8,229.0,3.2,6.44,12.0,11.03,395.4,363.293,20.806,-8.12,Minor variance
A185-001-17,37,17-H-037,1,charge,363787.977,6591759.019,199.94,182.894,17.046,ANFO,0.8,229.0,3.2,5.61,12.0,11.44,395.4,376.976,22.115,-4.66,As charged
A185-001-17,38,17-H-038,1,charge,363789.455,6591751.432,200.035,184.278,15.757,ANFO,0.8,229.0,3.2,4.78,12.0,10.98,395.4,361.671,22.953,-8.53,Minor variance
A185-001-17,39,17-H-039,1,charge,363791.298,6591743.556,200.035,184.077,15.958,ANFO,0.8,229.0,3.2,5.2,12.0,10.76,395.4,354.401,22.208,-10.37,Undercharged - review
A185-001-17,40,17-H-040,1,charge,363762.33,6591838.837,200.001,183.244,16.757,ANFO,0.8,229.0,3.2,4.72,12.0,12.04,395.4,396.73,23.675,0.34,As charged
A185-001-17,41,17-H-041,1,charge,363763.826,6591831.5,200.122,183.767,16.355,ANFO,0.8,229.0,3.2,4.16,12.0,12.19,395.4,401.794,24.567,1.62,As charged
