pattern_number,hole_number,hole_id,x,y,collar_rl,design_toe_rl,design_bench_height
1505708,1,{8311f49d-9ba3-4ccb-8e62-ee665b6e884a},229410.2,2729053.2,1520.9,1512.9,6.7999999999999545
1505708,2,{98ff027f-9b97-4ae7-91d5-a33ff4e9c079},229379.2,2729018.8,1520.9,1512.9,6.7999999999999545
1505708,3,{ea75c675-851f-4325-8c4b-2e9c82318eda},229353.7,2729006.7,1520.7,1512.7,6.7999999999999545
1505708,21,{770dce16-5430-4ad1-a5a9-c0a01290fdad},229438.1,2729087.3,1519.7,1503.5,15.0
1505708,22,{1273cd2f-0561-483d-9140-5da03f7754e1},229433.4,2729084.2,1519.6,1503.5,14.900000000000093
1505708,23,{2b7f910d-e8b4-473d-ba16-1ef70ad655e2},229428.7,2729081.2,1519.9,1503.5,15.200000000000044
1505708,24,{f5a41286-54e0-4c21-b304-badf883df8bb},229424.0,2729078.1,1520.1,1503.5,15.400000000000093
1505708,25,{674e262d-dc62-4067-9fc6-66bde9b7fffd},229436.0,2729080.3,1519.6,1503.5,14.900000000000093
1505708,26,{0e9e3c85-67bc-4231-88a3-0a2f59d0b6e5},229440.6,2729081.9,1519.5,1503.5,14.799999999999956
1505708,27,{a957bb8e-1715-420f-9175-1736ed0a3330},229443.2,2729076.6,1519.4,1503.5,14.700000000000044
1505708,28,{c57e9fd5-db15-4ef9-b23e-9923b84b5a56},229437.6,2729076.3,1519.7,1503.5,15.0
1505708,29,{61c1ae8a-fc5a-4e00-aa24-5107dbbe5274},229432.1,2729076.0,1519.7,1503.5,15.0
1505708,30,{551006ea-7053-4dd9-9917-c8d087c376dc},229426.5,2729074.3,1519.9,1503.5,15.200000000000044
1505708,31,{08f02d6f-b977-46ce-81a2-90faac12baf1},229419.4,2729075.1,1520.4,1503.5,15.700000000000044
1505708,32,{c228ca75-62cd-4850-856c-a3b7a76a6d65},229414.7,2729072.0,1520.6,1503.5,15.900000000000093
1505708,33,{6661d898-1373-4e2b-a980-16c8005476e0},229410.0,2729069.0,1520.8,1503.5,16.09999999999991
1505708,34,{45002d3d-849b-4cc0-83fa-39ebf833f5b3},229417.1,2729068.3,1520.4,1503.5,15.700000000000044
1505708,35,{f4e4e61e-0ae3-4cf3-8162-1123d0695fa3},229422.7,2729070.0,1520.1,1503.5,15.400000000000093
1505708,36,{cde46b20-afda-404b-8fd9-6758ec7e81af},229429.0,2729070.5,1519.8,1503.5,15.099999999999907
1505708,37,{40726d75-9261-4699-bdba-c37a248f822e},229435.5,2729070.7,1519.5,1503.5,14.799999999999956
1505708,38,{d05290a2-b0cb-407b-9c02-27dc83bb4597},229441.1,2729071.0,1519.4,1503.5,14.700000000000044
1505708,39,{36205da4-425c-4c62-816d-35d20961a214},229446.7,2729071.2,1519.2,1503.5,14.5
1505708,40,{892a4ffe-35a6-4405-b858-bd09fa4ef22d},229451.1,2729065.9,1519.1,1503.5,14.400000000000093
1505708,41,{77b60463-7f56-4dc6-9a17-6274d9b8664b},229445.1,2729065.6,1519.2,1503.5,14.5
1505708,42,{644bc8c6-54f1-4be2-aefb-3f5d6a303fa4},229439.0,2729065.4,1519.4,1503.5,14.700000000000044
1505708,43,{b1c76824-13cf-4cfd-97f9-47bf7822ae53},229432.5,2729065.1,1519.6,1503.5,14.900000000000093
1505708,44,{0f95e34f-85c7-49d4-a419-3a760d1cb300},229426.0,2729064.8,1519.9,1503.5,15.200000000000044
1505708,45,{0acb6154-c3d3-4fa0-8f49-5631d130862f},229419.5,2729064.6,1520.2,1503.5,15.5
1505708,46,{c1f1d672-06b3-4ed1-a00c-d7a0e4712371},229413.2,2729064.0,1520.6,1503.5,15.900000000000093
1505708,47,{fe80d819-26cd-430e-8439-6f91036a4c9c},229407.6,2729062.4,1520.8,1503.5,16.09999999999991
1505708,48,{f45d46b8-d214-4c26-be39-b00a7888ba4c},229405.2,2729066.1,1520.8,1503.5,16.09999999999991
1505708,49,{567e8cd7-c3c8-42d7-bd19-bc523803015f},229400.0,2729063.7,1520.8,1503.5,16.09999999999991
1505708,50,{2d26288a-09c8-423d-9031-c476851a19dd},229394.9,2729061.3,1520.8,1503.5,16.09999999999991
1505708,51,{da5890c5-15e0-4af7-8b31-50b9484366d3},229403.5,2729058.3,1521.0,1503.5,16.299999999999955
1505708,52,{b07ec393-b703-49c8-8161-c08957fbc0fb},229410.0,2729058.6,1520.8,1503.5,16.09999999999991
1505708,53,{828cf8fa-b7c9-482f-8ba0-1dcfc05fac7e},229416.5,2729058.9,1520.4,1503.5,15.700000000000044
1505708,54,{f2a2ae35-0913-4422-b16c-3ca80486153d},229423.0,2729059.2,1520.0,1503.5,15.299999999999956
1505708,55,{d020a1da-f824-4f9e-bb32-a9c35f05fb62},229429.5,2729059.5,1519.6,1503.5,14.900000000000093
1505708,56,{d7b5cdd4-9ba2-4bc8-b2d9-cc72fa492128},229436.0,2729059.8,1519.4,1503.5,14.700000000000044
1505708,57,{c1a07a2b-509e-46c3-8972-1b77b932e1df},229442.5,2729060.0,1519.3,1503.5,14.599999999999907
1505708,58,{6735582b-cebd-42e9-af13-02e35dcfdb09},229449.0,2729060.3,1519.2,1503.5,14.5
1505708,59,{0873f158-a162-4070-b6dd-b592cc49bf75},229455.5,2729060.6,1519.3,1503.5,14.599999999999907
1505708,60,{0c1f3d8f-bcc6-47c5-bb02-15fb5390a877},229459.0,2729055.2,1519.2,1503.5,14.5
