pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
9,1,9-H-001,1,charge,363692.712,6591775.732,200.003,183.675,16.328,ANFO,0.8,229.0,4.7,4.9,11.62,11.42,383.0,376.393,23.052,-1.73,As charged
9,2,9-H-002,1,charge,363693.362,6591768.142,200.016,184.032,15.984,ANFO,0.8,229.0,4.92,5.11,11.07,10.87,364.613,358.166,22.408,-1.77,As charged
9,3,9-H-003,1,charge,363694.559,6591760.141,199.983,183.907,16.076,ANFO,0.8,229.0,4.84,4.67,11.24,11.41,370.192,375.972,23.387,1.56,As charged
9,4,9-H-004,1,charge,363694.916,6591751.996,199.955,183.581,16.374,ANFO,0.8,229.0,4.82,3.11,11.56,13.26,380.75,436.928,26.684,14.75,Over design - review
9,5,9-H-005,1,charge,363696.039,6591744.234,199.939,183.839,16.1,ANFO,0.8,229.0,4.86,5.07,11.24,11.03,370.287,363.537,22.58,-1.82,As charged
9,6,9-H-006,1,charge,363696.645,6591735.673,199.935,183.392,16.543,ANFO,0.8,229.0,4.65,4.08,11.89,12.46,391.749,410.683,24.825,4.83,As charged
9,7,9-H-007,1,charge,363697.697,6591728.323,199.962,183.569,16.393,ANFO,0.8,229.0,4.49,4.14,11.91,12.26,392.363,403.889,24.638,2.94,As charged
9,8,9-H-008,1,charge,363698.248,6591720.143,200.125,183.509,16.616,ANFO,0.8,229.0,4.89,3.62,11.73,13.0,386.427,428.243,25.773,10.82,Over design - review
9,9,9-H-009,1,charge,363699.035,6591712.056,199.968,184.302,15.666,ANFO,0.8,229.0,4.9,4.15,10.77,11.51,354.789,379.295,24.211,6.91,Minor variance
9,10,9-H-010,1,charge,363700.265,6591704.282,200.081,183.995,16.086,ANFO,0.8,229.0,4.86,4.94,11.23,11.14,370.019,367.176,22.826,-0.77,As charged
9,11,9-H-011,1,charge,363685.777,6591770.967,200.038,183.21,16.828,ANFO,0.8,229.0,5.28,4.77,11.55,12.06,380.487,397.238,23.606,4.4,As charged
9,12,9-H-012,1,charge,363685.986,6591762.532,199.932,184.062,15.87,ANFO,0.8,229.0,4.77,4.27,11.1,11.6,365.703,382.149,24.08,4.5,As charged
9,13,9-H-013,1,charge,363687.846,6591755.295,200.025,184.257,15.768,ANFO,0.8,229.0,4.3,3.61,11.46,12.16,377.704,400.748,25.415,6.1,Minor variance
9,14,9-H-014,1,charge,363688.352,6591747.526,200.017,183.571,16.446,ANFO,0.8,229.0,4.49,3.47,11.96,12.98,394.037,427.694,26.006,8.54,Minor variance
9,15,9-H-015,1,charge,363689.711,6591739.304,200.024,184.673,15.351,ANFO,0.8,229.0,4.42,3.41,10.93,11.94,360.036,393.418,25.628,9.27,Minor variance
9,16,9-H-016,1,charge,363690.44,6591731.621,199.913,183.746,16.167,ANFO,0.8,229.0,4.79,4.46,11.37,11.71,374.794,385.81,23.864,2.94,As charged
9,17,9-H-017,1,charge,363691.277,6591723.73,200.047,183.781,16.266,ANFO,0.8,229.0,4.7,3.65,11.57,12.62,381.187,415.803,25.563,9.08,Minor variance
9,18,9-H-018,1,charge,363691.876,6591715.758,199.962,183.283,16.679,ANFO,0.8,229.0,4.87,5.26,11.81,11.42,389.26,376.285,22.56,-3.33,As charged
9,19,9-H-019,1,charge,363692.781,6591707.092,199.976,184.268,15.708,ANFO,0.8,229.0,5.38,5.01,10.33,10.7,340.229,352.639,22.45,3.65,As charged
9,20,9-H-020,1,charge,363678.279,6591774.352,200.022,184.091,15.931,ANFO,0.8,229.0,4.82,4.66,11.11,11.27,366.18,371.442,23.316,1.44,As charged
9,21,9-H-021,1,charge,363679.583,6591766.411,200.052,183.47,16.582,ANFO,0.8,229.0,4.97,4.82,11.61,11.76,382.71,387.477,23.367,1.25,As charged
9,22,9-H-022,1,charge,363680.465,6591758.687,199.945,183.497,16.448,ANFO,0.8,229.0,4.65,3.58,11.8,12.87,388.75,424.035,25.78,9.08,Minor variance
9,23,9-H-023,1,charge,363680.975,6591750.097,200.031,183.488,16.543,ANFO,0.8,229.0,5.3,4.7,11.25,11.84,370.541,390.089,23.58,5.28,As charged
9,24,9-H-024,1,charge,363681.783,6591742.591,199.962,183.347,16.615,ANFO,0.8,229.0,5.34,4.49,11.27,12.12,371.351,399.379,24.037,7.55,Minor variance
9,25,9-H-025,1,charge,363682.718,6591734.914,199.96,183.711,16.249,ANFO,0.8,229.0,4.62,4.64,11.63,11.61,383.044,382.56,23.544,-0.13,As charged
9,26,9-H-026,1,charge,363684.006,6591726.969,199.95,183.817,16.133,ANFO,0.8,229.0,4.76,4.48,11.37,11.65,374.653,383.8,23.79,2.44,As charged
9,27,9-H-027,1,charge,363684.549,6591718.677,199.936,184.117,15.819,ANFO,0.8,229.0,4.66,3.55,11.16,12.26,367.639,404.115,25.546,9.92,Minor variance
9,28,9-H-028,1,charge,363685.564,6591710.976,199.98,183.856,16.124,ANFO,0.8,229.0,4.26,3.93,11.86,12.2,390.803,401.897,24.925,2.84,As charged
9,29,9-H-029,1,charge,363686.535,6591703.085,199.937,183.515,16.422,ANFO,0.8,229.0,4.76,4.09,11.66,12.33,384.356,406.218,24.736,5.69,As charged
9,30,9-H-030,1,charge,363672.259,6591769.451,200.019,184.076,15.943,ANFO,0.8,229.0,4.93,4.55,11.01,11.39,362.894,375.317,23.541,3.42,As charged
9,31,9-H-031,1,charge,363673.347,6591761.562,199.995,183.829,16.166,ANFO,0.8,229.0,4.67,4.13,11.5,12.04,378.828,396.7,24.539,4.72,As charged
9,32,9-H-032,1,charge,363673.997,6591753.953,199.974,183.112,16.862,ANFO,0.8,229.0,4.95,5.48,11.91,11.39,392.353,375.183,22.25,-4.38,As charged
9,33,9-H-033,1,charge,363674.207,6591745.942,200.039,183.313,16.726,ANFO,0.8,229.0,4.91,4.06,11.82,12.66,389.441,417.227,24.945,7.13,Minor variance
9,34,9-H-034,1,charge,363675.508,6591737.944,200.042,184.297,15.745,ANFO,0.8,229.0,4.77,3.57,10.97,12.17,361.59,401.141,25.477,10.94,Over design - review
9,35,9-H-035,1,charge,363676.436,6591730.078,200.117,183.624,16.493,ANFO,0.8,229.0,4.89,4.3,11.61,12.19,382.399,401.806,24.362,5.08,As charged
9,36,9-H-036,1,charge,363677.084,6591721.766,200.021,183.352,16.669,ANFO,0.8,229.0,4.7,5.34,11.97,11.33,394.262,373.385,22.4,-5.3,As charged
