timestamp,date,shift,tph,power_kw,util,css_mm,pattern,notes
2026-05-19T15:00:00,2026-05-19,D,3965.0,1711.7,95.6,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T16:00:00,2026-05-19,D,3972.8,1563.4,91.0,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T17:00:00,2026-05-19,D,4217.0,1706.3,90.1,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T18:00:00,2026-05-19,N,4214.6,1776.3,89.6,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T19:00:00,2026-05-19,N,4049.6,1560.7,95.9,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T20:00:00,2026-05-19,N,3961.4,1540.9,84.7,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T21:00:00,2026-05-19,N,4299.2,1756.1,95.7,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T22:00:00,2026-05-19,N,4187.0,1570.9,84.3,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-19T23:00:00,2026-05-19,N,4030.4,1736.2,95.2,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T00:00:00,2026-05-20,N,4389.1,1643.9,82.4,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T01:00:00,2026-05-20,N,4457.5,1728.2,91.7,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T02:00:00,2026-05-20,N,4032.8,1671.6,93.4,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T03:00:00,2026-05-20,N,4471.3,1847.5,99.6,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T04:00:00,2026-05-20,N,4692.7,1849.0,93.1,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T05:00:00,2026-05-20,N,4620.7,1818.4,88.9,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T06:00:00,2026-05-20,D,4654.9,1821.0,93.7,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T07:00:00,2026-05-20,D,4304.0,1671.6,92.0,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T08:00:00,2026-05-20,D,4340.5,1639.6,93.1,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T09:00:00,2026-05-20,D,4179.8,1783.6,89.1,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T10:00:00,2026-05-20,D,4840.2,1956.0,89.6,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-05-20T11:00:00,2026-05-20,D,4104.2,1664.8,93.3,130.0,A-185-08-23,A-185-08-23 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
