timestamp,date,shift,tph,power_kw,util,css_mm,pattern,notes
2026-03-09T22:00:00,2026-03-09,N,3632.1,1650.6,93.3,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-09T23:00:00,2026-03-09,N,3944.6,1652.5,91.8,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T00:00:00,2026-03-10,N,3697.5,1493.0,86.3,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T01:00:00,2026-03-10,N,3659.7,1539.3,97.1,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T02:00:00,2026-03-10,N,3973.4,1675.1,88.8,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T03:00:00,2026-03-10,N,3966.2,1717.3,88.4,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T04:00:00,2026-03-10,N,4575.1,2067.5,85.1,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T05:00:00,2026-03-10,N,4414.9,1858.4,91.8,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T06:00:00,2026-03-10,D,4396.3,1873.1,88.8,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T07:00:00,2026-03-10,D,4097.0,1696.5,85.0,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T08:00:00,2026-03-10,D,3983.0,1715.3,89.0,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T09:00:00,2026-03-10,D,4067.6,1879.0,92.0,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T10:00:00,2026-03-10,D,4282.4,1745.7,87.3,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T11:00:00,2026-03-10,D,4122.8,1968.9,100.0,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T12:00:00,2026-03-10,D,3616.5,1663.4,88.8,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T13:00:00,2026-03-10,D,3993.8,1795.2,91.6,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T14:00:00,2026-03-10,D,4063.4,1760.5,89.3,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T15:00:00,2026-03-10,D,4366.3,1857.5,88.7,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-03-10T16:00:00,2026-03-10,D,4096.4,1701.3,93.6,130.0,A-185-08-16,A-185-08-16 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
