timestamp,date,shift,tph,power_kw,util,css_mm,pattern,notes
2025-10-04T13:00:00,2025-10-04,D,4308.2,1770.2,86.8,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T14:00:00,2025-10-04,D,3645.9,1512.6,73.4,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T15:00:00,2025-10-04,D,4581.7,1811.1,86.5,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T16:00:00,2025-10-04,D,4238.0,1787.9,92.7,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T17:00:00,2025-10-04,D,3897.9,1741.3,91.2,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T18:00:00,2025-10-04,N,3708.3,1755.0,88.3,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T19:00:00,2025-10-04,N,3494.1,1581.7,87.3,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T20:00:00,2025-10-04,N,3413.8,1472.9,90.1,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T21:00:00,2025-10-04,N,3658.5,1707.0,88.0,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T22:00:00,2025-10-04,N,3843.9,1769.8,90.8,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-04T23:00:00,2025-10-04,N,3980.6,1639.0,94.9,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-05T00:00:00,2025-10-05,N,3644.1,1493.4,82.5,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-05T01:00:00,2025-10-05,N,3595.5,1606.8,89.2,130.0,A-185-08-04,A-185-08-04 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
