timestamp,date,shift,tph,power_kw,util,css_mm,pattern,notes
2025-11-04T00:00:00,2025-11-04,N,3591.3,1562.6,92.6,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T01:00:00,2025-11-04,N,3874.5,1605.1,99.8,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T02:00:00,2025-11-04,N,3789.3,1520.7,87.4,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T03:00:00,2025-11-04,N,3872.1,1566.8,93.3,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T04:00:00,2025-11-04,N,4137.2,1894.0,99.2,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T05:00:00,2025-11-04,N,3683.1,1473.8,83.3,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T06:00:00,2025-11-04,D,3771.3,1591.9,94.9,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T07:00:00,2025-11-04,D,4017.2,1549.8,93.6,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T08:00:00,2025-11-04,D,3884.1,1539.3,95.6,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T09:00:00,2025-11-04,D,3971.6,1675.4,93.0,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T10:00:00,2025-11-04,D,3768.3,1636.4,89.5,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T11:00:00,2025-11-04,D,3756.9,1518.7,88.7,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T12:00:00,2025-11-04,D,3921.8,1721.4,94.7,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T13:00:00,2025-11-04,D,3326.8,1220.0,87.4,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T14:00:00,2025-11-04,D,3617.1,1440.8,88.3,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-11-04T15:00:00,2025-11-04,D,3789.9,1547.9,90.8,130.0,A-185-08-07,A-185-08-07 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
