timestamp,date,shift,tph,power_kw,util,css_mm,pattern,notes
2026-06-19T06:00:00,2026-06-19,D,3954.2,1449.4,81.4,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T07:00:00,2026-06-19,D,4064.6,1631.8,96.6,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T08:00:00,2026-06-19,D,4053.2,1552.3,93.4,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T09:00:00,2026-06-19,D,3932.0,1493.6,83.9,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T10:00:00,2026-06-19,D,3854.1,1430.8,89.0,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T11:00:00,2026-06-19,D,3623.7,1484.9,93.9,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T12:00:00,2026-06-19,D,3729.9,1423.4,90.9,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T13:00:00,2026-06-19,D,3552.3,1269.5,84.0,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T14:00:00,2026-06-19,D,3539.1,1546.4,96.9,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T15:00:00,2026-06-19,D,3718.5,1452.7,91.2,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T16:00:00,2026-06-19,D,3869.7,1662.7,93.6,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T17:00:00,2026-06-19,D,3968.0,1531.1,92.5,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T18:00:00,2026-06-19,N,3921.2,1539.2,86.7,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T19:00:00,2026-06-19,N,3779.7,1557.8,87.0,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T20:00:00,2026-06-19,N,3865.5,1607.5,89.1,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T21:00:00,2026-06-19,N,3825.9,1399.5,82.1,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-06-19T22:00:00,2026-06-19,N,3812.7,1481.5,92.7,130.0,A-185-08-27,A-185-08-27 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
