Leach_Feed_Throughput_M3Day,Leach_Feed_Dry_t,Percent_Solids
3369.29868707483,2534.1569999999997,51.041666666666664
3356.7481200229595,2527.7555,51.083333333333336
3376.4934980061626,2542.6245,51.083333333333336
3375.5029648932323,2547.996,51.166666666666664
3389.353888837532,2552.30885,51.083333333333336
3387.498022810831,2553.9797,51.125
3398.1683576719574,2555.8707999999997,51.041666666666664
3217.781612637231,2428.9401500000004,51.166666666666664
3369.609374025739,2537.4405,51.083333333333336
3356.909918280832,2543.1043,51.291666666666664
3384.0826442905013,2551.4047,51.125
3381.4315810604016,2549.4059500000003,51.125
2853.818734433579,2151.61605,51.125
3366.131027820002,2540.9215999999997,51.166666666666664
3395.553872810831,2560.05335,51.125
3370.278929448372,2537.9447,51.083333333333336
3367.7977879154223,2539.12685,51.125
3424.0175473922905,2575.3127999999997,51.041666666666664
3374.0802919602534,2553.0464,51.25
2215.3161902949914,1669.0175,51.1
3245.5718621787914,2449.9175999999998,51.166666666666664
3362.298895861632,2534.9809999999998,51.125
3386.635253371939,2556.3992000000003,51.166666666666664
3369.9591588155395,2540.7563999999998,51.125
3359.774328727022,2545.2743,51.291666666666664
3326.2387988997557,2507.79375,51.125
3338.9765739203804,2523.4532,51.208333333333336
3252.6918454248366,2443.51155,51.0
3381.0167617857473,2549.0932000000003,51.125
2929.522847237833,2215.2146000000002,51.22727272727273
3497.1771886621323,2478.1818000000003,49.0
3170.68108314437,2246.8190000000004,49.0
2875.3254635274684,2032.0608,48.90909090909091
3580.1447923339015,2530.7397,48.916666666666664
3530.7952646555495,2532.8896000000004,49.416666666666664
2966.737022765246,2157.02625,49.875
3514.9537252525256,2527.7028,49.5
3473.322642809448,2494.7114,49.458333333333336
3446.7134824707846,2509.0559999999996,49.916666666666664
3506.194251666047,2546.1461,49.833333333333336
3237.2577185185182,2362.3232,50.0
3444.0192,2513.2032,50.0
3247.732418518519,2369.9669000000004,50.0
3321.4764333333333,2423.7801,50.0
2259.02712037037,1648.4792499999999,50.0
2180.43339224537,1555.6518999999998,49.23076923076923
2023.706461747243,1439.3424,49.125
1022.5194073465661,718.1831999999999,48.7
3594.5625395431352,2525.3228,48.708333333333336
3525.8916496630154,2532.4690499999997,49.458333333333336
3537.273797166556,2522.0367499999998,49.208333333333336
3540.9087354497365,2509.1710000000003,49.0
3601.2831125472417,2551.9537,49.0
3630.858032343988,2547.67575,48.666666666666664
2575.5205821263753,1847.84145,49.421052631578945
3583.052132728648,2539.0348000000004,49.0
3445.5633313069525,2511.2731999999996,49.958333333333336
3606.0365974061488,2561.61165,49.083333333333336
3600.9533887755106,2551.72005,49.0
3642.0695126984133,2580.8559,49.0
3170.860230383481,2255.6061,49.130434782608695
3964.924313575733,2534.8672,45.583333333333336
3252.8519231568016,2455.926,51.17391304347826
3243.875275163398,2436.8882999999996,51.0
3365.2227705994187,2567.7977499999997,51.541666666666664
3589.0161628127116,2107.4328,42.869565217391305
5479.275581672891,2322.5512499999995,33.458333333333336
4838.023331133005,2135.59225,34.541666666666664
2985.5100481114778,1535.2604000000001,38.84615384615385
5276.919377441077,2434.4827,35.75
5063.019699056604,2119.09365,33.125
5531.178635978836,2483.1182,35.0
6096.0739674981105,2507.027,32.666666666666664
5285.677278526021,2369.2828499999996,34.958333333333336
4776.243888888889,2265.27,36.52173913043478
3128.716782979476,1224.50655,31.4
4835.225035322776,2108.106,34.208333333333336
5078.308681699346,2196.9309000000003,34.0
4919.640524171309,2201.83935,34.916666666666664
4765.732949673202,2119.0749,34.73913043478261
3378.648456340238,2405.9843499999997,49.166666666666664
3485.284019690577,2497.1820000000002,49.375
3388.848372732524,2336.9867999999997,48.083333333333336
4307.420877591497,2479.4703499999996,42.25
4554.986184749455,2524.3108,41.083333333333336
3400.2909560067683,2427.3450000000003,49.25
3466.330351517683,2520.2657,49.875
3415.8874579524336,2480.5666499999998,49.833333333333336
3535.2033785567683,2551.60225,49.625
3343.5111692921205,2234.87245,47.04347826086956
3425.9823797872336,2424.74715,48.958333333333336
3649.5764173513126,2241.5736,44.291666666666664
3728.8602051699518,2613.2127,48.625
3275.911144100802,2287.2864,48.5
2804.613676975945,1958.2199999999998,48.5
3601.572992745323,2514.668,48.5
1712.277272668289,1210.8036000000002,48.92857142857143
3571.559272544762,2534.0042,49.041666666666664
3740.7622602914385,2553.2679,47.73913043478261
3674.9334360895773,2556.3797,48.375
2687.067364864864,1957.9724999999999,49.95
2722.521877738236,1962.9168,49.588235294117645
3453.529654994945,2547.824,50.375
2214.7941128726284,1515.98265,47.833333333333336
3495.776325473564,2486.3383999999996,49.125
3387.8172523955136,2469.1854,49.958333333333336
3605.2873993699886,2517.26145,48.5
3504.795474074074,2447.0966,48.5
3553.9198909177094,2506.02195,48.833333333333336
3583.3770745014253,2520.5718500000003,48.75
3406.4827192662065,2533.25835,50.65
3533.987857728283,2508.3749,49.05555555555556
3476.4049727272727,2499.9813,49.5
3512.4501946079813,2528.9925000000003,49.541666666666664
3348.385381661272,2551.8935999999994,51.5
3356.0069506881773,2505.984,50.791666666666664
3368.605226932335,2551.96435,51.291666666666664
3555.3328,2544.2532,49.333333333333336
3610.5958875590354,2609.20195,49.666666666666664
3535.150504508856,2567.1737,49.833333333333336
3478.333318100807,2528.9927,49.875
3514.937444076258,2524.6012,49.458333333333336
3583.1993571876965,2551.6479999999997,49.166666666666664
3566.814242441422,2527.5282500000003,49.0
3557.1576150433807,2567.44815,49.625
3543.520099273323,2538.9077499999994,49.375
2855.3776669447116,2051.9483999999998,49.476190476190474
3662.153797107939,2643.2312,49.625
3440.310718128654,2478.7632,49.56521739130435
3588.4616301255237,2602.7136,49.791666666666664
3350.26145497076,2413.8822,49.56521739130435
3643.7121306623326,2537.8019000000004,48.416666666666664
3601.0230069564377,2654.5382500000005,50.34782608695652
3529.601727599021,2516.5666499999998,49.208333333333336
3602.301308121827,2571.5528999999997,49.25
3092.7742777777776,2175.4784999999997,48.75
1715.0264015033697,1108.1385,45.92857142857143
