pattern_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
A185-001-07,7-H-002,363641.023,6591761.799,200.006,199.256,0,0.75,0.838873,34.392857,69.001087,15.49525,0.486964
A185-001-07,7-H-002,363641.023,6591761.799,199.256,198.506,1,1.5,0.836006,38.448942,70.615738,14.880194,0.55869
A185-001-07,7-H-002,363641.023,6591761.799,198.506,197.756,2,2.25,0.794186,37.577884,69.535061,15.006129,0.565981
A185-001-07,7-H-002,363641.023,6591761.799,197.756,197.006,3,3.0,0.801183,38.192177,69.033088,14.654869,0.56605
A185-001-07,7-H-002,363641.023,6591761.799,197.006,196.256,4,3.75,0.812352,36.469504,71.721026,14.99009,0.553923
A185-001-07,7-H-002,363641.023,6591761.799,196.256,195.506,5,4.5,0.790828,37.219845,70.675238,15.992471,0.5723
A185-001-07,7-H-002,363641.023,6591761.799,195.506,194.756,6,5.25,0.807481,37.413139,69.439232,16.28669,0.553654
A185-001-07,7-H-002,363641.023,6591761.799,194.756,194.006,7,6.0,0.780141,38.525725,71.15098,15.574742,0.604376
A185-001-07,7-H-002,363641.023,6591761.799,194.006,193.256,8,6.75,0.760646,39.208996,70.609229,15.791006,0.626015
A185-001-07,7-H-002,363641.023,6591761.799,193.256,192.506,9,7.5,0.738255,40.877025,69.890735,15.671244,0.665463
A185-001-07,7-H-002,363641.023,6591761.799,192.506,191.756,10,8.25,0.747586,40.843359,69.456678,17.561489,0.652804
A185-001-07,7-H-002,363641.023,6591761.799,191.756,191.006,11,9.0,0.703878,42.260082,68.791297,16.511587,0.710202
A185-001-07,7-H-002,363641.023,6591761.799,191.006,190.256,12,9.75,0.693153,42.091623,70.0197,16.10103,0.731034
A185-001-07,7-H-002,363641.023,6591761.799,190.256,189.506,13,10.5,0.706105,40.215884,68.811083,17.652857,0.674151
A185-001-07,7-H-002,363641.023,6591761.799,189.506,188.756,14,11.25,0.68534,40.247227,69.230453,17.338759,0.699238
A185-001-07,7-H-002,363641.023,6591761.799,188.756,188.006,15,12.0,0.680117,42.546001,68.864119,17.568832,0.740813
A185-001-07,7-H-002,363641.023,6591761.799,188.006,187.256,16,12.75,0.684803,42.275535,68.326419,17.121468,0.725348
A185-001-07,7-H-002,363641.023,6591761.799,187.256,186.506,17,13.5,0.679351,40.836349,69.168417,16.863071,0.71498
A185-001-07,7-H-002,363641.023,6591761.799,186.506,185.756,18,14.25,0.659223,41.359614,67.962882,16.872504,0.733194
A185-001-07,7-H-002,363641.023,6591761.799,185.756,185.006,19,15.0,0.719887,40.736511,68.55349,16.603685,0.667193
A185-001-07,7-H-002,363641.023,6591761.799,185.006,184.256,20,15.75,0.727818,39.797223,70.205287,16.847249,0.660291
A185-001-07,7-H-002,363641.023,6591761.799,184.256,183.829,21,16.177,0.735335,39.250644,69.670776,16.349338,0.639661
A185-001-07,7-H-003,363641.421,6591753.804,199.983,199.233,0,0.75,0.777602,37.421324,69.823503,15.215949,0.578018
