pattern_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
A185-001-12,12-H-001,363461.297,6591845.484,200.048,199.298,0,0.75,0.795516,33.595645,70.151705,15.913355,0.509928
A185-001-12,12-H-001,363461.297,6591845.484,199.298,198.548,1,1.5,0.831165,35.39268,69.424922,15.286189,0.508764
A185-001-12,12-H-001,363461.297,6591845.484,198.548,197.798,2,2.25,0.78911,34.640922,68.693595,15.799081,0.518996
A185-001-12,12-H-001,363461.297,6591845.484,197.798,197.048,3,3.0,0.768364,35.129562,70.168838,14.886955,0.551903
A185-001-12,12-H-001,363461.297,6591845.484,197.048,196.298,4,3.75,0.790219,35.763865,69.910296,16.134353,0.544491
A185-001-12,12-H-001,363461.297,6591845.484,196.298,195.548,5,4.5,0.766842,36.444106,71.163923,15.046861,0.581748
A185-001-12,12-H-001,363461.297,6591845.484,195.548,194.798,6,5.25,0.737753,37.754482,69.978758,15.953722,0.615998
A185-001-12,12-H-001,363461.297,6591845.484,194.798,194.048,7,6.0,0.736372,38.464132,69.349424,16.319941,0.623122
A185-001-12,12-H-001,363461.297,6591845.484,194.048,193.298,8,6.75,0.72973,39.628108,69.645105,16.633659,0.650534
A185-001-12,12-H-001,363461.297,6591845.484,193.298,192.548,9,7.5,0.694826,37.326835,68.603224,15.585096,0.633834
A185-001-12,12-H-001,363461.297,6591845.484,192.548,191.798,10,8.25,0.711007,38.93395,69.47941,17.290797,0.654476
A185-001-12,12-H-001,363461.297,6591845.484,191.798,191.048,11,9.0,0.693433,38.610093,68.742918,16.603326,0.658331
A185-001-12,12-H-001,363461.297,6591845.484,191.048,190.298,12,9.75,0.664879,41.070892,68.170071,17.598916,0.724197
A185-001-12,12-H-001,363461.297,6591845.484,190.298,189.548,13,10.5,0.689543,39.905338,69.551017,16.768331,0.692214
A185-001-12,12-H-001,363461.297,6591845.484,189.548,188.798,14,11.25,0.719693,38.788825,68.482921,17.056944,0.634963
A185-001-12,12-H-001,363461.297,6591845.484,188.798,188.048,15,12.0,0.711039,37.522276,69.074523,15.507614,0.626914
A185-001-12,12-H-001,363461.297,6591845.484,188.048,187.298,16,12.75,0.718676,39.553676,69.028853,16.569389,0.653449
A185-001-12,12-H-001,363461.297,6591845.484,187.298,186.548,17,13.5,0.702753,37.175122,70.892882,17.083216,0.645117
A185-001-12,12-H-001,363461.297,6591845.484,186.548,185.798,18,14.25,0.738749,37.184269,70.088516,17.002031,0.606983
A185-001-12,12-H-001,363461.297,6591845.484,185.798,185.048,19,15.0,0.748323,36.170925,69.764249,15.783974,0.580134
A185-001-12,12-H-001,363461.297,6591845.484,185.048,184.298,20,15.75,0.763488,37.343678,70.695678,15.083936,0.594751
A185-001-12,12-H-001,363461.297,6591845.484,184.298,183.548,21,16.5,0.76068,37.600073,69.578768,16.35126,0.591713
A185-001-12,12-H-001,363461.297,6591845.484,183.548,183.48,22,16.568,0.724958,38.215337,68.605863,15.748206,0.622029
A185-001-12,12-H-002,363461.439,6591853.242,199.998,199.248,0,0.75,0.782645,35.156312,68.829401,15.973065,0.532091
A185-001-12,12-H-002,363461.439,6591853.242,199.248,198.498,1,1.5,0.779306,36.614088,69.876091,14.99506,0.564754
A185-001-12,12-H-002,363461.439,6591853.242,198.498,197.748,2,2.25,0.758393,36.23143,69.235384,15.553819,0.56905
A185-001-12,12-H-002,363461.439,6591853.242,197.748,196.998,3,3.0,0.769854,36.925702,69.751947,15.387919,0.575541
A185-001-12,12-H-002,363461.439,6591853.242,196.998,196.248,4,3.75,0.773455,37.004947,69.859067,16.16962,0.575069
A185-001-12,12-H-002,363461.439,6591853.242,196.248,195.498,5,4.5,0.727872,37.888608,70.422613,15.870872,0.630497
A185-001-12,12-H-002,363461.439,6591853.242,195.498,194.748,6,5.25,0.730162,38.621534,69.848119,16.886927,0.63556
A185-001-12,12-H-002,363461.439,6591853.242,194.748,193.998,7,6.0,0.699786,38.705094,69.173355,17.702172,0.658189
A185-001-12,12-H-002,363461.439,6591853.242,193.998,193.248,8,6.75,0.682689,40.592279,69.259837,16.700377,0.708167
A185-001-12,12-H-002,363461.439,6591853.242,193.248,192.498,9,7.5,0.681128,42.869344,67.718656,16.612833,0.732844
A185-001-12,12-H-002,363461.439,6591853.242,192.498,191.748,10,8.25,0.657482,41.279818,67.291962,17.221354,0.726536
