pattern_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
A185-001-02,2-H-001,363546.242,6591667.236,200.13,199.38,0,0.75,0.884363,33.544386,69.968004,15.40435,0.560771
A185-001-02,2-H-001,363546.242,6591667.236,199.38,198.63,1,1.5,0.88289,33.682572,71.421543,15.7933,0.564718
A185-001-02,2-H-001,363546.242,6591667.236,198.63,197.88,2,2.25,0.866699,34.044353,69.984853,14.604647,0.616437
A185-001-02,2-H-001,363546.242,6591667.236,197.88,197.13,3,3.0,0.841208,32.421092,70.705361,16.059693,0.586304
A185-001-02,2-H-001,363546.242,6591667.236,197.13,196.38,4,3.75,0.874493,31.835119,72.615832,18.141558,0.578018
A185-001-02,2-H-001,363546.242,6591667.236,196.38,195.63,5,4.5,0.847998,32.892319,70.93318,15.003805,0.60128
A185-001-02,2-H-001,363546.242,6591667.236,195.63,194.88,6,5.25,0.879619,33.003746,72.043676,16.52974,0.615213
A185-001-02,2-H-001,363546.242,6591667.236,194.88,194.13,7,6.0,0.839355,36.00539,69.192745,16.582756,0.640661
A185-001-02,2-H-001,363546.242,6591667.236,194.13,193.38,8,6.75,0.817236,34.521926,71.423448,15.966614,0.685862
A185-001-02,2-H-001,363546.242,6591667.236,193.38,192.63,9,7.5,0.789478,34.560355,70.988694,15.498658,0.67576
A185-001-02,2-H-001,363546.242,6591667.236,192.63,191.88,10,8.25,0.822059,36.2813,71.543089,18.071171,0.698629
A185-001-02,2-H-001,363546.242,6591667.236,191.88,191.13,11,9.0,0.790861,36.425266,70.369571,16.983856,0.71411
A185-001-02,2-H-001,363546.242,6591667.236,191.13,190.38,12,9.75,0.800038,36.129001,72.015276,16.613797,0.697106
A185-001-02,2-H-001,363546.242,6591667.236,190.38,189.63,13,10.5,0.794674,35.194222,69.99359,16.966499,0.727043
A185-001-02,2-H-001,363546.242,6591667.236,189.63,188.88,14,11.25,0.774267,35.369123,70.476809,16.555682,0.715196
