pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
17,1,17-H-001,363783.656,6591840.199,199.991,183.269,16.722,ANFO,0.8,229.0,5.11,4.96,11.61,11.76,382.607,387.53,23.175,1.29,As charged
17,2,17-H-002,363785.551,6591832.543,200.01,183.587,16.423,ANFO,0.8,229.0,4.64,4.45,11.78,11.97,388.148,394.428,24.017,1.62,As charged
17,3,17-H-003,363787.153,6591824.212,200.028,184.075,15.953,ANFO,0.8,229.0,4.7,5.17,11.26,10.78,370.902,355.198,22.265,-4.23,As charged
17,4,17-H-004,363788.736,6591816.793,200.01,183.121,16.889,ANFO,0.8,229.0,5.47,4.74,11.42,12.15,376.158,400.452,23.711,6.46,Minor variance
17,5,17-H-005,363790.456,6591808.961,199.984,183.926,16.058,ANFO,0.8,229.0,4.51,5.28,11.55,10.78,380.483,355.273,22.124,-6.63,Minor variance
17,6,17-H-006,363792.61,6591801.417,199.939,184.493,15.446,ANFO,0.8,229.0,4.85,4.69,10.59,10.76,349.055,354.387,22.944,1.53,As charged
17,7,17-H-007,363794.371,6591793.481,199.89,183.648,16.242,ANFO,0.8,229.0,4.98,4.32,11.26,11.92,371.044,392.781,24.183,5.86,As charged
17,8,17-H-008,363795.733,6591786.552,199.896,183.924,15.972,ANFO,0.8,229.0,4.7,4.72,11.28,11.25,371.527,370.794,23.215,-0.2,As charged
17,9,17-H-009,363797.613,6591777.636,200.037,183.796,16.241,ANFO,0.8,229.0,4.96,4.77,11.28,11.47,371.82,378.047,23.277,1.67,As charged
17,10,17-H-010,363799.836,6591769.924,200.153,184.003,16.15,ANFO,0.8,229.0,4.73,3.63,11.42,12.52,376.219,412.555,25.545,9.66,Minor variance
17,11,17-H-011,363801.612,6591762.6,200.063,185.209,14.854,ANFO,0.8,229.0,4.22,4.38,10.64,10.47,350.439,345.077,23.231,-1.53,As charged
17,12,17-H-012,363802.985,6591754.409,200.041,184.235,15.806,ANFO,0.8,229.0,4.46,5.09,11.35,10.71,374.007,353.03,22.335,-5.61,As charged
17,13,17-H-013,363775.456,6591842.408,199.952,183.78,16.172,ANFO,0.8,229.0,4.95,4.81,11.22,11.37,369.73,374.525,23.159,1.3,As charged
17,14,17-H-014,363777.808,6591834.719,200.03,183.337,16.693,ANFO,0.8,229.0,4.88,4.29,11.82,12.4,389.37,408.724,24.485,4.97,As charged
17,16,17-H-016,363780.854,6591819.248,200.034,182.897,17.137,ANFO,0.8,229.0,4.74,4.38,12.4,12.75,408.524,420.216,24.521,2.86,As charged
17,17,17-H-017,363782.954,6591811.485,200.067,183.451,16.616,ANFO,0.8,229.0,4.72,4.75,11.9,11.86,392.106,390.877,23.524,-0.31,As charged
17,18,17-H-018,363785.524,6591803.805,200.01,183.785,16.225,ANFO,0.8,229.0,4.9,5.14,11.33,11.09,373.24,365.254,22.512,-2.14,As charged
17,19,17-H-019,363786.758,6591795.847,200.018,184.98,15.038,ANFO,0.8,229.0,4.66,4.37,10.38,10.67,342.043,351.542,23.377,2.78,As charged
17,20,17-H-020,363788.399,6591788.079,200.085,183.121,16.964,ANFO,0.8,229.0,5.13,5.43,11.83,11.54,389.817,380.2,22.412,-2.47,As charged
17,21,17-H-021,363789.94,6591780.153,200.063,183.55,16.513,ANFO,0.8,229.0,4.4,4.25,12.11,12.26,399.113,403.962,24.463,1.22,As charged
17,22,17-H-022,363792.253,6591772.526,200.044,184.152,15.892,ANFO,0.8,229.0,4.6,5.21,11.29,10.69,371.981,352.098,22.156,-5.35,As charged
17,23,17-H-023,363793.624,6591764.538,199.98,184.259,15.721,ANFO,0.8,229.0,4.73,4.18,10.99,11.54,362.212,380.207,24.185,4.97,As charged
17,24,17-H-024,363795.583,6591756.76,199.981,184.212,15.769,ANFO,0.8,229.0,4.51,4.24,11.26,11.53,370.898,379.806,24.086,2.4,As charged
