pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
16,1,16-H-001,363389.922,6591754.318,200.026,183.894,16.132,ANFO,0.8,229.0,4.83,4.01,11.3,12.12,372.429,399.411,24.759,7.25,Minor variance
16,2,16-H-002,363385.143,6591759.863,199.992,183.471,16.521,ANFO,0.8,229.0,5.05,3.88,11.48,12.64,378.13,416.459,25.208,10.14,Over design - review
16,3,16-H-003,363379.606,6591766.411,199.97,183.545,16.425,ANFO,0.8,229.0,4.62,4.42,11.81,12.01,389.009,395.646,24.088,1.71,As charged
16,4,16-H-004,363373.78,6591771.74,199.967,183.874,16.093,ANFO,0.8,229.0,4.27,4.65,11.82,11.44,389.511,376.926,23.422,-3.23,As charged
16,5,16-H-005,363368.706,6591777.408,200.076,183.613,16.463,ANFO,0.8,229.0,5.17,3.6,11.29,12.86,372.126,423.728,25.738,13.87,Over design - review
16,6,16-H-006,363363.219,6591783.592,200.056,185.196,14.86,ANFO,0.8,229.0,4.56,4.13,10.3,10.73,339.328,353.42,23.783,4.15,As charged
16,7,16-H-007,363386.002,6591768.247,200.125,182.88,17.245,ANFO,0.8,229.0,5.43,5.77,11.82,11.47,389.367,377.988,21.919,-2.92,As charged
16,8,16-H-008,363381.662,6591773.564,199.946,185.228,14.718,ANFO,0.8,229.0,4.41,4.73,10.31,9.99,339.579,329.08,22.359,-3.09,As charged
16,9,16-H-009,363376.497,6591779.217,200.08,185.046,15.034,ANFO,0.8,229.0,4.29,3.34,10.74,11.69,353.87,385.269,25.626,8.87,Minor variance
16,10,16-H-010,363371.113,6591784.773,199.913,183.511,16.402,ANFO,0.8,229.0,4.8,4.48,11.6,11.92,382.165,392.816,23.949,2.79,As charged
16,11,16-H-011,363365.559,6591791.42,200.069,183.392,16.677,ANFO,0.8,229.0,4.57,4.29,12.11,12.38,399.085,408.053,24.468,2.25,As charged
16,12,16-H-012,363359.893,6591797.184,199.973,184.191,15.782,ANFO,0.8,229.0,4.61,4.46,11.17,11.32,368.17,372.968,23.633,1.3,As charged
