pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
15,1,15-H-001,363695.67,6591869.481,200.018,184.249,15.769,ANFO,0.8,229.0,4.62,4.54,11.15,11.23,367.304,370.116,23.471,0.77,As charged
15,2,15-H-002,363695.006,6591862.493,199.965,183.039,16.926,ANFO,0.8,229.0,4.89,4.47,12.03,12.46,396.512,410.578,24.257,3.55,As charged
15,3,15-H-003,363695.821,6591853.406,199.949,184.13,15.819,ANFO,0.8,229.0,5.06,5.48,10.75,10.34,354.361,340.546,21.528,-3.9,As charged
15,4,15-H-004,363695.871,6591845.531,199.915,184.941,14.974,ANFO,0.8,229.0,4.35,3.65,10.62,11.32,350.068,373.103,24.917,6.58,Minor variance
15,5,15-H-005,363688.908,6591865.59,200.013,184.237,15.776,ANFO,0.8,229.0,4.57,3.63,11.21,12.15,369.369,400.282,25.373,8.37,Minor variance
15,6,15-H-006,363689.011,6591857.634,199.982,183.859,16.123,ANFO,0.8,229.0,5.22,4.4,10.9,11.72,359.099,386.18,23.952,7.54,Minor variance
15,7,15-H-007,363688.876,6591849.274,199.996,183.598,16.398,ANFO,0.8,229.0,4.68,4.81,11.71,11.59,385.941,381.909,23.29,-1.04,As charged
15,8,15-H-008,363689.629,6591841.447,200.023,184.264,15.759,ANFO,0.8,229.0,4.91,4.83,10.85,10.93,357.524,360.031,22.846,0.7,As charged
15,9,15-H-009,363681.79,6591869.671,199.947,184.634,15.313,ANFO,0.8,229.0,4.38,4.1,10.93,11.22,360.244,369.574,24.135,2.59,As charged
15,10,15-H-010,363681.738,6591861.549,199.962,184.202,15.76,ANFO,0.8,229.0,4.55,3.66,11.21,12.1,369.398,398.768,25.303,7.95,Minor variance
15,11,15-H-011,363681.566,6591854.18,199.962,183.356,16.606,ANFO,0.8,229.0,5.48,3.86,11.12,12.75,366.528,420.065,25.296,14.61,Over design - review
15,12,15-H-012,363682.034,6591845.43,200.081,183.189,16.892,ANFO,0.8,229.0,5.31,4.05,11.59,12.84,381.76,423.156,25.051,10.84,Over design - review
15,13,15-H-013,363682.121,6591837.623,200.05,185.281,14.769,ANFO,0.8,229.0,4.9,3.71,9.87,11.06,325.074,364.504,24.68,12.13,Over design - review
15,14,15-H-014,363675.071,6591865.496,200.073,183.204,16.869,ANFO,0.8,229.0,5.2,4.31,11.67,12.56,384.375,413.77,24.528,7.65,Minor variance
