pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
22,1,22-H-001,363373.937,6591729.09,199.971,183.627,16.344,ANFO,0.8,229.0,4.72,6.47,11.62,9.88,382.862,325.385,19.909,-15.01,Undercharged - review
22,2,22-H-002,363367.263,6591733.492,199.997,184.529,15.468,ANFO,0.8,229.0,4.31,4.99,11.16,10.48,367.72,345.272,22.322,-6.1,Minor variance
22,3,22-H-003,363361.044,6591737.226,200.023,184.04,15.983,ANFO,0.8,229.0,5.02,5.66,10.96,10.33,361.273,340.293,21.291,-5.81,As charged
22,4,22-H-004,363353.996,6591741.9,200.044,183.161,16.883,ANFO,0.8,229.0,5.13,4.53,11.75,12.36,387.191,407.12,24.114,5.15,As charged
22,5,22-H-005,363374.297,6591736.862,200.028,183.318,16.71,ANFO,0.8,229.0,4.88,4.12,11.83,12.59,389.914,414.831,24.825,6.39,Minor variance
22,6,22-H-006,363367.461,6591741.457,200.074,183.737,16.337,ANFO,0.8,229.0,5.05,4.78,11.29,11.56,371.924,380.848,23.312,2.4,As charged
22,7,22-H-007,363360.934,6591745.727,200.063,182.937,17.126,ANFO,0.8,229.0,5.3,6.78,11.83,10.34,389.645,340.824,19.901,-12.53,Undercharged - review
22,8,22-H-008,363353.685,6591749.946,199.982,182.889,17.093,ANFO,0.8,229.0,5.14,4.87,11.96,12.22,393.981,402.59,23.553,2.18,As charged
22,9,22-H-009,363347.249,6591754.666,200.008,184.081,15.927,ANFO,0.8,229.0,4.49,4.52,11.43,11.4,376.682,375.751,23.592,-0.25,As charged
22,10,22-H-010,363381.623,6591740.55,200.019,184.078,15.941,ANFO,0.8,229.0,5.08,5.73,10.86,10.21,357.741,336.522,21.11,-5.93,As charged
22,11,22-H-011,363374.649,6591744.966,199.964,184.482,15.482,ANFO,0.8,229.0,4.66,5.22,10.83,10.26,356.698,337.987,21.831,-5.25,As charged
22,12,22-H-012,363367.811,6591749.624,199.988,183.793,16.195,ANFO,0.8,229.0,4.77,5.87,11.43,10.33,376.602,340.277,21.011,-9.65,Minor variance
22,13,22-H-013,363361.132,6591754.004,199.923,183.721,16.202,ANFO,0.8,229.0,5.04,5.13,11.16,11.07,367.809,364.71,22.51,-0.84,As charged
22,14,22-H-014,363354.634,6591758.145,199.977,183.256,16.721,ANFO,0.8,229.0,5.03,5.65,11.7,11.07,385.37,364.694,21.811,-5.37,As charged
22,15,22-H-015,363348.114,6591762.546,200.063,184.563,15.5,ANFO,0.8,229.0,4.86,4.39,10.64,11.11,350.726,366.041,23.616,4.37,As charged
22,16,22-H-016,363341.225,6591767.25,200.012,183.662,16.35,ANFO,0.8,229.0,4.67,4.77,11.68,11.58,384.702,381.434,23.329,-0.85,As charged
22,17,22-H-017,363381.614,6591749.071,199.994,183.305,16.689,ANFO,0.8,229.0,4.93,5.23,11.76,11.46,387.534,377.564,22.623,-2.57,As charged
