pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
7,2,7-H-002,363641.023,6591761.799,200.006,183.829,16.177,ANFO,0.8,229.0,4.62,4.49,11.55,11.69,380.672,385.195,23.811,1.19,As charged
7,3,7-H-003,363641.421,6591753.804,199.983,184.451,15.532,ANFO,0.8,229.0,4.64,4.37,10.89,11.16,358.912,367.79,23.679,2.47,As charged
7,4,7-H-004,363641.652,6591745.645,200.033,183.673,16.36,ANFO,0.8,229.0,4.97,5.18,11.39,11.18,375.249,368.311,22.513,-1.85,As charged
7,5,7-H-005,363642.301,6591737.79,200.026,184.162,15.864,ANFO,0.8,229.0,5.03,4.96,10.83,10.9,356.838,359.21,22.643,0.66,As charged
7,6,7-H-006,363641.944,6591729.327,200.002,183.014,16.988,ANFO,0.8,229.0,4.78,4.93,12.21,12.05,402.258,397.161,23.379,-1.27,As charged
7,7,7-H-007,363642.42,6591721.685,200.018,184.227,15.791,ANFO,0.8,229.0,4.67,4.27,11.12,11.52,366.532,379.603,24.039,3.57,As charged
7,8,7-H-008,363643.112,6591713.474,199.925,184.177,15.748,ANFO,0.8,229.0,4.03,4.01,11.72,11.74,386.104,386.765,24.56,0.17,As charged
7,9,7-H-009,363643.118,6591705.551,199.985,183.912,16.073,ANFO,0.8,229.0,5.17,6.25,10.9,9.83,359.21,323.777,20.144,-9.86,Minor variance
7,10,7-H-010,363643.19,6591697.543,200.006,183.562,16.444,ANFO,0.8,229.0,4.9,5.51,11.55,10.93,380.439,360.192,21.904,-5.32,As charged
7,11,7-H-011,363633.898,6591765.559,199.939,183.535,16.404,ANFO,0.8,229.0,5.12,4.9,11.28,11.5,371.698,378.913,23.099,1.94,As charged
7,12,7-H-012,363634.035,6591756.958,200.017,183.253,16.764,ANFO,0.8,229.0,5.46,5.22,11.31,11.54,372.537,380.341,22.688,2.09,As charged
7,13,7-H-013,363634.718,6591749.014,200.031,184.134,15.897,ANFO,0.8,229.0,4.53,4.1,11.37,11.79,374.511,388.636,24.447,3.77,As charged
7,14,7-H-014,363634.812,6591741.499,200.017,184.21,15.807,ANFO,0.8,229.0,4.69,4.98,11.11,10.82,366.178,356.664,22.564,-2.6,As charged
7,15,7-H-015,363635.078,6591733.413,199.916,183.912,16.004,ANFO,0.8,229.0,4.8,4.94,11.21,11.06,369.237,364.522,22.777,-1.28,As charged
7,16,7-H-016,363635.652,6591725.074,200.004,183.797,16.207,ANFO,0.8,229.0,4.73,4.36,11.48,11.85,378.208,390.431,24.09,3.23,As charged
7,17,7-H-017,363635.768,6591717.46,200.007,181.627,18.38,ANFO,0.8,229.0,5.6,5.61,12.78,12.77,421.097,420.876,22.899,-0.05,As charged
7,18,7-H-018,363635.637,6591709.869,199.849,183.656,16.193,ANFO,0.8,229.0,4.92,4.19,11.27,12.0,371.391,395.378,24.417,6.46,Minor variance
7,20,7-H-020,363626.645,6591768.595,200.05,183.348,16.702,ANFO,0.8,229.0,5.1,5.0,11.6,11.71,382.154,385.726,23.095,0.93,As charged
7,21,7-H-021,363626.574,6591761.027,199.94,182.99,16.95,ANFO,0.8,229.0,5.33,4.64,11.62,12.31,382.759,405.458,23.921,5.93,As charged
7,22,7-H-022,363627.404,6591753.013,199.933,183.987,15.946,ANFO,0.8,229.0,4.25,3.53,11.7,12.42,385.542,409.083,25.654,6.11,Minor variance
