pattern_number,hole_number,hole_id,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
13,1,13-H-001,363729.556,6591838.885,199.977,183.906,16.071,ANFO,0.8,229.0,4.98,4.73,11.09,11.34,365.443,373.788,23.259,2.28,As charged
13,2,13-H-002,363731.381,6591831.224,199.964,184.032,15.932,ANFO,0.8,229.0,4.91,5.74,11.02,10.2,363.139,335.961,21.087,-7.48,Minor variance
13,3,13-H-003,363733.429,6591823.587,200.042,183.253,16.789,ANFO,0.8,229.0,5.2,6.47,11.59,10.32,382.012,340.034,20.253,-10.99,Minor variance
13,4,13-H-004,363735.85,6591816.045,200.019,183.814,16.205,ANFO,0.8,229.0,5.55,6.57,10.65,9.63,351.039,317.32,19.582,-9.61,Minor variance
13,5,13-H-005,363737.339,6591808.151,199.985,183.445,16.54,ANFO,0.8,229.0,4.36,3.9,12.18,12.64,401.335,416.593,25.187,3.8,As charged
13,6,13-H-006,363739.385,6591800.045,199.926,181.484,18.442,ANFO,0.8,229.0,5.6,5.52,12.84,12.93,423.139,425.912,23.095,0.66,As charged
13,7,13-H-007,363723.505,6591833.4,199.919,183.506,16.413,ANFO,0.8,229.0,5.31,6.22,11.1,10.19,365.782,335.71,20.454,-8.22,Minor variance
13,8,13-H-008,363726.114,6591825.746,199.989,184.138,15.851,ANFO,0.8,229.0,4.61,5.03,11.24,10.82,370.498,356.586,22.496,-3.75,As charged
13,9,13-H-009,363727.728,6591817.857,199.989,184.418,15.571,ANFO,0.8,229.0,4.03,4.53,11.54,11.04,380.286,363.674,23.356,-4.37,As charged
13,10,13-H-010,363729.707,6591810.755,199.984,184.511,15.473,ANFO,0.8,229.0,4.56,4.3,10.92,11.17,359.659,368.204,23.797,2.38,As charged
13,11,13-H-011,363731.616,6591802.075,199.905,183.809,16.096,ANFO,0.8,229.0,4.81,4.97,11.28,11.13,371.757,366.721,22.783,-1.35,As charged
13,12,13-H-012,363733.584,6591795.208,199.96,183.329,16.631,ANFO,0.8,229.0,4.92,6.2,11.71,10.44,385.779,343.84,20.675,-10.87,Minor variance
13,13,13-H-013,363715.668,6591835.29,200.077,184.187,15.89,ANFO,0.8,229.0,4.93,5.29,10.96,10.6,361.131,349.113,21.971,-3.33,As charged
13,14,13-H-014,363717.55,6591828.19,200.027,183.908,16.119,ANFO,0.8,229.0,4.92,4.58,11.2,11.54,369.034,380.297,23.593,3.05,As charged
13,15,13-H-015,363720.069,6591820.094,199.93,183.712,16.218,ANFO,0.8,229.0,4.92,4.37,11.29,11.85,372.162,390.373,24.07,4.89,As charged
13,16,13-H-016,363722.147,6591812.403,200.006,185.002,15.004,ANFO,0.8,229.0,4.46,5.34,10.54,9.66,347.314,318.267,21.212,-8.36,Minor variance
13,17,13-H-017,363723.678,6591804.472,200.045,183.425,16.62,ANFO,0.8,229.0,4.9,4.28,11.72,12.34,386.14,406.437,24.455,5.26,As charged
13,18,13-H-018,363725.466,6591796.567,199.975,183.692,16.283,ANFO,0.8,229.0,4.67,4.34,11.61,11.94,382.645,393.513,24.167,2.84,As charged
13,19,13-H-019,363710.17,6591829.869,200.003,184.339,15.664,ANFO,0.8,229.0,4.24,4.45,11.43,11.21,376.466,369.386,23.582,-1.88,As charged
13,20,13-H-020,363712.028,6591822.213,199.965,182.702,17.263,ANFO,0.8,229.0,5.26,5.63,12.0,11.63,395.42,383.304,22.204,-3.06,As charged
13,21,13-H-021,363714.091,6591814.278,200.008,183.841,16.167,ANFO,0.8,229.0,4.54,5.04,11.63,11.13,383.082,366.776,22.687,-4.26,As charged
13,22,13-H-022,363715.91,6591807.28,200.015,185.3,14.715,ANFO,0.8,229.0,4.63,4.87,10.08,9.84,332.233,324.389,22.045,-2.36,As charged
13,23,13-H-023,363717.948,6591798.511,199.998,181.992,18.006,ANFO,0.8,229.0,5.6,5.94,12.41,12.07,408.773,397.677,22.086,-2.71,As charged
13,24,13-H-024,363720.006,6591790.864,200.031,183.85,16.181,ANFO,0.8,229.0,4.49,4.32,11.7,11.87,385.371,390.973,24.163,1.45,As charged
13,25,13-H-025,363702.487,6591832.273,200.113,183.296,16.817,ANFO,0.8,229.0,5.14,5.87,11.68,10.95,384.904,360.849,21.457,-6.25,Minor variance
13,26,13-H-026,363704.466,6591824.367,200.046,183.983,16.063,ANFO,0.8,229.0,4.82,4.96,11.25,11.1,370.545,365.797,22.773,-1.28,As charged
13,27,13-H-027,363706.062,6591816.654,200.013,183.776,16.237,ANFO,0.8,229.0,5.02,5.92,11.22,10.32,369.607,339.92,20.935,-8.03,Minor variance
13,29,13-H-029,363710.464,6591800.559,199.991,183.854,16.137,ANFO,0.8,229.0,5.3,5.16,10.84,10.97,357.061,361.535,22.404,1.25,As charged
13,30,13-H-030,363712.108,6591793.298,199.885,182.814,17.071,ANFO,0.8,229.0,5.26,5.64,11.81,11.43,389.079,376.652,22.064,-3.19,As charged
13,31,13-H-031,363695.059,6591834.099,200.031,183.773,16.258,ANFO,0.8,229.0,4.58,4.43,11.68,11.83,384.793,389.853,23.979,1.32,As charged
13,32,13-H-032,363696.373,6591826.093,199.996,183.486,16.51,ANFO,0.8,229.0,5.16,6.01,11.35,10.5,374.107,345.941,20.953,-7.53,Minor variance
13,33,13-H-033,363698.215,6591818.863,199.985,184.032,15.953,ANFO,0.8,229.0,5.11,4.53,10.84,11.43,357.244,376.503,23.601,5.39,As charged
13,34,13-H-034,363700.543,6591810.846,200.024,183.712,16.312,ANFO,0.8,229.0,4.68,5.53,11.63,10.78,383.267,355.114,21.77,-7.35,Minor variance
13,35,13-H-035,363702.527,6591803.554,200.0,184.726,15.274,ANFO,0.8,229.0,4.59,4.14,10.68,11.14,351.96,367.024,24.029,4.28,As charged
13,36,13-H-036,363703.945,6591795.158,199.947,184.055,15.892,ANFO,0.8,229.0,4.82,4.92,11.07,10.97,364.826,361.367,22.739,-0.95,As charged
13,37,13-H-037,363706.586,6591788.032,199.895,183.719,16.176,ANFO,0.8,229.0,4.81,4.86,11.37,11.32,374.511,372.891,23.052,-0.43,As charged
13,38,13-H-038,363689.164,6591828.537,200.069,183.946,16.123,ANFO,0.8,229.0,4.57,6.18,11.56,9.94,380.804,327.6,20.319,-13.97,Undercharged - review
13,39,13-H-039,363691.005,6591821.119,200.043,183.852,16.191,ANFO,0.8,229.0,4.97,3.77,11.22,12.42,369.578,409.347,25.282,10.76,Over design - review
13,40,13-H-040,363692.362,6591813.958,200.001,183.683,16.318,ANFO,0.8,229.0,4.4,4.73,11.92,11.58,392.832,381.697,23.391,-2.83,As charged
13,41,13-H-041,363694.593,6591805.333,199.995,183.928,16.067,ANFO,0.8,229.0,4.74,4.73,11.32,11.34,373.123,373.604,23.253,0.13,As charged
13,42,13-H-042,363696.487,6591797.496,199.97,183.139,16.831,ANFO,0.8,229.0,4.8,5.5,12.03,11.33,396.475,373.389,22.185,-5.82,As charged
13,43,13-H-043,363698.341,6591789.639,200.009,183.192,16.817,ANFO,0.8,229.0,4.33,5.25,12.49,11.57,411.421,381.134,22.664,-7.36,Minor variance
