hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
14-H-001,A185-001-14,primary,1,5,363404.852,6591857.065,200.0,363404.852,6591857.065,184.825,15.17,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,6,4.56,hardness,1,0.4843,mineralised_porphyry,high_grade_core,cross_fault,soft,2.577,0.4843,1.0,0.4694,0.73,172.5,849.79,620.3,18.83,395.4,0.465,1.72,154.6,249.3,386.4,bad,non_electric,face_row,1,0,450,450,56,1.0,0.0
14-H-002,A185-001-14,primary,1,6,363411.909,6591861.465,200.0,363411.909,6591861.465,184.966,15.03,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.3,5,3.4,hardness,1,0.494,mineralised_porphyry,high_grade_core,cross_fault,soft,2.562,0.494,1.0,0.477,0.738,169.0,841.91,621.3,18.86,395.4,0.47,1.73,152.4,245.8,381.1,bad,non_electric,face_row,2,8,450,458,57,1.0,0.0
14-H-003,A185-001-14,primary,1,7,363417.791,6591866.26,200.0,363417.791,6591866.26,183.67,16.33,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,1.98,4,5.74,hardness,1,0.5045,mineralised_porphyry,high_grade_core,cross_fault,soft,2.58,0.5045,1.0,0.4916,0.792,165.0,914.48,724.3,21.98,395.4,0.432,1.6,152.5,245.9,381.2,bad,non_electric,face_row,3,16,450,466,58,1.0,0.0
14-H-004,A185-001-14,primary,1,8,363424.982,6591871.246,200.0,363424.982,6591871.246,183.734,16.27,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,0.67,5,0.64,hardness,1,0.5175,mineralised_porphyry,high_grade_core,cross_fault,soft,2.584,0.5175,1.0,0.4978,0.814,164.0,910.92,741.5,22.5,395.4,0.434,1.6,153.5,247.6,383.8,bad,non_electric,face_row,4,24,450,474,59,1.0,0.0
14-H-005,A185-001-14,primary,2,4,363405.848,6591849.099,200.0,363405.848,6591849.099,183.684,16.32,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,5.36,5,2.77,hardness,1,0.5046,mineralised_porphyry,high_grade_core,cross_fault,soft,2.566,0.5046,1.0,0.4798,0.76,172.0,913.67,694.4,21.08,395.4,0.433,1.6,157.4,253.9,393.5,bad,non_electric,face_row,5,100,450,550,68,1.0,0.0
14-H-006,A185-001-14,primary,2,5,363412.24,6591853.622,200.0,363412.24,6591853.622,183.084,16.92,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,3.3,hardness,1,0.501,mineralised_porphyry,high_grade_core,cross_fault,soft,2.59,0.501,1.0,0.4888,0.772,168.8,947.28,731.3,22.2,395.4,0.417,1.54,155.1,250.1,387.6,bad,non_electric,face_row,6,108,450,558,69,1.0,0.0
14-H-007,A185-001-14,primary,2,6,363418.303,6591858.255,200.0,363418.303,6591858.255,183.991,16.01,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,9.55,4,5.06,hardness,1,0.5112,mineralised_porphyry,high_grade_core,cross_fault,soft,2.623,0.5112,1.0,0.5097,0.843,162.5,896.51,755.8,22.94,395.4,0.441,1.63,153.6,247.8,384.1,bad,non_electric,face_row,7,116,450,566,70,1.0,0.0
14-H-008,A185-001-14,primary,2,7,363425.722,6591863.206,200.0,363425.722,6591863.206,183.401,16.6,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.23,5,1.6,hardness,1,0.5143,mineralised_porphyry,high_grade_core,cross_fault,medium,2.616,0.5143,1.0,0.5094,0.848,161.0,929.57,788.3,23.93,395.4,0.425,1.57,152.4,245.8,381.0,bad,non_electric,face_row,8,124,450,574,71,1.0,0.0
14-H-009,A185-001-14,primary,2,8,363431.693,6591867.376,200.0,363431.693,6591867.376,184.684,15.32,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,6.67,4,4.87,hardness,2,0.5201,mineralised_porphyry,high_grade_core,cross_fault,medium,2.617,0.5201,1.0,0.5147,0.873,160.0,857.68,748.8,22.72,395.4,0.461,1.7,153.0,246.8,382.5,bad,non_electric,face_row,9,132,450,582,72,1.0,0.0
14-H-010,A185-001-14,primary,2,9,363438.175,6591872.453,200.0,363438.175,6591872.453,184.488,15.51,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,4.93,5,3.49,hardness,2,0.5444,mineralised_porphyry,high_grade_core,background,medium,2.678,0.5444,1.0,0.5057,0.968,147.0,868.68,840.9,25.52,395.4,0.455,1.68,140.4,226.4,351.0,bad,non_electric,face_row,10,140,450,590,73,1.0,0.0
