hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
7-H-001,A185-001-07,primary,1,1,363640.83,6591769.418,200.0,363640.83,6591769.418,184.258,15.74,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,2.67,4,4.77,hardness,1,0.5178,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.677,0.5178,1.0,0.513,0.78,161.3,881.57,687.6,20.87,395.4,0.449,1.66,150.0,241.9,375.0,bad,non_electric,face_row,1,0,450,450,56,1.0,0.0
7-H-002,A185-001-07,primary,1,2,363640.602,6591761.444,200.0,363640.602,6591761.444,184.416,15.58,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,6,4.01,hardness,1,0.5177,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.67,0.5177,1.0,0.503,0.755,164.2,872.69,658.9,20.0,395.4,0.453,1.67,151.2,243.9,378.0,bad,non_electric,face_row,2,8,450,458,57,1.0,0.0
7-H-003,A185-001-07,primary,1,3,363641.308,6591752.978,200.0,363641.308,6591752.978,182.987,17.01,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,4.2,hardness,1,0.501,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.658,0.501,1.0,0.4822,0.705,167.5,952.73,671.7,20.38,395.4,0.415,1.53,149.8,241.7,374.6,bad,non_electric,face_row,3,16,450,466,58,1.0,0.0
7-H-004,A185-001-07,primary,1,4,363641.548,6591745.717,200.0,363641.548,6591745.717,184.145,15.85,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,5.24,hardness,1,0.5266,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.695,0.5266,1.0,0.4999,0.753,166.3,887.87,668.6,20.29,395.4,0.445,1.64,153.5,247.6,383.8,bad,non_electric,face_row,4,24,450,474,59,1.0,0.0
7-H-005,A185-001-07,primary,1,5,363641.329,6591737.811,200.0,363641.329,6591737.811,183.343,16.66,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,5.08,hardness,2,0.5486,mineralised_porphyry,high_grade_core,main_fault,medium,2.74,0.5486,1.0,0.5411,0.86,157.5,932.8,802.2,24.35,395.4,0.424,1.57,152.9,246.7,382.4,bad,non_electric,face_row,5,32,450,482,60,1.0,0.0
7-H-006,A185-001-07,primary,1,6,363642.457,6591729.529,200.0,363642.457,6591729.529,184.753,15.25,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,3.45,hardness,3,0.5685,mineralised_porphyry,high_grade_core,main_fault,medium,2.785,0.5685,1.0,0.5936,0.99,146.3,853.85,845.3,25.66,395.4,0.463,1.71,149.6,241.2,373.9,bad,non_electric,face_row,6,40,450,490,61,1.0,0.0
7-H-007,A185-001-07,primary,1,7,363642.548,6591721.727,200.0,363642.548,6591721.727,183.619,16.38,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,2.5,hardness,3,0.6026,mineralised_porphyry,high_grade_core,main_fault,medium,2.833,0.6026,1.0,0.6331,1.063,137.5,917.34,975.1,29.59,395.4,0.431,1.59,144.2,232.5,360.4,bad,non_electric,face_row,7,48,450,498,62,1.0,0.0
7-H-008,A185-001-07,primary,1,8,363642.747,6591713.541,200.0,363642.747,6591713.541,183.32,16.68,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,2.97,hardness,4,0.6248,mineralised_porphyry,high_grade_core,main_fault,hard,2.888,0.6248,1.0,0.6599,1.12,132.5,934.08,1046.2,31.75,395.4,0.423,1.56,140.9,227.2,352.2,bad,non_electric,face_row,9,61,450,511,63,1.0,0.0
7-H-009,A185-001-07,primary,1,9,363642.904,6591705.89,200.0,363642.904,6591705.89,184.022,15.98,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,4.43,hardness,5,0.6582,mineralised_porphyry,high_grade_core,background,hard,2.95,0.6582,1.0,0.6327,1.18,122.5,894.76,1055.8,32.04,395.4,0.442,1.63,127.2,205.1,317.9,bad,non_electric,face_row,11,75,450,525,65,1.0,0.0
7-H-010,A185-001-07,primary,1,10,363642.907,6591698.103,200.0,363642.907,6591698.103,183.757,16.24,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,2.88,4,4.3,hardness,5,0.675,mineralised_porphyry,high_grade_core,background,hard,2.955,0.675,1.0,0.6317,1.18,117.5,909.63,1073.4,32.58,395.4,0.435,1.61,122.0,196.8,305.0,bad,non_electric,face_row,13,88,450,538,67,1.0,0.0
