hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
10-H-001,A185-001-10,primary,1,1,363638.733,6591825.727,200.0,363638.733,6591825.727,184.111,15.89,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,2.61,4,5.88,hardness,4,0.6273,mineralised_porphyry,high_grade_core,background,hard,2.913,0.6273,1.0,0.5941,1.177,121.3,889.81,1047.3,31.79,395.4,0.444,1.64,122.3,197.2,305.7,bad,non_electric,face_row,1,0,450,450,56,1.0,0.0
10-H-002,A185-001-10,primary,1,2,363639.019,6591817.341,200.0,363639.019,6591817.341,183.375,16.63,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,5.62,hardness,4,0.6344,mineralised_porphyry,high_grade_core,background,hard,2.933,0.6344,1.0,0.6058,1.177,123.8,931.01,1095.8,33.26,395.4,0.425,1.57,126.0,203.3,315.1,bad,non_electric,face_row,2,8,450,458,57,1.0,0.0
10-H-003,A185-001-10,primary,1,3,363639.289,6591809.808,200.0,363639.289,6591809.808,182.981,17.02,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,4.51,hardness,5,0.6377,mineralised_porphyry,high_grade_core,main_fault,hard,2.915,0.6377,1.0,0.681,1.18,123.8,953.08,1124.6,34.13,395.4,0.415,1.53,130.6,210.7,326.6,bad,non_electric,face_row,3,16,450,466,58,1.0,0.0
10-H-004,A185-001-10,primary,1,4,363639.201,6591802.055,200.0,363639.201,6591802.055,184.021,15.98,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,6,4.13,hardness,4,0.6315,mineralised_porphyry,high_grade_core,main_fault,hard,2.9,0.6315,1.0,0.6755,1.162,126.7,894.82,1039.8,31.55,395.4,0.442,1.63,133.1,214.6,332.7,bad,non_electric,face_row,4,24,450,474,59,1.0,0.0
10-H-005,A185-001-10,primary,1,5,363639.244,6591794.325,200.0,363639.244,6591794.325,183.583,16.42,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,4.67,hardness,4,0.6292,mineralised_porphyry,high_grade_core,main_fault,hard,2.875,0.6292,1.0,0.6779,1.152,127.5,919.34,1059.1,32.14,395.4,0.43,1.59,133.9,216.0,334.7,bad,non_electric,face_row,5,32,450,482,60,1.0,0.0
10-H-006,A185-001-10,primary,1,6,363638.855,6591786.112,200.0,363638.855,6591786.112,184.118,15.88,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,5.88,hardness,3,0.5966,mineralised_porphyry,high_grade_core,main_fault,medium,2.8,0.5966,1.0,0.6253,1.032,138.8,889.41,917.9,27.86,395.4,0.445,1.64,142.4,229.6,356.0,bad,non_electric,face_row,6,40,450,490,61,1.0,0.0
10-H-007,A185-001-10,primary,1,7,363638.819,6591777.835,200.0,363638.819,6591777.835,183.749,16.25,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,3.5,4,5.62,hardness,1,0.5671,mineralised_porphyry,high_grade_core,main_fault,soft,2.713,0.5671,1.0,0.5666,0.897,151.3,910.04,816.3,24.77,395.4,0.434,1.6,150.1,242.1,375.3,bad,non_electric,face_row,7,48,450,498,62,1.0,0.0
10-H-008,A185-001-10,primary,2,1,363632.184,6591821.608,200.0,363632.184,6591821.608,183.59,16.41,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,6.75,4,2.87,hardness,4,0.6267,mineralised_porphyry,high_grade_core,background,hard,2.908,0.6267,1.0,0.5959,1.177,122.5,918.98,1081.6,32.83,395.4,0.43,1.59,123.8,199.6,309.4,bad,non_electric,face_row,8,119,450,569,71,1.0,0.0
10-H-009,A185-001-10,primary,2,2,363631.899,6591813.885,200.0,363631.899,6591813.885,183.665,16.34,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,3.61,hardness,4,0.6294,mineralised_porphyry,high_grade_core,background,hard,2.91,0.6294,1.0,0.6045,1.175,121.3,914.79,1074.9,32.62,395.4,0.432,1.6,122.9,198.2,307.3,bad,non_electric,face_row,9,127,450,577,72,1.0,0.0
10-H-010,A185-001-10,primary,2,3,363631.942,6591806.147,200.0,363631.942,6591806.147,183.623,16.38,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,5.07,hardness,4,0.6237,mineralised_porphyry,high_grade_core,background,hard,2.9,0.6237,1.0,0.6163,1.177,122.5,917.12,1079.4,32.76,395.4,0.431,1.59,124.8,201.3,312.1,bad,non_electric,face_row,10,135,450,585,73,1.0,0.0
10-H-011,A185-001-10,primary,2,4,363632.586,6591797.764,200.0,363632.586,6591797.764,182.804,17.2,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,4.77,hardness,4,0.6351,mineralised_porphyry,high_grade_core,main_fault,hard,2.893,0.6351,1.0,0.6878,1.177,125.0,962.96,1133.4,34.4,395.4,0.411,1.52,132.3,213.5,330.9,bad,non_electric,face_row,11,143,450,593,74,1.0,0.0
10-H-012,A185-001-10,primary,2,5,363632.413,6591789.675,200.0,363632.413,6591789.675,183.225,16.78,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.5,4,3.4,hardness,3,0.617,mineralised_porphyry,high_grade_core,main_fault,medium,2.817,0.617,1.0,0.6579,1.103,133.8,939.41,1036.2,31.45,395.4,0.421,1.55,141.4,228.1,353.6,bad,non_electric,face_row,12,151,450,601,75,1.0,0.0
10-H-013,A185-001-10,primary,2,6,363632.094,6591781.896,200.0,363632.094,6591781.896,183.738,16.26,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,8.82,4,2.87,hardness,3,0.6023,mineralised_porphyry,high_grade_core,main_fault,medium,2.763,0.6023,1.0,0.6256,1.022,140.0,910.69,930.7,28.24,395.4,0.434,1.6,145.4,234.6,363.6,bad,non_electric,face_row,13,159,450,609,76,1.0,0.0
10-H-014,A185-001-10,primary,2,7,363632.074,6591773.618,200.0,363632.074,6591773.618,183.559,16.44,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,0.82,4,3.61,hardness,2,0.581,mineralised_porphyry,high_grade_core,main_fault,soft,2.728,0.581,1.0,0.5998,0.968,145.0,920.7,891.2,27.05,395.4,0.429,1.59,148.4,239.4,371.0,bad,non_electric,face_row,15,173,450,623,77,1.0,0.0
10-H-015,A185-001-10,primary,3,1,363624.672,6591825.774,200.0,363624.672,6591825.774,182.573,17.43,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,2.88,6,4.19,hardness,4,0.6339,mineralised_porphyry,high_grade_core,background,hard,2.9,0.6339,1.0,0.5826,1.178,125.0,975.9,1149.6,34.89,395.4,0.405,1.5,126.1,203.4,315.2,bad,non_electric,face_row,14,230,450,680,85,1.0,0.0
10-H-016,A185-001-10,primary,3,2,363625.111,6591817.734,200.0,363625.111,6591817.734,182.552,17.45,7.0,8.0,229,anfo.standard,ANFO,12.0,3.2,10.88,6,3.82,hardness,4,0.6339,mineralised_porphyry,high_grade_core,background,hard,2.903,0.6339,1.0,0.6017,1.177,122.5,977.09,1150.0,34.9,395.4,0.405,1.49,124.4,200.6,310.9,bad,non_electric,face_row,16,244,450,694,86,1.0,0.0
