x,y,z,muckpile_height_m,post_volume_m3,post_volume_m3_raw,pre_volume_m3,particle_count,mean_horizontal_displacement_m,p95_horizontal_displacement_m,mean_dx_m,mean_dy_m,mean_vertical_heave_m,grid_resolution_m,cell_area_m2,topo_i,topo_j
363445.0,6591717.0,185.028885940392,0.028885940392003297,0.11554376156801319,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,7
363445.0,6591719.0,185.0544530098224,0.05445300982240386,0.21781203928961543,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,8
363445.0,6591721.0,185.06460507812966,0.06460507812966246,0.25842031251864983,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,9
363445.0,6591723.0,185.05986931510168,0.05986931510168384,0.23947726040673536,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,10
363445.0,6591725.0,185.05100659237598,0.051006592375973915,0.20402636950389566,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,11
363445.0,6591727.0,185.04406274366625,0.04406274366625732,0.1762509746650293,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,12
363445.0,6591729.0,185.0392171566702,0.0392171566701944,0.1568686266807776,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,13
363445.0,6591731.0,185.03358514865576,0.033585148655751296,0.13434059462300518,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,14
363445.0,6591733.0,185.02680862935114,0.026808629351137942,0.10723451740455177,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-3,15
363447.0,6591715.0,185.1123826241861,0.11238262418610398,0.4495304967444159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,6
363447.0,6591717.0,185.37711654546274,0.3771165454627391,1.5084661818509564,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,7
363447.0,6591719.0,185.70179526195872,0.7017952619587113,2.8071810478348453,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,8
363447.0,6591721.0,185.83395569690308,0.8339556969030708,3.3358227876122832,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,9
363447.0,6591723.0,185.78017250539173,0.7801725053917261,3.1206900215669044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,10
363447.0,6591725.0,185.67204838881784,0.6720483888178456,2.6881935552713823,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,11
363447.0,6591727.0,185.5865364002955,0.5865364002954931,2.3461456011819726,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,12
363447.0,6591729.0,185.52910904174607,0.5291090417460811,2.1164361669843244,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,13
363447.0,6591731.0,185.46118636977238,0.4611863697723667,1.8447454790894668,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,14
363447.0,6591733.0,185.37807609505163,0.37807609505163614,1.5123043802065446,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,15
363447.0,6591735.0,185.29226536036307,0.29226536036308226,1.169061441452329,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,16
363447.0,6591737.0,185.20886172844726,0.20886172844724749,0.8354469137889899,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,17
363447.0,6591739.0,185.13752024939956,0.1375202493995591,0.5500809975982364,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,18
363447.0,6591741.0,185.09196283761446,0.09196283761446675,0.367851350457867,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,19
363447.0,6591743.0,185.07147597390383,0.0714759739038159,0.2859038956152636,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,20
363447.0,6591745.0,185.0620718309803,0.06207183098029593,0.24828732392118372,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,21
363447.0,6591747.0,185.05472847220628,0.054728472206283955,0.21891388882513582,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,22
363447.0,6591749.0,185.04771688831386,0.0477168883138499,0.1908675532553996,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,23
363447.0,6591751.0,185.04079016587363,0.04079016587363175,0.163160663494527,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,24
363447.0,6591753.0,185.03369827324528,0.033698273245274565,0.13479309298109826,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,25
363447.0,6591755.0,185.02653067762387,0.026530677623858842,0.10612271049543537,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,26
363449.0,6591713.0,185.10171558761004,0.10171558761004948,0.4068623504401979,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,5
363449.0,6591715.0,185.6349694950655,0.6349694950654974,2.5398779802619895,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,6
363449.0,6591717.0,187.01285386324378,2.0128538632437625,8.05141545297505,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,7
363449.0,6591719.0,188.63732267184713,3.6373226718471177,14.54929068738847,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,8
363449.0,6591721.0,189.33991880705605,4.33991880705605,17.3596752282242,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,9
363449.0,6591723.0,189.1486314286313,4.148631428631289,16.594525714525155,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,10
363449.0,6591725.0,188.6594994850196,3.6594994850196163,14.637997940078465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,11
363449.0,6591727.0,188.26326473263921,3.2632647326392212,13.053058930556885,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,12
363449.0,6591729.0,188.0263700828962,3.02637008289618,12.10548033158472,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,13
363449.0,6591731.0,187.73394771306286,2.7339477130628635,10.935790852251454,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,14
363449.0,6591733.0,187.35770219548596,2.3577021954859494,9.430808781943798,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,15
363449.0,6591735.0,186.97051222030603,1.9705122203060295,7.882048881224118,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,16
363449.0,6591737.0,186.59239010754746,1.5923901075474645,6.369560430189858,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,17
363449.0,6591739.0,186.25830238801453,1.258302388014519,5.033209552058076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,18
363449.0,6591741.0,186.02693955938318,1.0269395593831803,4.107758237532721,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,19
363449.0,6591743.0,185.8953975265035,0.895397526503495,3.58159010601398,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,20
363449.0,6591745.0,185.8009151556504,0.8009151556503866,3.2036606226015465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,21
363449.0,6591747.0,185.7103562069498,0.7103562069497891,2.8414248277991563,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,22
363449.0,6591749.0,185.62607984237547,0.6260798423754642,2.504319369501857,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,23
363449.0,6591751.0,185.54456695189134,0.5445669518913282,2.178267807565313,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,24
363449.0,6591753.0,185.45728202921873,0.45728202921872907,1.8291281168749163,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,25
363449.0,6591755.0,185.36742752087633,0.3674275208763344,1.4697100835053376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,26
363449.0,6591757.0,185.28515679621833,0.2851567962183408,1.1406271848733631,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,27
363449.0,6591759.0,185.20836471495025,0.2083647149502402,0.8334588598009608,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,28
363449.0,6591761.0,185.13732621530733,0.13732621530733669,0.5493048612293467,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,29
363449.0,6591763.0,185.09093908790294,0.0909390879029386,0.3637563516117544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,30
363449.0,6591765.0,185.0728772403619,0.0728772403618885,0.291508961447554,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,31
363449.0,6591767.0,185.0636205269338,0.06362052693379674,0.254482107735187,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-1,32
