pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
12,1,12-H-001,1,charge,363461.297,6591845.484,200.048,183.48,16.568,ANFO,0.8,229.0,4.93,5.07,11.63,11.49,383.347,378.721,22.859,-1.21,As charged
12,2,12-H-002,1,charge,363461.439,6591853.242,199.998,183.93,16.068,ANFO,0.8,229.0,4.61,5.03,11.46,11.04,377.496,363.733,22.637,-3.65,As charged
12,3,12-H-003,1,charge,363461.355,6591861.356,199.925,183.586,16.339,ANFO,0.8,229.0,5.1,4.13,11.24,12.21,370.215,402.17,24.614,8.63,Minor variance
12,4,12-H-004,1,charge,363461.718,6591869.496,200.0,184.405,15.595,ANFO,0.8,229.0,4.86,4.3,10.74,11.29,353.715,372.008,23.854,5.17,As charged
12,5,12-H-005,1,charge,363461.98,6591877.294,200.112,183.654,16.458,ANFO,0.8,229.0,5.29,5.09,11.17,11.37,367.93,374.49,22.754,1.78,As charged
12,6,12-H-006,1,charge,363462.414,6591885.132,200.097,184.324,15.773,ANFO,0.8,229.0,4.73,5.1,11.04,10.67,363.912,351.584,22.29,-3.39,As charged
12,7,12-H-007,1,charge,363467.776,6591841.155,200.01,182.435,17.575,ANFO,0.8,229.0,4.88,4.4,12.7,13.18,418.416,434.224,24.707,3.78,As charged
12,8,12-H-008,1,charge,363468.126,6591848.82,200.094,184.278,15.816,ANFO,0.8,229.0,4.58,5.26,11.24,10.56,370.278,347.822,21.992,-6.06,Minor variance
12,9,12-H-009,1,charge,363467.86,6591857.22,200.009,183.977,16.032,ANFO,0.8,229.0,5.18,5.31,10.85,10.72,357.513,353.195,22.031,-1.21,As charged
12,10,12-H-010,1,charge,363469.014,6591864.757,199.965,181.944,18.021,ANFO,0.8,229.0,5.07,5.5,12.95,12.52,426.604,412.421,22.886,-3.32,As charged
12,11,12-H-011,1,charge,363469.092,6591873.024,200.029,183.385,16.644,ANFO,0.8,229.0,4.51,4.17,12.13,12.47,399.775,410.977,24.692,2.8,As charged
12,12,12-H-012,1,charge,363469.776,6591880.597,200.003,184.484,15.519,ANFO,0.8,229.0,4.47,4.66,11.05,10.86,364.093,357.804,23.056,-1.73,As charged
12,14,12-H-014,1,charge,363474.602,6591844.539,199.979,183.652,16.327,ANFO,0.8,229.0,5.04,4.82,11.29,11.5,372.033,379.038,23.215,1.88,As charged
12,15,12-H-015,1,charge,363475.356,6591852.807,199.987,183.11,16.877,ANFO,0.8,229.0,4.92,4.95,11.96,11.93,393.945,393.025,23.288,-0.23,As charged
12,16,12-H-016,1,charge,363475.462,6591861.016,200.104,183.421,16.683,ANFO,0.8,229.0,5.17,4.13,11.52,12.55,379.424,413.674,24.796,9.03,Minor variance
12,17,12-H-017,1,charge,363475.717,6591868.825,199.948,184.248,15.7,ANFO,0.8,229.0,4.32,4.46,11.38,11.24,374.871,370.518,23.6,-1.16,As charged
