MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
47277750,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,403.153,403.1531,407.6943,4.5412597656,4.5412597656,5100001453884,9,251,1.0010765791,116.1245498657,2972.6491699219,8.9368038177,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,2BC0E0F4-8457-EF11-8F78-0030646A8092
47277751,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,403.2531,403.1531,407.6943,4.4411621094,4.5412597656,5100001453884,9,251,0.9672823548,116.1900863647,2869.0991210938,9.2853794098,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,C5BFFCE1-8457-EF11-8F78-0030646A8092
47277752,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,403.5594,403.1531,407.6943,4.1348876953,4.5412597656,5100001453884,9,251,0.9715226889,116.1755447388,2918.1774902344,8.6660366058,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,5E678ED6-8457-EF11-8F78-0030646A8092
47277753,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,403.867,403.1531,407.6943,3.8272705078,4.5412597656,5100001453884,9,251,1.1614464521,116.1884078979,2929.3896484375,9.7798366547,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,13145CCB-8457-EF11-8F78-0030646A8092
47277754,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,404.1767,403.1531,407.6943,3.517578125,4.5412597656,5100001453884,9,251,0.5732201338,116.2820281982,2882.1911621094,10.0826234818,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,AB3ADCC1-8457-EF11-8F78-0030646A8092
47277755,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,404.4824,403.1531,407.6943,3.2119140625,4.5412597656,5100001453884,9,251,0.4509860277,116.3374481201,2899.4775390625,9.296412468,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,51B37FAE-8457-EF11-8F78-0030646A8092
47277756,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,404.7905,403.1531,407.6943,2.9038085938,4.5412597656,5100001453884,9,251,0.5230492353,116.4780349731,2911.7504882813,9.9005212784,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,2D393496-8457-EF11-8F78-0030646A8092
47277757,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,405.0956,403.1531,407.6943,2.5987548828,4.5412597656,5100001453884,9,251,0.4573143423,116.6766204834,2898.375,9.0992021561,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,5DCE3581-8457-EF11-8F78-0030646A8092
47277758,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,405.4004,403.1531,407.6943,2.2939453125,4.5412597656,5100001453884,9,251,0.6545712352,111.5400314331,2851.3383789063,9.0193538666,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,395B6669-8457-EF11-8F78-0030646A8092
47277759,2024.08.11 09:57:08,B102_396_801,61.0,801580.97,7513447.262,405.7058,403.1531,407.6943,1.9885253906,4.5412597656,5100001453884,9,251,0.3468257487,62.4970397949,1887.4436035156,7.3419079781,0.0,298.07,871958,25060152,2024.08.11 11:22:20,2024.08.11 11:22:20,26606603-8557-EF11-8F78-0030646A8092,F76AB150-8457-EF11-8F78-0030646A8092
