geometry,rl,vertex_id,x,y
toe_line_floor,185.0,0,443707.85913478903,6812712.020928744
toe_line_floor,185.0,1,443711.1658872921,6812722.011223072
toe_line_floor,185.0,2,443713.9619028206,6812732.226015398
toe_line_floor,185.0,3,443716.19779137423,6812742.517849496
toe_line_floor,185.0,4,443717.8726088858,6812752.884412316
toe_line_floor,185.0,5,443718.9852795818,6812763.3184712725
toe_line_floor,185.0,6,443719.52915143024,6812773.348670016
toe_line_floor,185.0,7,443719.5017378815,6812782.993733274
toe_line_floor,185.0,8,443718.8979150475,6812792.253908796
toe_line_floor,185.0,9,443717.7245828481,6812801.033512008
toe_line_floor,185.0,10,443716.3022834813,6812809.259281272
toe_line_floor,185.0,11,443714.6156997979,6812817.023240874
toe_line_floor,185.0,12,443712.6606437232,6812824.327429282
toe_line_floor,185.0,13,443710.55273253145,6812830.80230832
toe_line_floor,185.0,14,443709.1089081335,6812836.933854569
toe_line_floor,185.0,15,443708.21106385236,6812843.075750501
toe_line_floor,185.0,16,443707.8556961767,6812849.238011852
toe_line_floor,185.0,17,443708.0409217187,6812855.395599677
toe_line_floor,185.0,18,443708.79809370736,6812861.201960997
toe_line_floor,185.0,19,443710.11785127304,6812866.6829767125
toe_line_floor,185.0,20,443711.9959624405,6812871.859354005
toe_line_floor,185.0,21,443714.4762723894,6812876.8352863
toe_line_floor,185.0,22,443717.34591402696,6812881.586904591
toe_line_floor,185.0,23,443720.5624938707,6812886.033636709
toe_line_floor,185.0,24,443724.13044120796,6812890.183782023
toe_line_floor,185.0,25,443728.1319369079,6812894.118861853
toe_line_floor,185.0,26,443731.9157465191,6812897.529799431
toe_line_floor,185.0,27,443735.3684648738,6812900.318632262
toe_line_floor,185.0,28,443738.45974182,6812902.480845109
toe_line_floor,185.0,29,443741.1984956578,6812904.0501500275
toe_line_floor,185.0,30,443745.55165833485,6812906.015714406
toe_line_floor,185.0,31,443751.6009644132,6812908.3741751425
toe_line_floor,185.0,32,443759.267693893,6812911.077333776
toe_line_floor,185.0,33,443768.44428993517,6812914.083563855
toe_line_floor,185.0,34,443776.8682702148,6812916.428692046
toe_line_floor,185.0,35,443784.56719185604,6812918.1300682025
