timestamp,date,shift,tph,power_kw,util,css_mm,pattern_id,notes
2025-10-24T19:00:00,2025-10-24,N,3897.3,1636.4,95.1,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-24T20:00:00,2025-10-24,N,4240.4,1899.5,85.8,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-24T21:00:00,2025-10-24,N,4169.0,1701.0,83.9,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-24T22:00:00,2025-10-24,N,4224.8,1735.5,89.7,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-24T23:00:00,2025-10-24,N,3890.1,1817.5,89.4,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T00:00:00,2025-10-25,N,3949.4,1774.9,80.0,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T01:00:00,2025-10-25,N,3812.1,1759.2,95.1,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T02:00:00,2025-10-25,N,4041.8,1918.5,96.3,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T03:00:00,2025-10-25,N,4052.6,1840.6,88.2,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T04:00:00,2025-10-25,N,4013.6,1783.4,92.5,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T05:00:00,2025-10-25,N,4324.3,1858.6,91.3,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T06:00:00,2025-10-25,D,3773.7,1674.9,83.8,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T07:00:00,2025-10-25,D,3835.5,1687.3,87.9,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T08:00:00,2025-10-25,D,4184.0,1832.1,97.3,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T09:00:00,2025-10-25,D,4062.8,1766.6,87.1,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T10:00:00,2025-10-25,D,3678.3,1538.7,88.3,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T11:00:00,2025-10-25,D,3845.7,1768.6,90.4,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T12:00:00,2025-10-25,D,3662.1,1620.9,88.1,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T13:00:00,2025-10-25,D,3834.9,1647.6,88.3,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2025-10-25T14:00:00,2025-10-25,D,4007.6,1709.8,84.4,130.0,A185-001-06,A-185-08-06 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
