timestamp,date,shift,tph,power_kw,util,css_mm,pattern_id,notes
2026-04-23T16:00:00,2026-04-23,D,4490.5,1746.5,87.3,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T17:00:00,2026-04-23,D,4330.3,1851.2,97.2,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T18:00:00,2026-04-23,N,3846.9,1554.1,93.5,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T19:00:00,2026-04-23,N,4035.8,1831.8,94.2,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T20:00:00,2026-04-23,N,4165.4,1796.9,98.6,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T21:00:00,2026-04-23,N,4426.9,1835.7,88.9,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T22:00:00,2026-04-23,N,4064.6,1646.4,86.4,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-23T23:00:00,2026-04-23,N,4488.1,1860.9,87.2,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T00:00:00,2026-04-24,N,4185.2,1699.3,86.9,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T01:00:00,2026-04-24,N,4086.8,1768.3,93.7,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T02:00:00,2026-04-24,N,3990.8,1665.1,87.3,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T03:00:00,2026-04-24,N,4026.2,1631.3,87.1,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T04:00:00,2026-04-24,N,3777.3,1447.9,88.2,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T05:00:00,2026-04-24,N,3839.1,1542.7,84.9,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T06:00:00,2026-04-24,D,4143.2,1853.8,98.3,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T07:00:00,2026-04-24,D,4107.2,1795.0,99.0,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T08:00:00,2026-04-24,D,3705.3,1602.9,90.2,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T09:00:00,2026-04-24,D,3711.3,1700.2,95.6,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T10:00:00,2026-04-24,D,4373.5,1777.4,90.3,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T11:00:00,2026-04-24,D,4220.6,1667.9,90.5,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T12:00:00,2026-04-24,D,4274.0,1914.7,89.6,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T13:00:00,2026-04-24,D,3779.7,1588.6,86.7,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
2026-04-24T14:00:00,2026-04-24,D,4224.8,1881.1,87.7,130.0,A185-001-20,A-185-08-20 hourly synthetic crusher dataset; Bozshakol-scaled tph/power assumptions
