hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
9-H-001,9,primary,1,1,363692.705,6591775.980,200.000,363692.705,6591775.980,182.960,17.04,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,4.85,hardness,1,0.5026,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.647,0.5026,1.0000,0.4800,0.725,170.0,954.26,691.8,21.00,395.4,0.414,1.53,153.4,247.4,383.5,bad,non_electric,face_row,1,0,450,450,56,1.0000,0.0000
9-H-002,9,primary,1,2,363693.598,6591768.043,200.000,363693.598,6591768.043,184.211,15.79,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,3.92,hardness,1,0.5069,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.660,0.5069,1.0000,0.4835,0.722,171.0,884.20,638.4,19.38,395.4,0.447,1.65,154.7,249.5,386.8,bad,non_electric,face_row,2,8,450,458,57,1.0000,0.0000
9-H-003,9,primary,1,3,363694.975,6591759.903,200.000,363694.975,6591759.903,183.487,16.51,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,1.71,hardness,1,0.5289,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.680,0.5289,1.0000,0.5139,0.788,165.0,924.72,728.7,22.12,395.4,0.428,1.58,155.0,250.0,387.5,bad,non_electric,face_row,3,16,450,466,58,1.0000,0.0000
9-H-004,9,primary,1,4,363694.918,6591751.493,200.000,363694.918,6591751.493,183.320,16.68,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,0.51,hardness,3,0.5755,mineralised_porphyry,high_grade_core,main_fault,soft,2.758,0.5755,1.0000,0.5848,0.936,151.0,934.06,874.3,26.53,395.4,0.423,1.56,150.2,242.3,375.5,bad,non_electric,face_row,4,24,450,474,59,1.0000,0.0000
9-H-005,9,primary,1,5,363696.386,6591744.329,200.000,363696.386,6591744.329,182.684,17.32,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,2.72,hardness,3,0.6016,mineralised_porphyry,high_grade_core,main_fault,medium,2.840,0.6016,1.0000,0.6423,1.056,139.0,969.71,1024.0,31.07,395.4,0.408,1.51,142.7,230.1,356.7,bad,non_electric,face_row,5,32,450,482,60,1.0000,0.0000
9-H-006,9,primary,1,6,363696.751,6591736.065,200.000,363696.751,6591736.065,183.614,16.39,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,4.93,hardness,4,0.6248,mineralised_porphyry,high_grade_core,main_fault,hard,2.890,0.6248,1.0000,0.6882,1.160,127.5,917.60,1064.4,32.30,395.4,0.431,1.59,134.5,216.9,336.2,bad,non_electric,face_row,6,40,450,490,61,1.0000,0.0000
9-H-007,9,primary,1,7,363697.212,6591728.688,200.000,363697.212,6591728.688,182.730,17.27,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,4.43,hardness,4,0.6378,mineralised_porphyry,high_grade_core,background,hard,2.895,0.6378,1.0000,0.6347,1.175,121.3,967.14,1136.4,34.49,395.4,0.409,1.51,125.0,201.5,312.4,bad,non_electric,face_row,7,48,450,498,62,1.0000,0.0000
9-H-008,9,primary,1,8,363698.305,6591720.206,200.000,363698.305,6591720.206,184.090,15.91,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,3.90,hardness,5,0.6439,mineralised_porphyry,high_grade_core,background,hard,2.906,0.6439,1.0000,0.6309,1.176,119.0,890.96,1047.8,31.80,395.4,0.444,1.64,122.4,197.5,306.1,bad,non_electric,face_row,9,61,450,511,63,1.0000,0.0000
9-H-009,9,primary,1,9,363699.701,6591712.049,200.000,363699.701,6591712.049,184.156,15.84,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,6,4.53,hardness,5,0.6491,mineralised_porphyry,high_grade_core,background,hard,2.907,0.6491,1.0000,0.6230,1.177,117.5,887.26,1044.3,31.70,395.4,0.446,1.65,120.5,194.4,301.2,bad,non_electric,face_row,11,75,450,525,65,1.0000,0.0000
9-H-010,9,primary,1,10,363699.734,6591704.588,200.000,363699.734,6591704.588,184.330,15.67,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,0.69,4,5.40,hardness,5,0.6485,mineralised_porphyry,high_grade_core,background,hard,2.915,0.6485,1.0000,0.6149,1.175,117.5,877.53,1031.1,31.29,395.4,0.451,1.66,120.0,193.5,300.0,bad,non_electric,face_row,13,88,450,538,67,1.0000,0.0000
