hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
23-H-001,23,primary,1,1,363334.039,6591820.218,200.000,363334.039,6591820.218,183.248,16.75,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,1.79,hardness,4,0.5222,mineralised_porphyry,high_grade_core,background,medium,2.584,0.5222,0.9392,0.4120,0.844,160.0,938.11,791.8,24.03,395.4,0.421,1.56,145.3,234.4,363.3,bad,non_electric,face_row,1,0,450,450,56,1.0000,0.0000
23-H-002,23,primary,1,2,363336.455,6591827.932,200.000,363336.455,6591827.932,183.323,16.68,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,2.47,5,3.75,hardness,4,0.5278,mineralised_porphyry,high_grade_core,background,medium,2.592,0.5278,0.9820,0.4178,0.856,160.0,933.89,799.4,24.26,395.4,0.423,1.56,146.4,236.2,366.1,bad,non_electric,face_row,2,8,450,458,57,1.0000,0.0000
23-H-003,23,primary,1,3,363338.322,6591835.977,200.000,363338.322,6591835.977,184.269,15.73,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,0.88,4,5.02,hardness,4,0.5225,mineralised_porphyry,high_grade_core,background,medium,2.610,0.5225,1.0000,0.4154,0.842,158.8,880.93,741.7,22.52,395.4,0.449,1.66,144.2,232.6,360.5,bad,non_electric,face_row,3,16,450,466,58,1.0000,0.0000
23-H-004,23,primary,2,1,363341.471,6591821.907,200.000,363341.471,6591821.907,184.619,15.38,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,7.62,5,3.43,hardness,4,0.5243,mineralised_porphyry,high_grade_core,background,medium,2.602,0.5243,1.0000,0.4241,0.854,160.0,861.31,735.6,22.32,395.4,0.459,1.70,146.6,236.4,366.5,bad,non_electric,face_row,4,97,450,547,68,1.0000,0.0000
23-H-005,23,primary,2,2,363344.266,6591830.456,200.000,363344.266,6591830.456,184.782,15.22,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,8.66,5,2.04,hardness,4,0.5317,mineralised_porphyry,high_grade_core,background,medium,2.618,0.5317,1.0000,0.4338,0.864,159.0,852.23,736.3,22.35,395.4,0.464,1.71,146.9,237.0,367.3,bad,non_electric,face_row,5,105,450,555,69,1.0000,0.0000
23-H-006,23,primary,2,3,363345.926,6591837.859,200.000,363345.926,6591837.859,183.614,16.39,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,6.38,5,3.85,hardness,4,0.5291,mineralised_porphyry,high_grade_core,background,medium,2.624,0.5291,1.0000,0.4413,0.876,157.0,917.62,803.8,24.40,395.4,0.431,1.59,145.7,234.9,364.2,bad,non_electric,face_row,6,113,450,563,70,1.0000,0.0000
23-H-007,23,primary,2,4,363348.064,6591845.730,200.000,363348.064,6591845.730,183.678,16.32,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,4.07,4,4.78,hardness,4,0.5414,mineralised_porphyry,high_grade_core,background,medium,2.638,0.5414,1.0000,0.4599,0.895,152.5,914.01,818.0,24.83,395.4,0.433,1.60,143.4,231.3,358.5,bad,non_electric,face_row,7,121,450,571,71,1.0000,0.0000
23-H-008,23,primary,2,5,363349.466,6591853.366,200.000,363349.466,6591853.366,185.111,14.89,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,1.12,4,5.00,hardness,5,0.5541,mineralised_porphyry,high_grade_core,background,medium,2.630,0.5541,1.0000,0.4591,0.880,150.0,833.81,733.8,22.27,395.4,0.474,1.75,140.7,227.0,351.9,bad,non_electric,face_row,8,129,450,579,72,1.0000,0.0000
23-H-009,23,primary,3,1,363347.147,6591816.520,200.000,363347.147,6591816.520,183.505,16.49,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.37,4,5.47,hardness,4,0.5257,mineralised_porphyry,high_grade_core,background,medium,2.603,0.5257,1.0000,0.4504,0.868,157.5,923.70,801.8,24.33,395.4,0.428,1.58,146.3,235.9,365.7,bad,non_electric,face_row,9,203,450,653,81,1.0000,0.0000
23-H-010,23,primary,3,2,363349.098,6591824.154,200.000,363349.098,6591824.154,184.088,15.91,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,11.36,4,5.25,hardness,4,0.5284,mineralised_porphyry,high_grade_core,background,medium,2.612,0.5284,1.0000,0.4515,0.883,157.5,891.06,786.8,23.88,395.4,0.444,1.64,147.1,237.2,367.6,bad,non_electric,face_row,10,211,450,661,82,1.0000,0.0000
