hole_id,pattern_id,role,row,column,x,y,z,toe_x,toe_y,toe_z,length_m,burden_m,spacing_m,hole_diameter_mm,explosive_product_key,explosive_product_name,charge_length_m,stemming_length_m,boundary_clearance_m,matched_block_count,nearest_block_distance_m,cluster_basis,cluster_id,cluster_score,lithology,mineral_domain,structure_domain,digability,density_tpm3,hardness_index,grade_index,energy_requirement_index,pf_target_kg_m3,target_p80_mm,effective_volume_m3,required_explosive_mass_kg,required_charge_length_m,explosive_mass_kg,powder_factor_kg_m3,energy_intensity_mj_m3,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,coarse_risk,timing_system,timing_template,sequence,surface_delay_ms,in_hole_delay_ms,firing_time_ms,timing_window,movement_vector_x,movement_vector_y
11-H-001,11,primary,1,1,363743.200,6591788.503,200.000,363743.200,6591788.503,184.756,15.24,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,3.54,hardness,3,0.5769,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.755,0.5769,1.0000,0.5614,0.840,157.5,853.67,717.1,21.77,395.4,0.463,1.71,151.5,244.3,378.7,bad,non_electric,face_row,1,0,450,450,56,1.0000,0.0000
11-H-002,11,primary,1,2,363745.071,6591781.048,200.000,363745.071,6591781.048,183.922,16.08,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,0.63,hardness,3,0.5854,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.780,0.5854,1.0000,0.5723,0.868,158.0,900.36,781.5,23.72,395.4,0.439,1.62,155.0,250.1,387.6,bad,non_electric,face_row,2,8,450,458,57,1.0000,0.0000
11-H-003,11,primary,1,3,363747.032,6591772.920,200.000,363747.032,6591772.920,183.592,16.41,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,2.60,hardness,4,0.6008,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.812,0.6008,1.0000,0.6033,0.946,153.0,918.86,869.2,26.39,395.4,0.430,1.59,153.9,248.3,384.8,bad,non_electric,face_row,3,16,450,466,58,1.0000,0.0000
11-H-004,11,primary,1,4,363748.346,6591765.511,200.000,363748.346,6591765.511,183.644,16.36,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,5.63,hardness,4,0.6044,mineralised_porphyry,high_grade_core,main_fault,medium,2.822,0.6044,1.0000,0.6255,1.022,148.8,915.91,936.1,28.41,395.4,0.432,1.59,150.6,242.8,376.4,bad,non_electric,face_row,4,24,450,474,59,1.0000,0.0000
11-H-005,11,primary,1,5,363751.528,6591757.750,200.000,363751.528,6591757.750,183.225,16.77,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,5.47,hardness,4,0.6191,mineralised_porphyry,high_grade_core,main_fault,medium,2.845,0.6191,1.0000,0.6579,1.100,138.8,939.39,1033.3,31.37,395.4,0.421,1.55,144.0,232.3,360.1,bad,non_electric,face_row,5,32,450,482,60,1.0000,0.0000
11-H-006,11,primary,1,6,363753.245,6591749.383,200.000,363753.245,6591749.383,183.156,16.84,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,6,2.44,hardness,4,0.6213,mineralised_porphyry,high_grade_core,main_fault,hard,2.867,0.6213,1.0000,0.6687,1.135,133.3,943.27,1070.6,32.49,395.4,0.419,1.55,139.4,224.8,348.5,bad,non_electric,face_row,7,45,450,495,61,1.0000,0.0000
11-H-007,11,primary,1,7,363754.954,6591742.141,200.000,363754.954,6591742.141,183.564,16.44,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,5,0.71,hardness,4,0.6212,mineralised_porphyry,high_grade_core,main_fault,hard,2.878,0.6212,1.0000,0.6757,1.166,128.0,920.40,1073.2,32.57,395.4,0.430,1.59,134.3,216.6,335.8,bad,non_electric,face_row,8,53,450,503,62,1.0000,0.0000
11-H-008,11,primary,1,8,363757.059,6591734.393,200.000,363757.059,6591734.393,182.855,17.15,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,3.68,hardness,5,0.6379,mineralised_porphyry,high_grade_core,background,hard,2.885,0.6379,1.0000,0.6197,1.180,126.3,960.13,1132.9,34.39,395.4,0.412,1.52,129.9,209.5,324.7,bad,non_electric,face_row,10,67,450,517,64,1.0000,0.0000
11-H-009,11,primary,1,9,363759.156,6591726.366,200.000,363759.156,6591726.366,184.971,15.03,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,3.50,4,6.39,hardness,4,0.6264,mineralised_porphyry,high_grade_core,background,hard,2.880,0.6264,1.0000,0.6045,1.180,125.0,841.62,993.1,30.14,395.4,0.470,1.73,127.1,205.0,317.8,bad,non_electric,face_row,12,80,450,530,66,1.0000,0.0000
11-H-010,11,primary,2,1,363737.445,6591783.117,200.000,363737.445,6591783.117,184.205,15.79,7.00,8.00,229,anfo.standard,ANFO,12.00,3.20,7.91,5,2.64,hardness,3,0.5790,fault_breccia_gouge,fault_damage_zone,main_fault,soft,2.760,0.5790,1.0000,0.5640,0.846,157.0,884.51,748.3,22.71,395.4,0.447,1.65,152.1,245.4,380.4,bad,non_electric,face_row,9,125,450,575,71,1.0000,0.0000
