pattern_id,pattern_type,surface,vertex_id,x,y,z_rl
1,Ramp,bottom_toe_floor,1,363647.73071457713,6591663.5828189105,190.0
1,Ramp,bottom_toe_floor,2,363638.17605114524,6591663.050528723,190.0
1,Ramp,bottom_toe_floor,3,363628.67317800736,6591662.323773338,190.0
1,Ramp,bottom_toe_floor,4,363619.13643375837,6591661.81696551,190.0
1,Ramp,bottom_toe_floor,5,363609.56943852204,6591661.393435727,190.0
1,Ramp,bottom_toe_floor,6,363600.0151687979,6591661.175749153,190.0
1,Ramp,bottom_toe_floor,7,363590.51485270733,6591661.555748723,190.0
1,Ramp,bottom_toe_floor,8,363581.0881849686,6591662.595275213,190.0
1,Ramp,bottom_toe_floor,9,363571.6517873303,6591663.733094441,190.0
1,Ramp,bottom_toe_floor,10,363562.13327557483,6591664.187030917,190.0
1,Ramp,bottom_toe_floor,11,363552.7283433929,6591664.93558323,190.0
1,Ramp,bottom_toe_floor,12,363550.19262041844,6591665.074472099,190.0
1,Ramp,bottom_toe_floor,13,363551.83334773045,6591695.029572063,190.0
1,Ramp,bottom_toe_floor,14,363554.36907070427,6591694.890683195,190.0
1,Ramp,bottom_toe_floor,15,363555.1085600895,6591694.841010304,190.0
1,Ramp,bottom_toe_floor,16,363564.0384004105,6591694.130271248,190.0
1,Ramp,bottom_toe_floor,17,363573.0808589155,6591693.699037683,190.0
1,Ramp,bottom_toe_floor,18,363575.243105809,6591693.517359273,190.0
1,Ramp,bottom_toe_floor,19,363584.52809247415,6591692.397796833,190.0
1,Ramp,bottom_toe_floor,20,363592.76125129074,6591691.48988463,190.0
1,Ramp,bottom_toe_floor,21,363600.273248202,6591691.18941509,190.0
1,Ramp,bottom_toe_floor,22,363608.56424965704,6591691.378319083,190.0
1,Ramp,bottom_toe_floor,23,363617.6769902142,6591691.781739064,190.0
1,Ramp,bottom_toe_floor,24,363626.7330782387,6591692.263003549,190.0
1,Ramp,bottom_toe_floor,25,363635.8884082544,6591692.963179725,190.0
1,Ramp,bottom_toe_floor,26,363636.50733900105,6591693.004082765,190.0
1,Ramp,bottom_toe_floor,27,363645.56179724616,6591693.508506528,190.0
1,Ramp,bottom_toe_floor,28,363647.2706011828,6591693.661075716,190.0
1,Ramp,bottom_toe_floor,29,363649.93851434434,6591663.77994054,190.0
1,Ramp,bottom_toe_floor,30,363647.73071457713,6591663.5828189105,190.0
1,Ramp,top_crest,1,363647.85819410725,6591661.823916862,200.0
1,Ramp,top_crest,2,363638.29233226844,6591661.291002811,200.0
1,Ramp,top_crest,3,363628.78720867075,6591660.564075317,200.0
1,Ramp,top_crest,4,363619.2222134551,6591660.055766158,200.0
1,Ramp,top_crest,5,363609.6285191998,6591659.631054412,200.0
1,Ramp,top_crest,6,363600.0,6591659.411676122,200.0
1,Ramp,top_crest,7,363590.38281915506,6591659.7963501215,200.0
1,Ramp,top_crest,8,363580.8860021291,6591660.843612329,200.0
1,Ramp,top_crest,9,363571.50405575294,6591661.974865948,200.0
1,Ramp,top_crest,10,363562.02130062215,6591662.427097196,200.0
1,Ramp,top_crest,11,363552.6101585627,6591663.176143763,200.0
1,Ramp,top_crest,12,363548.33555480954,6591663.410276151,200.0
1,Ramp,top_crest,13,363550.16915178363,6591696.886637672,200.0
1,Ramp,top_crest,14,363554.47638009774,6591696.650718342,200.0
1,Ramp,top_crest,15,363555.2376023214,6591696.599585615,200.0
1,Ramp,top_crest,16,363564.150375363,6591695.890204969,200.0
1,Ramp,top_crest,17,363573.1967115966,6591695.4587864755,200.0
1,Ramp,top_crest,18,363575.4225230067,6591695.271767186,200.0
1,Ramp,top_crest,19,363584.73027531616,6591694.149459717,200.0
1,Ramp,top_crest,20,363592.8932848426,6591693.249283232,200.0
1,Ramp,top_crest,21,363600.2884170001,6591692.953488121,200.0
1,Ramp,top_crest,22,363608.5051689793,6591693.140700398,200.0
1,Ramp,top_crest,23,363617.59121051704,6591693.542938416,200.0
1,Ramp,top_crest,24,363626.6190475758,6591694.02270157,200.0
1,Ramp,top_crest,25,363635.7630385845,6591694.722010569,200.0
1,Ramp,top_crest,26,363636.40015885286,6591694.764115693,200.0
1,Ramp,top_crest,27,363645.4343177148,6591695.267408577,200.0
1,Ramp,top_crest,28,363648.87007627386,6591695.574167522,200.0
1,Ramp,top_crest,29,363651.8516061504,6591662.18046545,200.0
1,Ramp,top_crest,30,363647.85819410725,6591661.823916862,200.0
2,Slot,bottom_toe_floor,1,363495.22879759717,6591702.485365343,190.0
2,Slot,bottom_toe_floor,2,363501.6695481994,6591701.518287357,190.0
2,Slot,bottom_toe_floor,3,363502.85524371866,6591701.315870891,190.0
2,Slot,bottom_toe_floor,4,363511.4976604856,6591699.661520815,190.0
2,Slot,bottom_toe_floor,5,363520.24241084926,6591698.208460768,190.0
2,Slot,bottom_toe_floor,6,363520.2751975268,6591698.202994145,190.0
2,Slot,bottom_toe_floor,7,363528.75717404316,6591696.783938483,190.0
2,Slot,bottom_toe_floor,8,363536.2569875004,6591695.843041989,190.0
2,Slot,bottom_toe_floor,9,363544.6842515699,6591695.420822691,190.0
2,Slot,bottom_toe_floor,10,363544.8238141994,6591695.413504452,190.0
2,Slot,bottom_toe_floor,11,363551.8333477296,6591695.029572063,190.0
2,Slot,bottom_toe_floor,12,363550.19262041844,6591665.074472099,190.0
2,Slot,bottom_toe_floor,13,363543.18308688805,6591665.458404488,190.0
