pattern_id,pattern_type,pattern_source,area_m2,bench_height_m,volume_m3,mean_density_tpm3,tonnes_est,blocks_in_pattern,ore_fraction,mean_au_gpt,mean_cu_pct,mean_ag_gpt,mean_au_eq_gpt,mean_RMR,mean_UCS_MPa,mean_fault_dist_m,mean_pf_target_kgpm3,mean_target_p80_mm
1,Ramp,fixed_access,5250.000000010305,15.0,78750.00000015457,2.732666666666667,215197.5000004224,45,0.0,0.2647777777777777,0.01901111111111111,0.8526666666666666,0.26099900229219636,63.29999999999999,125.75555555555556,259.3155555555555,1.0682222222222224,133.33333333333334
2,Slot,fixed_slot,3850.000000010389,15.0,57750.00000015584,2.7336363636363634,157867.500000426,33,0.0,0.36103030303030303,0.02753939393939394,1.2342424242424244,0.35561318199083,62.25454545454546,123.90606060606059,230.25151515151512,1.0596969696969698,135.75757575757575
3,Production,manual_drawn,6282.022703905197,15.0,94230.34055857795,2.8181818181818183,265558.23248326516,66,0.9242424242424242,0.766,0.07312727272727272,3.0142424242424246,0.7652537861420743,62.10454545454545,130.1121212121212,187.64848484848483,1.0884848484848486,133.93939393939394
4,Production,manual_drawn,5563.835809891354,15.0,83457.5371483703,2.8970909090909087,241784.0721676604,55,1.0,1.6196909090909093,0.14660181818181817,5.537636363636363,1.5614166664591793,63.17272727272727,149.29090909090908,135.57454545454544,1.1565454545454543,127.54545454545455
5,Production,manual_drawn,9354.376965910078,15.0,140315.65448865117,2.8330208333333338,397517.1724091507,96,0.9166666666666666,1.2863437500000001,0.10857604166666668,4.289479166666666,1.2334427975239695,61.036458333333336,136.83645833333335,143.43958333333333,1.1065625000000001,131.5625
6,Production,manual_drawn,15132.857380003941,15.0,226992.86070005913,2.839342105263158,644510.3869798126,152,0.993421052631579,2.9298223684210525,0.22344342105263157,7.840460526315789,2.6655589755466154,56.933552631578955,152.57434210526318,63.38947368421053,1.1289473684210525,127.66447368421052
7,Production,manual_drawn,9659.832748915744,15.0,144897.49123373616,2.7772631578947364,402418.464074831,95,0.8947368421052632,1.030084210526316,0.0858978947368421,3.2935789473684207,0.9910018011564224,59.421052631578945,126.66526315789473,116.91578947368421,1.070421052631579,134.78947368421052
8,Production,manual_drawn,7672.7190469517145,15.0,115090.78570427572,2.8914102564102566,332774.6782036578,78,0.7435897435897436,1.3256666666666668,0.1251628205128205,4.208589743589744,1.2714462514740403,64.80256410256409,161.5461538461538,117.81794871794874,1.1729487179487184,119.16666666666667
9,Production,manual_drawn,8081.782129340617,15.0,121226.73194010925,2.6954320987654317,326758.42449980305,81,0.6049382716049383,0.5486913580246914,0.036756790123456784,1.7453086419753088,0.5180911571791906,54.0,109.3851851851852,69.81111111111112,0.9990123456790123,140.6172839506173
10,Production,manual_drawn,12550.205180287667,15.0,188253.07770431502,2.529921875,476265.5793202213,128,0.71875,1.5793671875,0.07965859374999999,3.8103906249999997,1.3639859151833311,27.59296875,60.3578125,23.1046875,0.693359375,172.34375
