pattern_id,pattern_type,pattern_source,area_m2,bench_height_m,volume_m3,mean_density_tpm3,tonnes_est,blocks_in_pattern,ore_fraction,mean_au_gpt,mean_cu_pct,mean_ag_gpt,mean_au_eq_gpt,mean_RMR,mean_UCS_MPa,mean_fault_dist_m,mean_pf_target_kgpm3,mean_target_p80_mm
1,Ramp,fixed_access,2372.2900171883443,15.0,35584.350257825165,,,0,,,,,,,,,,
2,Slot,fixed_slot,3874.429822124481,15.0,58116.44733186721,,,0,,,,,,,,,,
3,First production blast,fixed_first_production,10449.999999987123,15.0,156749.99999980684,2.9065714285714286,455605.07142801,105,1.0,2.0905714285714283,0.19398190476190474,6.450285714285714,1.981695621351196,63.17523809523809,161.15333333333336,142.82857142857142,1.1718095238095236,123.76190476190476
4,Production,auto_grid,4081.4998817569517,15.0,61222.49822635428,2.7136585365853656,166136.9549430287,41,0.3902439024390244,0.42239024390243907,0.03361707317073171,1.5848780487804879,0.40848497843382525,55.86829268292683,112.46341463414635,74.15609756097561,1.008780487804878,139.5121951219512
5,Production,auto_grid,5638.693954696434,15.0,84580.40932044652,2.7657142857142856,233925.24634912063,56,0.7678571428571429,0.6208392857142856,0.05740178571428572,2.3648214285714286,0.6164716098752537,60.90892857142857,123.81785714285715,152.83392857142857,1.0601785714285714,136.25
6,Production,auto_grid,4883.5075975329055,15.0,73252.61396299358,2.7786,203539.71315757395,50,0.78,0.63862,0.056852,2.4748,0.6353848286515011,61.13399999999999,124.058,190.08199999999997,1.0612000000000001,136.4
7,Production,auto_grid,3179.3102451214145,15.0,47689.65367682122,2.790588235294117,133082.18649578813,34,0.38235294117647056,0.42123529411764704,0.03857647058823529,1.6326470588235293,0.42161524003524187,63.670588235294126,133.9558823529412,216.61764705882354,1.1102941176470589,129.85294117647058
8,Production,auto_grid,2206.9179550038125,15.0,33103.76932505719,2.7572727272727273,91276.12032990769,22,0.5,0.49277272727272714,0.040068181818181815,1.7081818181818178,0.48942985179473303,64.20454545454544,125.15454545454546,240.86818181818182,1.0568181818181819,135.0
9,Production,auto_grid,4677.85146790599,15.0,70167.77201858985,2.472727272727273,173505.76353687674,44,0.6818181818181818,0.6158636363636364,0.021252272727272727,1.2454545454545456,0.558788656422733,36.22272727272727,57.015909090909076,49.475,0.691590909090909,170.79545454545453
10,Production,auto_grid,8855.372388927417,15.0,132830.58583391126,2.4630000000000005,327161.7329089235,90,0.6777777777777778,0.7170777777777777,0.03178555555555555,1.8365555555555555,0.6304975810069875,26.74111111111111,43.13333333333333,20.494444444444444,0.61,179.38888888888889
11,Production,auto_grid,9900.000000028725,15.0,148500.00000043088,2.6959000000000004,400341.1500011617,100,0.82,1.0463999999999998,0.071012,2.9436,0.9738627644254662,50.338,107.934,66.84899999999999,0.9791000000000001,142.6
12,Production,auto_grid,9900.000000033597,15.0,148500.00000050396,2.85949494949495,424635.00000144116,99,1.0,1.948787878787879,0.15413535353535354,5.847373737373738,1.8263857459635435,60.95858585858586,147.00202020202022,108.72323232323232,1.1406060606060608,127.87878787878788
13,Production,auto_grid,9900.000000039181,15.0,148500.00000058772,2.8878,428838.3000016972,100,1.0,1.4408900000000002,0.132964,5.0247,1.3955704513119678,62.62299999999999,145.16700000000003,146.90400000000002,1.1384,128.9
14,Production,auto_grid,9900.000000028725,15.0,148500.00000043088,2.8964999999999996,430130.250001248,100,0.84,1.1610500000000001,0.111987,4.256,1.1304345745779676,64.04299999999999,150.99899999999997,178.61200000000005,1.1514000000000002,124.5
15,Production,auto_grid,4674.999999953661,15.0,70124.99999930491,2.84404255319149,199438.48404057638,47,1.0,1.0805531914893618,0.10589787234042555,3.8759574468085103,1.0625497782987043,62.01702127659575,139.75319148936168,196.4425531914894,1.115531914893617,129.7872340425532
16,Production,auto_grid,6783.656945834131,15.0,101754.85418751197,2.616769230769231,266268.97151929094,65,0.8153846153846154,0.653476923076923,0.03928307692307692,1.250923076923077,0.6084279171536607,53.118461538461546,98.4723076923077,131.28615384615387,0.9376923076923077,145.76923076923077
17,Production,auto_grid,9899.999999931308,15.0,148499.9999989696,2.5158585858585862,373604.9999974077,99,1.0,1.300050505050505,0.05133636363636364,2.51969696969697,1.1671612336059778,36.8040404040404,68.71919191919193,57.33434343434343,0.7569696969696971,164.74747474747474
18,Production,auto_grid,9899.99999993138,15.0,148499.9999989707,2.5315151515151513,375929.99999739433,99,0.7878787878787878,1.7411515151515153,0.0804909090909091,3.9885858585858593,1.5102948902236002,28.563636363636355,65.55454545454546,25.115151515151517,0.7225252525252527,170.55555555555554
19,Production,auto_grid,9899.999999931308,15.0,148499.9999989696,2.5962626262626265,385544.9999973249,99,0.8383838383838383,2.515020202020202,0.14247171717171717,6.122626262626262,2.1615064006054308,31.466666666666665,78.21818181818182,23.665656565656565,0.7779797979797981,165.1010101010101
20,Production,auto_grid,9899.999999936961,15.0,148499.99999905442,2.805050505050505,416549.9999973476,99,0.9191919191919192,2.992353535353535,0.22794343434343434,7.981818181818183,2.6788448969010927,49.381818181818176,141.0939393939394,45.05959595959597,1.0630303030303028,134.8989898989899
21,Production,auto_grid,9899.999999925727,15.0,148499.9999988859,2.8666666666666667,425699.99999680626,99,0.8787878787878788,2.046505050505051,0.18935050505050505,5.72,1.934660094680212,62.96969696969697,164.72727272727272,77.33131313131312,1.1756565656565656,119.8989898989899
22,Production,auto_grid,7287.499999971039,15.0,109312.49999956558,2.8627027027027023,312929.18918794557,74,1.0,2.416445945945946,0.2100054054054054,6.12,2.2749745629085574,63.71756756756757,158.6081081081081,100.5364864864865,1.1735135135135135,124.05405405405405
23,Production,auto_grid,3703.340371302519,15.0,55550.10556953779,2.80125,155609.73322666774,24,1.0,1.4049166666666668,0.11991666666666666,3.219583333333333,1.3515260697004121,61.208333333333336,145.69583333333333,66.60833333333333,1.1516666666666666,128.125
24,Production,auto_grid,1846.942716881081,15.0,27704.140753216216,2.6533333333333338,73508.32013186703,6,1.0,0.7118333333333333,0.0476,1.5599999999999998,0.6636623679297875,52.61666666666667,102.11666666666666,186.63333333333333,0.9633333333333334,143.33333333333334
