pattern_id,pattern_type,pattern_source,point_id,x,y,floor_rl,crest_rl
1,Ramp,fixed_access,1,444444.1709315107,6812393.121272809,185.0,200.0
1,Ramp,fixed_access,2,444294.171687407,6812392.645070834,185.0,200.0
1,Ramp,fixed_access,3,444294.0605736129,6812427.644894458,185.0,200.0
1,Ramp,fixed_access,4,444444.0598177166,6812428.121096433,185.0,200.0
1,Ramp,fixed_access,5,444444.1709315107,6812393.121272809,185.0,200.0
2,Slot,fixed_slot,1,444294.171687407,6812392.645070834,185.0,200.0
2,Slot,fixed_slot,2,444184.1722417309,6812392.295856052,185.0,200.0
2,Slot,fixed_slot,3,444184.06112793664,6812427.295679676,185.0,200.0
2,Slot,fixed_slot,4,444294.06057361275,6812427.644894458,185.0,200.0
2,Slot,fixed_slot,5,444294.171687407,6812392.645070834,185.0,200.0
3,Production,manual_drawn,1,444184.7834293895,6812428.261750461,185.0,200.0
3,Production,manual_drawn,2,444183.8748281732,6812485.50362709,185.0,200.0
3,Production,manual_drawn,3,444295.63277778216,6812485.50362709,185.0,200.0
3,Production,manual_drawn,4,444292.90697413316,6812428.463681868,185.0,200.0
3,Production,manual_drawn,5,444184.7834293895,6812428.261750461,185.0,200.0
4,Production,manual_drawn,1,444292.90697413316,6812535.476693988,185.0,200.0
4,Production,manual_drawn,2,444294.7241765658,6812485.50362709,185.0,200.0
4,Production,manual_drawn,3,444184.7834293895,6812486.412228306,185.0,200.0
4,Production,manual_drawn,4,444182.05762574053,6812537.293896421,185.0,200.0
4,Production,manual_drawn,5,444292.90697413316,6812535.476693988,185.0,200.0
5,Production,manual_drawn,1,444103.0093199195,6812536.385295204,185.0,200.0
5,Production,manual_drawn,2,444182.05762574053,6812537.293896421,185.0,200.0
5,Production,manual_drawn,3,444182.05762574053,6812419.175738297,185.0,200.0
5,Production,manual_drawn,4,444102.1007187032,6812419.175738297,185.0,200.0
5,Production,manual_drawn,5,444103.0093199195,6812536.385295204,185.0,200.0
6,Production,manual_drawn,1,444292.90697413316,6812617.250803458,185.0,200.0
6,Production,manual_drawn,2,444293.8155753495,6812537.293896421,185.0,200.0
6,Production,manual_drawn,3,444103.91792113584,6812538.202497637,185.0,200.0
6,Production,manual_drawn,4,444102.1007187032,6812617.250803458,185.0,200.0
6,Production,manual_drawn,5,444292.90697413316,6812617.250803458,185.0,200.0
7,Production,manual_drawn,1,444021.23521044955,6812426.444548028,185.0,200.0
7,Production,manual_drawn,2,444021.23521044955,6812538.202497637,185.0,200.0
7,Production,manual_drawn,3,444103.0093199195,6812538.202497637,185.0,200.0
7,Production,manual_drawn,4,444102.1007187032,6812419.175738297,185.0,200.0
7,Production,manual_drawn,5,444036.68143112725,6812418.267137081,185.0,200.0
7,Production,manual_drawn,6,444021.23521044955,6812426.444548028,185.0,200.0
8,Production,manual_drawn,1,444353.7832556275,6812617.250803458,185.0,200.0
8,Production,manual_drawn,2,444353.7832556275,6812489.138031955,185.0,200.0
8,Production,manual_drawn,3,444295.63277778216,6812488.229430739,185.0,200.0
8,Production,manual_drawn,4,444293.8155753495,6812619.976607107,185.0,200.0
8,Production,manual_drawn,5,444353.7832556275,6812617.250803458,185.0,200.0
9,Production,manual_drawn,1,443994.8857751759,6812433.713357759,185.0,200.0
9,Production,manual_drawn,2,443977.6223520656,6812436.439161408,185.0,200.0
9,Production,manual_drawn,3,443953.9987204409,6812440.073566273,185.0,200.0
9,Production,manual_drawn,4,443941.27830341225,6812443.707971138,185.0,200.0
9,Production,manual_drawn,5,443941.27830341225,6812536.385295204,185.0,200.0
9,Production,manual_drawn,6,444019.4180080169,6812539.111098853,185.0,200.0
9,Production,manual_drawn,7,444021.23521044955,6812427.353149245,185.0,200.0
9,Production,manual_drawn,8,444009.42339463724,6812429.170351677,185.0,200.0
9,Production,manual_drawn,9,443994.8857751759,6812433.713357759,185.0,200.0
10,Production,manual_drawn,1,444102.1007187032,6812615.4336010255,185.0,200.0
10,Production,manual_drawn,2,444103.91792113584,6812538.202497637,185.0,200.0
10,Production,manual_drawn,3,444103.00928095216,6812538.197392916,185.0,200.0
10,Production,manual_drawn,4,444103.0093199195,6812538.202497637,185.0,200.0
10,Production,manual_drawn,5,444021.23521044955,6812538.202497637,185.0,200.0
10,Production,manual_drawn,6,444021.23521044955,6812537.737988027,185.0,200.0
10,Production,manual_drawn,7,444019.4404989677,6812537.727905378,185.0,200.0
10,Production,manual_drawn,8,444019.4180080169,6812539.111098853,185.0,200.0
10,Production,manual_drawn,9,443972.15046350966,6812537.462231021,185.0,200.0
10,Production,manual_drawn,10,443942.1869046286,6812537.293896421,185.0,200.0
10,Production,manual_drawn,11,443941.27830341225,6812616.3422022415,185.0,200.0
10,Production,manual_drawn,12,444102.1007187032,6812615.4336010255,185.0,200.0
11,Production,manual_drawn,1,444102.1007187032,6812686.304495899,185.0,200.0
11,Production,manual_drawn,2,444292.90697413316,6812686.304495899,185.0,200.0
11,Production,manual_drawn,3,444294.6307388521,6812619.93955422,185.0,200.0
11,Production,manual_drawn,4,444293.8155753495,6812619.976607107,185.0,200.0
11,Production,manual_drawn,5,444293.8656494767,6812616.3462328855,185.0,200.0
11,Production,manual_drawn,6,444292.91720274417,6812616.350685687,185.0,200.0
11,Production,manual_drawn,7,444292.90697413316,6812617.250803458,185.0,200.0
11,Production,manual_drawn,8,444102.1007187032,6812617.250803458,185.0,200.0
11,Production,manual_drawn,9,444102.1008167766,6812617.2465372635,185.0,200.0
11,Production,manual_drawn,10,444101.19211748685,6812617.250803458,185.0,200.0
11,Production,manual_drawn,11,444102.1007187032,6812686.304495899,185.0,200.0
12,Production,manual_drawn,1,444103.91792113584,6812689.030299548,185.0,200.0
12,Production,manual_drawn,2,444103.88297493523,6812686.304495899,185.0,200.0
12,Production,manual_drawn,3,444102.1007187032,6812686.304495899,185.0,200.0
12,Production,manual_drawn,4,444101.20420620136,6812618.169545763,185.0,200.0
12,Production,manual_drawn,5,443941.27830341225,6812619.068005891,185.0,200.0
12,Production,manual_drawn,6,443940.3697021959,6812688.121698332,185.0,200.0
12,Production,manual_drawn,7,444103.91792113584,6812689.030299548,185.0,200.0
13,Production,manual_drawn,1,444422.8369480688,6812488.229430739,185.0,200.0
13,Production,manual_drawn,2,444353.7832556275,6812490.919834341,185.0,200.0
13,Production,manual_drawn,3,444353.7832556275,6812554.103018923,185.0,200.0
13,Production,manual_drawn,4,444354.6918568438,6812617.250803458,185.0,200.0
13,Production,manual_drawn,5,444426.47135293414,6812617.250803458,185.0,200.0
13,Production,manual_drawn,6,444422.8369480688,6812488.229430739,185.0,200.0
14,Production,manual_drawn,1,444141.17057100555,6812765.352801721,185.0,200.0
14,Production,manual_drawn,2,444291.0897717005,6812765.352801721,185.0,200.0
14,Production,manual_drawn,3,444292.90697413316,6812686.304495899,185.0,200.0
14,Production,manual_drawn,4,444142.0791722219,6812689.030299548,185.0,200.0
14,Production,manual_drawn,5,444141.17057100555,6812765.352801721,185.0,200.0
15,Production,manual_drawn,1,444421.9283468525,6812685.395894683,185.0,200.0
15,Production,manual_drawn,2,444423.74554928514,6812618.159404675,185.0,200.0
15,Production,manual_drawn,3,444294.7241765658,6812619.976607107,185.0,200.0
15,Production,manual_drawn,4,444292.90697413316,6812688.121698332,185.0,200.0
15,Production,manual_drawn,5,444421.9283468525,6812685.395894683,185.0,200.0
16,Production,manual_drawn,1,443941.27830341225,6812765.352801721,185.0,200.0
16,Production,manual_drawn,2,444141.17057100555,6812765.352801721,185.0,200.0
16,Production,manual_drawn,3,444140.2619697892,6812691.756103197,185.0,200.0
16,Production,manual_drawn,4,443941.27830341225,6812689.030299548,185.0,200.0
16,Production,manual_drawn,5,443941.27830341225,6812765.352801721,185.0,200.0
17,Production,manual_drawn,1,443857.6869915096,6812768.078605369,185.0,200.0
17,Production,manual_drawn,2,443938.55249976326,6812766.261402937,185.0,200.0
17,Production,manual_drawn,3,443940.3697021959,6812619.976607107,185.0,200.0
17,Production,manual_drawn,4,443860.4127951586,6812619.068005891,185.0,200.0
