pattern_number,hole_number,hole_id,deck,deck_type,actual_x,actual_y,actual_collar_rl,actual_toe_rl,actual_hole_length_m,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,actual_stemming_m,design_explosive_column_m,actual_explosive_column_m,design_explosive_kg,actual_explosive_kg,charge_factor_kg_per_m,charge_variance_pct,charge_status
16,1,16-H-001,1,charge,363389.922,6591754.318,200.026,183.894,16.132,ANFO,0.8,229,3.2,4.01,12,12.12,395.4,399.411,24.759,1.01,As charged
16,2,16-H-002,1,charge,363385.143,6591759.863,199.992,183.471,16.521,ANFO,0.8,229,3.2,3.88,12,12.64,395.4,416.459,25.208,5.33,Minor variance
16,3,16-H-003,1,charge,363379.606,6591766.411,199.97,183.545,16.425,ANFO,0.8,229,3.2,4.42,12,12.01,395.4,395.646,24.088,0.06,As charged
16,4,16-H-004,1,charge,363373.78,6591771.74,199.967,183.874,16.093,ANFO,0.8,229,3.2,4.65,12,11.44,395.4,376.926,23.422,-4.67,As charged
16,5,16-H-005,1,charge,363368.706,6591777.408,200.076,183.613,16.463,ANFO,0.8,229,3.2,3.6,12,12.86,395.4,423.728,25.738,7.16,Minor variance
16,6,16-H-006,1,charge,363363.219,6591783.592,200.056,185.196,14.86,ANFO,0.8,229,3.2,4.13,12,10.73,395.4,353.42,23.783,-10.62,Undercharged - review
16,7,16-H-007,1,charge,363386.002,6591768.247,200.125,182.88,17.245,ANFO,0.8,229,3.2,5.77,12,11.47,395.4,377.988,21.919,-4.4,As charged
16,8,16-H-008,1,charge,363381.662,6591773.564,199.946,185.228,14.718,ANFO,0.8,229,3.2,4.73,12,9.99,395.4,329.08,22.359,-16.77,Undercharged - review
16,9,16-H-009,1,charge,363376.497,6591779.217,200.08,185.046,15.034,ANFO,0.8,229,3.2,3.34,12,11.69,395.4,385.269,25.627,-2.56,As charged
16,10,16-H-010,1,charge,363371.113,6591784.773,199.913,183.511,16.402,ANFO,0.8,229,3.2,4.48,12,11.92,395.4,392.816,23.949,-0.65,As charged
16,11,16-H-011,1,charge,363365.559,6591791.42,200.069,183.392,16.677,ANFO,0.8,229,3.2,4.29,12,12.38,395.4,408.053,24.468,3.2,As charged
16,12,16-H-012,1,charge,363359.893,6591797.184,199.973,184.191,15.782,ANFO,0.8,229,3.2,4.46,12,11.32,395.4,372.968,23.632,-5.67,Minor variance
16,13,16-H-013,1,charge,363389.658,6591775.455,199.954,183.69,16.264,ANFO,0.8,229,3.2,3.89,12,12.38,395.4,407.777,25.072,3.13,As charged
16,14,16-H-014,1,charge,363384.117,6591781.476,199.917,184.013,15.904,ANFO,0.8,229,3.2,4.54,12,11.37,395.4,374.553,23.551,-5.27,Minor variance
16,15,16-H-015,1,charge,363378.649,6591787.136,200.022,184.043,15.979,ANFO,0.8,229,3.2,5.32,12,10.66,395.4,351.344,21.988,-11.14,Undercharged - review
16,16,16-H-016,1,charge,363372.914,6591793.016,199.964,182.776,17.188,ANFO,0.8,229,3.2,4.66,12,12.53,395.4,412.949,24.025,4.44,As charged
