Measurement ID,TimeStamp UTC,TimeStamp Site TZ,Hole Number,Hole ID,Parent Hole Easting (m),Parent Hole Northing (m),Measurement Easting (m),Measurement Northing (m),Measurement Offset Distance (m),Measurement Offset Angle (deg),Elevation (m),P20 RR (mm),P20 SWB (mm),P50 RR (mm),P50 SWB (mm),P80 RR (mm),P80 SWB (mm),Top Size RR (mm),Top Size SWB (mm),> 100 mm RR (%),> 100 mm SWB (%),< 10 mm RR (%),< 10 mm SWB (%),< 25 mm RR (%),< 25 mm SWB (%),25 mm to 100 mm RR (%),25 mm to 100 mm SWB (%),RR Xc (mm),RR n,SWB b,SWB x50 (mm),SWB xMax (mm),Instantaeous Mass (t/hr),Latitude,Longitude,Altitude (m),IsDay,IsGeoreferenced
1,2025-07-01T11:00:00Z,2025-07-01T19:00:00+08:00,1,2-H-001,363546.242,6591667.236,363547.036,6591663.467,3.85,281.9,185,15.5,15.5,39.8,39.9,78.4,82.2,138.4,149,25,27.9,8.8,10,29,25.8,28,28,50.1,1.142,1.861,39.9,149,1903,-20.0001129,118.0020865,200,False,True
2,2025-07-01T11:03:00Z,2025-07-01T19:03:00+08:00,1,2-H-001,363546.242,6591667.236,363545.833,6591662.877,4.38,264.6,185,12.7,11.8,35.4,36.5,75.6,81.2,135,126.6,40.3,43.3,5.6,5.3,28.5,25,28,28,52.1,1.087,1.921,36.5,126.6,1941,-20.0001182,118.002075,200,False,True
3,2025-07-01T11:07:00Z,2025-07-01T19:07:00+08:00,2,2-H-002,363537.916,6591668.773,363534.478,6591664.258,5.68,232.7,185,9.3,9.5,25.7,25.6,55,55,90,93,26.6,27.4,9,11.2,29,28.8,28,28,35.5,1.103,1.836,25.6,93,1423,-20.0001058,118.0019663,200,False,True
4,2025-07-01T11:09:00Z,2025-07-01T19:09:00+08:00,2,2-H-002,363537.916,6591668.773,363542.57,6591667.738,4.77,347.5,185,11.7,13.5,36,35.3,69.6,72.6,125.5,140.5,27.2,26.3,10.1,11.2,24.5,20.1,28,28,45.8,1.13,1.89,35.3,140.5,1775,-20.0000744,118.0020437,200,False,True
5,2025-07-01T11:15:00Z,2025-07-01T19:15:00+08:00,3,2-H-003,363530.04,6591669.371,363530.785,6591667.236,2.26,289.2,185,13.4,15.2,37.6,39.4,73.1,76.2,126.5,145.5,22.8,23.3,6.8,8.9,26.1,27.8,28,28,52.6,1.154,2.012,39.4,145.5,1789,-20.000079,118.001931,200,False,True
6,2025-07-01T11:16:00Z,2025-07-01T19:16:00+08:00,3,2-H-003,363530.04,6591669.371,363534.01,6591665.112,5.82,313,185,13.2,14.1,38,36.8,74.2,74.2,116.2,128.7,21,23.8,6.2,5.8,28.3,32.4,28,28,47.4,1.318,1.855,36.8,128.7,1332,-20.0000981,118.0019618,200,False,True
7,2025-07-01T11:21:00Z,2025-07-01T19:21:00+08:00,4,2-H-004,363521.861,6591670.86,363522.575,6591666.125,4.79,278.6,185,14.8,11.8,39,36.5,78.3,73,149.4,121.7,16.1,21.5,6.5,6.3,25.6,27.7,30.3,28,51,1.184,1.961,36.5,121.7,1573,-20.000089,118.0018524,200,False,True
8,2025-07-01T11:26:00Z,2025-07-01T19:26:00+08:00,4,2-H-004,363521.861,6591670.86,363516.805,6591669.403,5.26,196.1,185,11.8,11.6,32.7,36.9,71.1,75.8,125.2,139.3,34.1,37.5,4.4,3.6,20,21,28,28,47,1.113,2.112,36.9,139.3,1474,-20.0000594,118.0017972,200,False,True
9,2025-07-01T11:31:00Z,2025-07-01T19:31:00+08:00,5,2-H-005,363514.286,6591671.745,363517.929,6591667.876,5.31,313.3,185,12.8,12.6,34.2,33.5,72.3,73.6,119.2,135.3,24.3,20.7,4.1,3.5,26.2,21.9,28,29.3,45,1.166,1.867,33.5,135.3,1295,-20.0000732,118.0018079,200,False,True
10,2025-07-01T11:37:00Z,2025-07-01T19:37:00+08:00,5,2-H-005,363514.286,6591671.745,363514.116,6591674.84,3.1,93.1,185,9.8,13.7,31.5,34.7,74.3,74,125.2,116.7,35.5,39.6,5.8,4.9,32.8,34.1,28,28,48.4,1.156,1.818,34.7,116.7,1756,-20.0000105,118.0017714,200,False,True
11,2025-07-01T11:42:00Z,2025-07-01T19:42:00+08:00,6,2-H-006,363506.418,6591673.338,363504.92,6591678.027,4.92,107.7,185,13,12.8,32.8,38.2,71.9,74.9,124.1,116.2,31,31.1,9.6,8.8,28.8,27.2,28,28,47,1.17,1.791,38.2,116.2,1292,-19.9999817,118.0016834,200,False,True
12,2025-07-01T11:47:00Z,2025-07-01T19:47:00+08:00,6,2-H-006,363506.418,6591673.338,363502.207,6591672.395,4.32,192.6,185,13.1,11.4,33.4,32.3,68.1,64.6,116.4,105,25.1,25.4,5.7,5.1,30.1,32.3,28,28,42.9,1.216,1.887,32.3,105,1276,-20.0000325,118.0016575,200,False,True
13,2025-07-01T11:49:00Z,2025-07-01T19:49:00+08:00,7,2-H-007,363498.467,6591674.174,363496.514,6591679.537,5.71,110,185,11.1,9.1,28.1,28.6,57.5,57,101.3,96.4,18,18.5,9.8,10.1,34.2,32.3,28,28,41.3,1.012,1.885,28.6,96.4,1494,-19.9999681,118.001603,200,False,True
14,2025-07-01T11:55:00Z,2025-07-01T19:55:00+08:00,7,2-H-007,363498.467,6591674.174,363496.5,6591677.833,4.15,118.3,185,11.1,9.4,31.5,30.7,71.1,71.2,128.1,128.3,32.6,34.9,6.7,8,24.9,24.7,28,28,44.9,1.263,2.022,30.7,128.3,1451,-19.9999835,118.0016029,200,False,True
15,2025-07-01T11:56:00Z,2025-07-01T19:56:00+08:00,8,2-H-008,363542.933,6591674.881,363548.229,6591672.146,5.96,332.7,185,8.7,9.6,28.4,27.4,58.4,62.6,97.9,120.6,25.5,25.7,11.1,9.4,30.1,26.2,28,28,38,0.973,1.927,27.4,120.6,1737,-20.0000347,118.0020979,200,False,True
16,2025-07-01T11:59:00Z,2025-07-01T19:59:00+08:00,8,2-H-008,363542.933,6591674.881,363540.531,6591679.617,5.31,116.9,185,9.3,10.8,29.8,27.6,69,62.8,108.3,117.3,19.1,19.9,11.3,11.4,27.3,29.9,28,28,44.8,1.06,1.779,27.6,117.3,1409,-19.9999674,118.0020242,200,False,True
17,2025-07-01T12:00:00Z,2025-07-01T20:00:00+08:00,9,2-H-009,363535.127,6591676.264,363532.324,6591673.068,4.25,228.7,185,12.7,9.1,33.4,28.9,69.1,66.6,123,107.7,30.7,29.8,9.3,9.6,29.9,33,28,28,48.1,0.977,1.718,28.9,107.7,1565,-20.0000264,118.0019457,200,False,True
18,2025-07-01T12:04:00Z,2025-07-01T20:04:00+08:00,9,2-H-009,363535.127,6591676.264,363537.17,6591674.263,2.86,315.6,185,9.9,8.8,30.6,28.7,64.6,68,100.6,111.3,21.3,14.4,8.7,9.8,28.1,29.9,28,28,45.1,1.158,2.009,28.7,111.3,1740,-20.0000157,118.0019921,200,False,True
19,2025-07-01T12:10:00Z,2025-07-01T20:10:00+08:00,10,2-H-010,363527.151,6591677.107,363530.626,6591675.362,3.89,333.3,185,8.5,12.1,28,32.2,65.4,65.4,112.3,122.1,26.3,22.9,12.3,12.5,30.8,32.5,28,28,41.9,1.048,1.971,32.2,122.1,1184,-20.0000057,118.0019294,200,False,True
20,2025-07-01T12:16:00Z,2025-07-01T20:16:00+08:00,10,2-H-010,363527.151,6591677.107,363531.906,6591678.853,5.07,20.2,185,10.1,10.2,28.3,28.5,64.7,59.4,102.3,101.8,19.2,23.4,7.7,7.2,27.9,28.2,28,28,44.8,1.16,1.899,28.5,101.8,1640,-19.9999743,118.0019417,200,False,True
21,2025-07-01T12:22:00Z,2025-07-01T20:22:00+08:00,11,2-H-011,363519.243,6591678.302,363517.536,6591678.91,1.81,160.4,185,10.5,10.3,30.1,27.5,61.4,59.2,103.3,111.6,27.1,28.4,5.9,4,26.9,28.8,28,28,42.4,1.139,1.819,27.5,111.6,1732,-19.9999738,118.0018042,200,False,True
22,2025-07-01T12:26:00Z,2025-07-01T20:26:00+08:00,11,2-H-011,363519.243,6591678.302,363518.812,6591683.683,5.4,94.6,185,11.8,10.2,31.6,27.9,62.2,58.6,110.7,113,14,15.6,5.6,6.1,25.9,25.4,32.1,31,41.5,1.078,1.923,27.9,113,1817,-19.9999308,118.0018164,200,False,True
23,2025-07-01T12:31:00Z,2025-07-01T20:31:00+08:00,12,2-H-012,363511.509,6591679.293,363511.931,6591676.67,2.66,279.1,185,14.7,13.7,39.9,37.6,80.2,79.8,147.3,129.5,33.3,35.7,9.7,11,24,23.2,28,28,54,1.35,1.785,37.6,129.5,1750,-19.999994,118.0017505,200,False,True
24,2025-07-01T12:32:00Z,2025-07-01T20:32:00+08:00,12,2-H-012,363511.509,6591679.293,363509.563,6591682.09,3.41,124.8,185,12,10.8,33,33.3,64.5,71.9,121.9,111.8,23.6,23.9,11.2,11,27.5,27.2,28,28,42.3,1.029,2.003,33.3,111.8,1824,-19.9999451,118.0017279,200,False,True
25,2025-07-01T12:36:00Z,2025-07-01T20:36:00+08:00,13,2-H-013,363503.27,6591680.528,363500.173,6591675.653,5.78,237.6,185,12.9,15,32.9,37.6,72.5,79.3,125.3,133,28.2,28.4,9.1,9.9,29.9,27,28,28,49.4,1.138,2.035,37.6,133,1719,-20.0000031,118.001638,200,False,True
26,2025-07-01T12:40:00Z,2025-07-01T20:40:00+08:00,13,2-H-013,363503.27,6591680.528,363503.359,6591684.699,4.17,88.8,185,11.9,11.9,31.3,31.3,70.6,69.4,122.1,115.5,25,28.7,7.7,7.1,28.2,30.8,28,28,47.9,1.311,1.913,31.3,115.5,1347,-19.9999216,118.0016685,200,False,True
27,2025-07-01T12:41:00Z,2025-07-01T20:41:00+08:00,14,2-H-014,363495.279,6591681.563,363499.182,6591681.307,3.91,356.2,185,13.3,12.3,33.6,35,77,72.5,126.7,116.1,37,35.6,8,9.1,29.5,31.3,28,28,50.6,1.187,1.942,35,116.1,1617,-19.9999522,118.0016285,200,False,True
28,2025-07-01T12:44:00Z,2025-07-01T20:44:00+08:00,14,2-H-014,363495.279,6591681.563,363496.233,6591685.903,4.44,77.6,185,9.4,8.5,26.4,26.1,62.6,58.6,119.2,100.3,40,35.5,9.5,7.8,25.6,25.8,28,28,39.5,1.197,1.796,26.1,100.3,1730,-19.9999108,118.0016003,200,False,True
29,2025-07-01T12:49:00Z,2025-07-01T20:49:00+08:00,15,2-H-015,363547.803,6591681.126,363549.116,6591678.931,2.56,300.9,185,11.7,12.7,33,32.6,68.8,69.8,121.3,132.2,25.5,27.6,8.3,7.2,27.2,27.5,28,28,49.5,1.255,1.875,32.6,132.2,1647,-19.9999736,118.0021064,200,False,True
30,2025-07-01T12:52:00Z,2025-07-01T20:52:00+08:00,15,2-H-015,363547.803,6591681.126,363549.306,6591677.251,4.16,291.2,185,13.7,13.3,38.1,35.2,74,74.8,123.3,120.2,41.6,41.6,4.8,5.3,30,32.4,28,28,50.6,1.271,1.931,35.2,120.2,1682,-19.9999887,118.0021082,200,False,True
31,2025-07-01T12:58:00Z,2025-07-01T20:58:00+08:00,16,2-H-016,363539.691,6591682.243,363537.127,6591678.749,4.33,233.7,185,13.1,15.4,35.5,38.6,77.5,80.3,142.3,141.9,23.9,17.4,7.5,5.1,32.5,34.7,28,28,49.9,1.155,1.734,38.6,141.9,1299,-19.9999752,118.0019916,200,False,True
32,2025-07-01T13:01:00Z,2025-07-01T21:01:00+08:00,16,2-H-016,363539.691,6591682.243,363535.971,6591682.682,3.75,173.3,185,13.8,13.7,35,41.6,83.2,87.1,130.2,159,28.2,28.9,6.4,7.7,27.5,27.3,28,28,58.4,1.12,1.884,41.6,159,1224,-19.9999398,118.0019806,200,False,True
33,2025-07-01T13:06:00Z,2025-07-01T21:06:00+08:00,17,2-H-017,363532.162,6591683.347,363526.674,6591683.953,5.52,173.7,185,11.3,13.3,29,34.2,66.6,73.6,117.1,140.8,29.1,28.2,6.5,6.8,26.9,28.3,28,28,44.8,1.091,1.919,34.2,140.8,1624,-19.9999283,118.0018916,200,False,True
34,2025-07-01T13:07:00Z,2025-07-01T21:07:00+08:00,17,2-H-017,363532.162,6591683.347,363533.077,6591683.609,0.95,16,185,11.5,9.5,29.4,28.2,67.9,64,107.1,103.3,21.9,22.6,4,3.5,33.4,33.2,28,28,47.9,1.177,1.838,28.2,103.3,1723,-19.9999314,118.0019529,200,False,True
35,2025-07-01T13:13:00Z,2025-07-01T21:13:00+08:00,18,2-H-018,363524.233,6591684.986,363523.959,6591681.929,3.07,264.9,185,11.3,11,30.7,29.9,68.9,69.7,117.5,117.6,32.2,28.1,9.6,9.6,28.4,29.5,28,28,47.4,1.223,1.813,29.9,117.6,1524,-19.9999466,118.0018656,200,False,True
36,2025-07-01T13:17:00Z,2025-07-01T21:17:00+08:00,18,2-H-018,363524.233,6591684.986,363527.301,6591689.363,5.35,55,185,11.1,13.1,34.8,36.5,77,74,139.1,115.2,28.4,32.1,8.7,8.9,26.2,28.2,28,28,50.2,1.273,1.801,36.5,115.2,1268,-19.9998796,118.0018976,200,False,True
37,2025-07-01T13:19:00Z,2025-07-01T21:19:00+08:00,19,2-H-019,363516.296,6591685.801,363516.664,6591690.53,4.74,85.5,185,11.5,9.9,32.9,32.7,70.6,77.6,137.5,145.5,32.6,33,6.3,7.7,31.9,34.1,28,28,44.3,1.232,1.7,32.7,145.5,1300,-19.9998691,118.0017958,200,False,True
38,2025-07-01T13:23:00Z,2025-07-01T21:23:00+08:00,19,2-H-019,363516.296,6591685.801,363513.584,6591688.252,3.65,137.9,185,10.5,12.4,33.5,39.7,73.7,79.9,132.4,129.3,32,29.6,9,8.8,28.8,26.9,28,28,46.8,1.174,1.803,39.7,129.3,1195,-19.9998896,118.0017664,200,False,True
39,2025-07-01T13:28:00Z,2025-07-01T21:28:00+08:00,20,2-H-020,363508.321,6591686.854,363504.248,6591681.756,6.52,231.4,185,11.1,10.2,28.9,29,57.5,60.3,110,111.5,30.6,30.7,11.1,11.5,27.6,26.5,28,28,36.8,1.123,1.808,29,111.5,1284,-19.9999481,118.001677,200,False,True
40,2025-07-01T13:31:00Z,2025-07-01T21:31:00+08:00,20,2-H-020,363508.321,6591686.854,363504,6591690.618,5.73,138.9,185,11.9,8.3,30.6,26.3,60.2,58.1,102.6,111.5,31,31.4,6.2,6.7,25,25.8,28,28,37.8,1.215,1.935,26.3,111.5,1589,-19.9998683,118.0016746,200,False,True
41,2025-07-01T13:36:00Z,2025-07-01T21:36:00+08:00,21,2-H-021,363500.207,6591688.009,363499.911,6591688.364,0.46,129.9,185,10.6,9,30.3,29,69.7,66.1,114.2,109,34,35.8,8.9,9.2,35.4,33.3,28,28,45,1.128,1.897,29,109,1439,-19.9998886,118.0016355,200,False,True
42,2025-07-01T13:39:00Z,2025-07-01T21:39:00+08:00,21,2-H-021,363500.207,6591688.009,363496.901,6591693.079,6.05,123.1,185,11.5,10.5,29.9,27,60,59.1,96.6,108.4,29.5,32.4,8.8,11.3,26.4,26.1,28,28,37.7,1.221,1.901,27,108.4,1408,-19.9998461,118.0016067,200,False,True
43,2025-07-01T13:45:00Z,2025-07-01T21:45:00+08:00,22,2-H-022,363545.04,6591689.104,363546.46,6591683.984,5.31,285.5,185,11.2,12.8,36.6,32.1,82.2,75.2,144.3,118.4,26.1,21.3,3.5,3.5,29.1,27.5,28,28,52.1,1.284,1.912,32.1,118.4,1505,-19.9999281,118.002081,200,False,True
44,2025-07-01T13:51:00Z,2025-07-01T21:51:00+08:00,22,2-H-022,363545.04,6591689.104,363545.79,6591685.36,3.82,281.3,185,8,11.9,25.5,32.3,60,62.9,111.1,103.5,30.5,31.6,7.5,9,29.2,31,28,28,39.6,1.13,1.927,32.3,103.5,1815,-19.9999157,118.0020745,200,False,True
45,2025-07-01T13:52:00Z,2025-07-01T21:52:00+08:00,23,2-H-023,363536.905,6591689.93,363536.887,6591683.724,6.21,269.8,185,12.7,12.4,32.4,32.6,63.4,63.2,115,116.9,28.1,27.9,8.4,8.5,31.3,32.3,28,28,43.1,1.149,1.984,32.6,116.9,1185,-19.9999304,118.0019894,200,False,True
46,2025-07-01T13:56:00Z,2025-07-01T21:56:00+08:00,23,2-H-023,363536.905,6591689.93,363541.197,6591690.053,4.29,1.6,185,14.1,12.7,36.5,33,75.2,73.9,129.1,115,35.7,38.9,5.2,4.4,26.2,26.1,28,28,49.9,0.951,1.883,33,115,1626,-19.9998734,118.0020306,200,False,True
47,2025-07-01T14:01:00Z,2025-07-01T22:01:00+08:00,24,2-H-024,363529.271,6591690.755,363527.199,6591692.43,2.66,141,185,13.6,10.5,34.2,34.1,71.8,69.3,129.3,118,24.2,25.1,7.8,7,33.6,33.4,28,28,49.1,1,1.869,34.1,118,1538,-19.999852,118.0018966,200,False,True
48,2025-07-01T14:02:00Z,2025-07-01T22:02:00+08:00,24,2-H-024,363529.271,6591690.755,363531.029,6591687.308,3.87,297,185,12.9,11.1,32.4,27.9,76.9,65.6,126,103.5,25.3,21.1,9,8.3,28.2,24.9,28,28,53.7,1.146,1.786,27.9,103.5,1339,-19.9998981,118.0019333,200,False,True
49,2025-07-01T14:08:00Z,2025-07-01T22:08:00+08:00,25,2-H-025,363521.081,6591692.279,363520.727,6591695.527,3.27,96.2,185,13.2,10.6,33,31.6,69.7,66,130.1,106.8,24.4,23.2,6.3,6.4,30.9,28.2,28,28,49.8,1.153,1.857,31.6,106.8,1765,-19.9998241,118.0018347,200,False,True
50,2025-07-01T14:10:00Z,2025-07-01T22:10:00+08:00,25,2-H-025,363521.081,6591692.279,363519.498,6591692.518,1.6,171.4,185,12.3,11.4,33,30.5,64.9,66.1,113.5,113.8,27.2,27.3,9.5,10.1,26.7,25.8,28,28,41.3,1.172,2.004,30.5,113.8,1407,-19.9998512,118.001823,200,False,True
51,2025-07-01T14:13:00Z,2025-07-01T22:13:00+08:00,26,2-H-026,363513.524,6591693.303,363514.19,6591693.167,0.68,348.5,185,8.7,9.7,25.8,26.9,60.9,60.3,106.7,113.1,20.5,19.5,10,9.5,26.9,25.3,28,28,43,1.102,1.941,26.9,113.1,1332,-19.9998453,118.0017722,200,False,True
52,2025-07-01T14:17:00Z,2025-07-01T22:17:00+08:00,26,2-H-026,363513.524,6591693.303,363515.026,6591699.733,6.6,76.9,185,10.5,8.8,26.4,28.4,55,56.2,106.3,90.6,40.9,37.6,7.5,7.8,29.8,28.7,28,28,36.1,1.301,1.828,28.4,90.6,1318,-19.9997862,118.0017802,200,False,True
53,2025-07-01T14:20:00Z,2025-07-01T22:20:00+08:00,27,2-H-027,363505.533,6591694.511,363509.155,6591699.031,5.79,51.3,185,10.4,10.9,29.2,33.8,66.7,65.2,128.7,126.1,32.5,33.2,8.4,7.7,29.9,28.1,28,28,45.3,1.127,1.852,33.8,126.1,1444,-19.9997925,118.001724,200,False,True
54,2025-07-01T14:23:00Z,2025-07-01T22:23:00+08:00,27,2-H-027,363505.533,6591694.511,363509.777,6591691.89,4.99,328.3,185,14.9,12.3,38.6,37.1,74.9,77.7,139.8,120.5,32.1,33.3,4.3,3.5,24.2,27,28,28,50.4,1.082,1.868,37.1,120.5,1928,-19.9998568,118.0017299,200,False,True
55,2025-07-01T14:27:00Z,2025-07-01T22:27:00+08:00,28,2-H-028,363497.677,6591695.262,363498.231,6591698.436,3.22,80.1,185,12.8,10,34.2,33.1,67.2,67.4,128.9,116.9,21.3,27.5,8.9,8.6,27.9,26.1,28,28,47.9,1.043,1.993,33.1,116.9,1622,-19.9997979,118.0016194,200,False,True
56,2025-07-01T14:33:00Z,2025-07-01T22:33:00+08:00,28,2-H-028,363497.677,6591695.262,363501.306,6591697.951,4.52,36.5,185,12.2,10,30.6,29,62.6,59.5,119.6,115.3,28.4,25.2,8.3,9.3,24.7,23.5,28,28,40.1,1.128,1.951,29,115.3,1729,-19.9998022,118.0016489,200,False,True
