polygon_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
pattern_19,19-H-001,363742.21,6591883.153,199.976,199.226,0,0.75,0.705316,39.511425,70.586563,16.213798,0.679999
pattern_19,19-H-001,363742.21,6591883.153,199.226,198.476,1,1.5,0.713215,39.419748,70.465291,14.986765,0.669635
pattern_19,19-H-001,363742.21,6591883.153,198.476,197.726,2,2.25,0.684911,40.445702,69.076804,18.239969,0.701668
pattern_19,19-H-001,363742.21,6591883.153,197.726,196.976,3,3,0.72223,41.50797,71.169163,17.204047,0.70344
pattern_19,19-H-001,363742.21,6591883.153,196.976,196.226,4,3.75,0.718585,40.05989,69.854625,17.27402,0.669848
pattern_19,19-H-001,363742.21,6591883.153,196.226,195.476,5,4.5,0.679154,40.807365,68.547737,17.874445,0.708408
pattern_19,19-H-001,363742.21,6591883.153,195.476,194.726,6,5.25,0.680464,40.626607,67.498857,16.933716,0.693075
pattern_19,19-H-001,363742.21,6591883.153,194.726,193.976,7,6,0.699913,40.656947,69.884642,18.064175,0.698275
pattern_19,19-H-001,363742.21,6591883.153,193.976,193.226,8,6.75,0.675416,41.126013,68.427174,18.287785,0.716654
pattern_19,19-H-001,363742.21,6591883.153,193.226,192.476,9,7.5,0.640536,44.203961,70.208706,18.56002,0.833054
pattern_19,19-H-001,363742.21,6591883.153,192.476,191.726,10,8.25,0.616295,42.823079,67.964075,18.472866,0.812004
pattern_19,19-H-001,363742.21,6591883.153,191.726,190.976,11,9,0.618332,43.076806,67.526471,18.473362,0.808891
pattern_19,19-H-001,363742.21,6591883.153,190.976,190.226,12,9.75,0.635349,43.60492,67.215536,18.445721,0.793247
pattern_19,19-H-001,363742.21,6591883.153,190.226,189.476,13,10.5,0.609433,43.571116,67.903401,18.149175,0.834642
pattern_19,19-H-001,363742.21,6591883.153,189.476,188.726,14,11.25,0.572404,44.858961,67.152277,18.14545,0.904595
pattern_19,19-H-001,363742.21,6591883.153,188.726,187.976,15,12,0.58584,45.292342,67.967229,18.271813,0.903237
pattern_19,19-H-001,363742.21,6591883.153,187.976,187.226,16,12.75,0.600551,45.302534,68.920218,19.244933,0.893807
pattern_19,19-H-001,363742.21,6591883.153,187.226,186.476,17,13.5,0.623138,43.908159,68.447233,19.22723,0.829333
pattern_19,19-H-001,363742.21,6591883.153,186.476,185.726,18,14.25,0.594534,43.733299,68.250975,19.105837,0.863179
pattern_19,19-H-001,363742.21,6591883.153,185.726,184.976,19,15,0.59175,44.468243,67.578715,18.941942,0.873082
pattern_19,19-H-001,363742.21,6591883.153,184.976,184.226,20,15.75,0.62064,44.370092,68.140462,19.255774,0.83764
pattern_19,19-H-001,363742.21,6591883.153,184.226,183.764,21,16.212,0.584823,45.344702,69.162775,18.628075,0.921785
pattern_19,19-H-002,363749.637,6591880.15,200.111,199.361,0,0.75,0.808808,35.991998,70.722887,14.968126,0.541462
pattern_19,19-H-002,363749.637,6591880.15,199.361,198.611,1,1.5,0.795179,37.422026,69.877699,15.695001,0.565788
pattern_19,19-H-002,363749.637,6591880.15,198.611,197.861,2,2.25,0.78796,35.380912,69.686025,15.566331,0.538426
pattern_19,19-H-002,363749.637,6591880.15,197.861,197.111,3,3,0.766744,36.867651,70.960999,16.037718,0.58701
pattern_19,19-H-002,363749.637,6591880.15,197.111,196.361,4,3.75,0.747664,39.096683,71.16296,16.296897,0.640059
pattern_19,19-H-002,363749.637,6591880.15,196.361,195.611,5,4.5,0.765846,37.895442,70.046661,16.747377,0.596354
pattern_19,19-H-002,363749.637,6591880.15,195.611,194.861,6,5.25,0.755538,39.096213,68.966654,16.510708,0.61394
pattern_19,19-H-002,363749.637,6591880.15,194.861,194.111,7,6,0.755281,37.708107,69.606429,16.618604,0.597904
pattern_19,19-H-002,363749.637,6591880.15,194.111,193.361,8,6.75,0.707404,39.279282,68.383744,16.49425,0.653086
pattern_19,19-H-002,363749.637,6591880.15,193.361,192.611,9,7.5,0.73096,38.819974,70.00417,16.039599,0.639437
pattern_19,19-H-002,363749.637,6591880.15,192.611,191.861,10,8.25,0.726131,39.664875,70.548379,16.59422,0.662809
pattern_19,19-H-002,363749.637,6591880.15,191.861,191.111,11,9,0.711125,38.657101,68.155919,18.182837,0.637501
pattern_19,19-H-002,363749.637,6591880.15,191.111,190.361,12,9.75,0.730965,40.51173,70.143654,18.079005,0.668787
pattern_19,19-H-002,363749.637,6591880.15,190.361,189.611,13,10.5,0.7197,39.829289,69.650675,16.68928,0.66297
pattern_19,19-H-002,363749.637,6591880.15,189.611,188.861,14,11.25,0.664183,40.325654,68.662759,17.366015,0.716938
pattern_19,19-H-002,363749.637,6591880.15,188.861,188.111,15,12,0.67385,41.077381,70.493178,18.710464,0.739114
pattern_19,19-H-002,363749.637,6591880.15,188.111,187.361,16,12.75,0.668444,41.365658,68.964487,16.540947,0.733801
pattern_19,19-H-002,363749.637,6591880.15,187.361,186.611,17,13.5,0.655391,42.711078,69.18064,18.365718,0.775289
pattern_19,19-H-002,363749.637,6591880.15,186.611,185.861,18,14.25,0.680532,42.270481,67.724157,17.237285,0.7234
pattern_19,19-H-002,363749.637,6591880.15,185.861,185.111,19,15,0.729581,39.680835,69.982937,16.078918,0.654612
pattern_19,19-H-002,363749.637,6591880.15,185.111,184.361,20,15.75,0.687177,40.578389,69.064208,17.739854,0.70146
