polygon_id,hole_id,x,y,rl_top_m,rl_floor_m,sample_index,depth_m,pen,torque,rpm,wob,mse
pattern_21,21-H-001,363483.444,6591676.146,200.065,199.315,0,0.75,0.927544,30.178354,70.819575,13.593963,0.396746
pattern_21,21-H-001,363483.444,6591676.146,199.315,198.565,1,1.5,0.917403,30.938368,71.395398,13.900937,0.414541
pattern_21,21-H-001,363483.444,6591676.146,198.565,197.815,2,2.25,0.882788,31.895226,71.01585,14.008367,0.44166
pattern_21,21-H-001,363483.444,6591676.146,197.815,197.065,3,3,0.881537,32.951217,71.913297,14.661425,0.462703
pattern_21,21-H-001,363483.444,6591676.146,197.065,196.315,4,3.75,0.875753,31.884474,70.675048,14.83088,0.443017
pattern_21,21-H-001,363483.444,6591676.146,196.315,195.565,5,4.5,0.8797,32.7248,69.578543,14.604603,0.445592
pattern_21,21-H-001,363483.444,6591676.146,195.565,194.815,6,5.25,0.857934,33.05583,71.941567,14.665124,0.477074
pattern_21,21-H-001,363483.444,6591676.146,194.815,194.065,7,6,0.85319,35.009078,70.294172,14.420971,0.496337
pattern_21,21-H-001,363483.444,6591676.146,194.065,193.315,8,6.75,0.855354,35.053778,70.457192,15.620462,0.497007
pattern_21,21-H-001,363483.444,6591676.146,193.315,192.565,9,7.5,0.850075,34.979454,71.417547,16.161261,0.505867
pattern_21,21-H-001,363483.444,6591676.146,192.565,191.815,10,8.25,0.823665,33.792233,68.988976,15.561177,0.487216
pattern_21,21-H-001,363483.444,6591676.146,191.815,191.065,11,9,0.848792,34.235627,70.312823,15.570996,0.488185
pattern_21,21-H-001,363483.444,6591676.146,191.065,190.315,12,9.75,0.870677,35.11254,69.039488,14.41871,0.47916
pattern_21,21-H-001,363483.444,6591676.146,190.315,189.565,13,10.5,0.834679,34.634472,70.068745,15.299381,0.500399
pattern_21,21-H-001,363483.444,6591676.146,189.565,188.815,14,11.25,0.820083,33.962631,70.137894,14.845535,0.499865
pattern_21,21-H-001,363483.444,6591676.146,188.815,188.065,15,12,0.805956,35.584449,71.299915,15.352851,0.541655
pattern_21,21-H-001,363483.444,6591676.146,188.065,187.315,16,12.75,0.806557,33.87806,68.848258,15.303391,0.497724
pattern_21,21-H-001,363483.444,6591676.146,187.315,186.565,17,13.5,0.823175,33.740217,69.517142,14.272129,0.490313
pattern_21,21-H-001,363483.444,6591676.146,186.565,185.815,18,14.25,0.806247,36.505766,68.854475,15.666559,0.536483
pattern_21,21-H-001,363483.444,6591676.146,185.815,185.065,19,15,0.768944,35.23276,69.351579,15.132294,0.546711
pattern_21,21-H-001,363483.444,6591676.146,185.065,184.315,20,15.75,0.803278,34.032957,69.858661,14.903858,0.509316
pattern_21,21-H-001,363483.444,6591676.146,184.315,183.987,21,16.078,0.811374,34.307581,70.079169,14.535492,0.509861
pattern_21,21-H-002,363476.244,6591679.064,200.078,199.328,0,0.75,0.929075,29.121895,71.000449,13.379299,0.383233
pattern_21,21-H-002,363476.244,6591679.064,199.328,198.578,1,1.5,0.926992,30.917509,69.57598,15.069377,0.399731
pattern_21,21-H-002,363476.244,6591679.064,198.578,197.828,2,2.25,0.882321,31.114426,70.758681,14.392055,0.429608
pattern_21,21-H-002,363476.244,6591679.064,197.828,197.078,3,3,0.919892,30.466958,71.331366,13.068011,0.406685
pattern_21,21-H-002,363476.244,6591679.064,197.078,196.328,4,3.75,0.887833,29.917903,70.882827,13.955667,0.411265
pattern_21,21-H-002,363476.244,6591679.064,196.328,195.578,5,4.5,0.883436,31.813753,71.441704,15.079434,0.442974
pattern_21,21-H-002,363476.244,6591679.064,195.578,194.828,6,5.25,0.874411,31.200697,71.174249,14.437336,0.437224
pattern_21,21-H-002,363476.244,6591679.064,194.828,194.078,7,6,0.898585,31.548206,70.312963,14.796484,0.425087
pattern_21,21-H-002,363476.244,6591679.064,194.078,193.328,8,6.75,0.886258,34.646397,70.372723,14.62053,0.473501
pattern_21,21-H-002,363476.244,6591679.064,193.328,192.578,9,7.5,0.853278,33.264505,70.3436,15.336996,0.472084
pattern_21,21-H-002,363476.244,6591679.064,192.578,191.828,10,8.25,0.840614,34.356156,71.19615,15.248354,0.500796
pattern_21,21-H-002,363476.244,6591679.064,191.828,191.078,11,9,0.876669,32.619714,69.222957,14.984684,0.443474
pattern_21,21-H-002,363476.244,6591679.064,191.078,190.328,12,9.75,0.845917,33.535713,69.384634,15.212719,0.473509
pattern_21,21-H-002,363476.244,6591679.064,190.328,189.578,13,10.5,0.839133,35.240029,70.234245,15.113381,0.507592
pattern_21,21-H-002,363476.244,6591679.064,189.578,188.828,14,11.25,0.823188,34.099875,70.249796,15.052362,0.500812
pattern_21,21-H-002,363476.244,6591679.064,188.828,188.078,15,12,0.833028,33.556658,69.713231,15.056643,0.483357
pattern_21,21-H-002,363476.244,6591679.064,188.078,187.328,16,12.75,0.830145,34.934681,71.58328,15.486763,0.518418
pattern_21,21-H-002,363476.244,6591679.064,187.328,186.578,17,13.5,0.854399,34.55834,70.602965,15.473985,0.491548
pattern_21,21-H-002,363476.244,6591679.064,186.578,185.828,18,14.25,0.859419,33.636832,71.438636,14.500705,0.481197
pattern_21,21-H-002,363476.244,6591679.064,185.828,185.078,19,15,0.840637,34.437697,70.199741,15.691264,0.495021
pattern_21,21-H-002,363476.244,6591679.064,185.078,184.328,20,15.75,0.852652,33.113684,70.324482,15.310282,0.470165
pattern_21,21-H-002,363476.244,6591679.064,184.328,183.815,21,16.263,0.869031,33.932411,68.472288,14.776407,0.460233
pattern_21,21-H-003,363468.415,6591681.633,200.016,199.266,0,0.75,0.896789,31.327124,71.413312,14.244776,0.429487
pattern_21,21-H-003,363468.415,6591681.633,199.266,198.516,1,1.5,0.884673,32.147515,69.570699,14.194332,0.435213
pattern_21,21-H-003,363468.415,6591681.633,198.516,197.766,2,2.25,0.863059,32.35966,71.037485,14.388301,0.458455
pattern_21,21-H-003,363468.415,6591681.633,197.766,197.016,3,3,0.904421,32.835381,68.829088,14.566786,0.430249
