Date,Feed_Ton_Dry,Feed_Grade_Au_ppm,Feed_Grade_Ag_ppm,Feed_Grade_Cu_ppm,Tail_Ton_Dry,Tail_Solution_Volume_m3,Tail_Solid_Au_ppm,Tail_Solid_Ag_ppm,Tail_Solid_Cu_ppm,Tail_Solution_Au_ppm,Tail_Solution_Ag_ppm,Tail_Solution_Cu_ppm,Slurry_Volume_m3,Residence_Time_hr,Au_Input_g,Au_Tail_g,Recovery_pct
2025-01-01,774.8062,0.6,17.0,58.0,457.5,860.0,0.04,11.1,58.9,0.01,0.781,1.61,549.1262850181819,11.742289844651133,464.88372,18.3,96.06353175800606
2025-01-02,1199.8416,0.53,10.0,71.0,1356.2,2439.7,0.03,11.1,62.8,0.01,0.872,1.81,850.3604648727273,7.582666723534785,635.916048,40.686,93.60198565078515
2025-01-03,780.5872000000002,0.49,22.0,79.0,830.7,1462.1,0.04,10.6,63.3,0.01,0.681,1.42,553.2234373818184,11.655326879345102,382.48772800000006,33.228,91.31266245488536
2025-01-04,1121.3455000000001,0.4,14.5,65.0,1013.5,2084.1,0.02,9.6,67.2,0.01,0.611,1.8,794.7281380000001,8.113466343631588,448.5382000000001,20.27,95.48087543045386
2025-01-05,223.8813,0.31,13.0,48.0,165.7,311.4,0.04,11.0,67.1,0.01,0.48,1.72,158.6707831636364,40.6376011477186,69.403203,6.628,90.45000848159702
2025-01-06,1090.8870000000002,0.32,12.0,42.0,1313.9452166634533,2701.943705248533,0.03977893543985267,12.195946811187927,64.51724739822421,0.009971583399999644,0.5307855274319186,1.6170136837931197,773.1413683636366,8.340001277705877,349.08384000000007,52.26734194515873,85.02728114106951
2025-01-07,1098.9388000000001,0.37,12.5,48.0,882.0,1943.724049824337,0.04,12.4,50.1,0.01,0.511,1.71,778.847898618182,8.278895033856966,406.60735600000004,35.28,91.323324706403
2025-01-08,1103.224,0.49,19.0,48.0,1135.4,2231.6,0.03,12.3,53.7,0.01,0.431,1.75,781.8849367272728,8.246737719477398,540.57976,34.062000000000005,93.69898717628644
2025-01-09,933.8154000000001,0.405,15.0,47.5,926.5588380186517,2018.2469739020137,0.029957851635905877,12.047977821443002,47.62592222212621,0.009989796429874498,0.33007873314097286,0.7095913132613969,661.8204416727274,9.742823874860848,378.1952370000001,27.757712201300116,92.66048075552573
2025-01-10,987.9856,0.45,19.5,51.5,984.1,1891.3,0.04,14.6,46.0,0.01,0.51,0.56,700.2123397818182,9.208635200586663,444.59352,39.364000000000004,91.14606978527262
