Feed_Ton_Dry,Feed_Grade_Au_ppm,Feed_Grade_Ag_ppm,Feed_Grade_Cu_ppm,Tail_Solid_Au_ppm,Tail_Solid_Ag_ppm,Tail_Solid_Cu_ppm,Tail_Solution_Au_ppm,Tail_Solution_Ag_ppm,Tail_Solution_Cu_ppm,Tailing_CN_ppm,Residence_Time_hr,NaCN_Added_Est_kg,Avg_Tank_CN_ppm,Avg_Tank_DO_ppm,Avg_Tank_Carbon_gpl
936.0382,0.85,27.5,65.0,0.05,19.3,54.2,0.01,0.779,1.5,300.0,9.719687694191043,327.61337,330.0,290.0,15.033333333333333
1064.069,0.63,15.0,56.0,0.05,16.0,65.3,0.00996845696535719,0.7,0.6,190.0,8.55019643823167,372.42414999999994,326.6666666666667,9.149999999999999,15.92
285.0275,0.53,13.0,57.0,0.03995649759387729,12.964152798955755,52.571986820887346,0.00999371452629561,0.5898288967336494,0.7801911343134978,240.0,31.919723443642226,114.01099999999998,350.0,9.225,14.100000000000001
874.5456,0.57,17.5,63.0,0.02996144492981439,11.027605384432652,59.5269536871747,0.009990556630451414,0.5301407566189437,0.9697266006742552,220.0,10.403115599498452,349.81824,330.0,8.3,14.193333333333333
530.1571000000001,0.7,22.0,71.5,0.06945078388951306,12.483107273953575,62.00825522849718,0.009975292228535371,0.4599491624851178,1.868072645573625,220.0,17.160949035357127,212.06284000000005,376.6666666666667,8.1,14.096666666666666
1298.2086,0.66,19.5,53.5,0.049769985758744875,12.942260225730575,54.84624722787187,0.009979718487529309,0.7196090501277882,2.2833225810769155,260.0,7.008117935617385,389.46257999999995,313.3333333333333,7.233333333333334,13.745000000000001
777.3320000000001,0.74,20.0,55.5,0.0797728884121087,14.485358369049312,53.95935745733387,0.00999179459688094,0.7499088282079243,2.3798154229874813,270.0,11.704135393670573,310.93280000000004,350.0,7.300000000000001,13.575000000000001
1239.1180000000002,0.67,18.0,54.5,0.0696236766362234,13.98708844442827,50.35688474298892,0.0099822504575876,0.6999247992250982,1.774088629054168,130.0,7.342318466709978,247.82360000000003,223.33333333333334,6.2625,13.808333333333332
1206.4464,0.69,21.5,49.0,0.06904105424405595,15.943417907357018,52.800532567580746,0.009960652527277992,0.8396857421605288,1.571465447642066,200.0,7.541154728326707,361.93392,300.0,6.6499999999999995,13.483333333333333
1143.3906,0.6,24.0,61.0,0.05941414486398967,17.881372701234962,51.83623737773998,0.009965754183194474,0.6197033105798079,1.5297002834522957,220.0,7.957034957111536,343.01718,296.6666666666667,7.3999999999999995,12.0
