pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
5,1,5-H-001,1,charge,363490.402,6591705.876,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.69,385.245
5,2,5-H-002,1,charge,363482.805,6591708.384,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.59,11.11,366.019
5,3,5-H-003,1,charge,363475.209,6591710.893,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.1,11.58,381.564
5,4,5-H-004,1,charge,363467.612,6591713.401,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.76,11.86,390.723
5,5,5-H-005,1,charge,363460.015,6591715.909,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.06,11.62,382.938
5,6,5-H-006,1,charge,363452.419,6591718.417,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.49,378.708
5,7,5-H-007,1,charge,363488.798,6591713.778,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,11.43,376.72
5,8,5-H-008,1,charge,363481.202,6591716.286,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,12.05,396.906
5,9,5-H-009,1,charge,363473.605,6591718.794,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.46,377.472
5,10,5-H-010,1,charge,363466.008,6591721.302,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.71,11.78,387.99
5,11,5-H-011,1,charge,363458.412,6591723.81,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.79,11.29,372.135
5,12,5-H-012,1,charge,363450.815,6591726.318,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.44,11.1,365.742
5,13,5-H-013,1,charge,363494.791,6591719.171,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.62,11.81,389.27
5,14,5-H-014,1,charge,363487.195,6591721.679,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.6,11.06,364.555
5,15,5-H-015,1,charge,363479.598,6591724.187,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.98,11.26,371.076
5,16,5-H-016,1,charge,363472.001,6591726.695,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.11,11.76,387.529
5,17,5-H-017,1,charge,363464.405,6591729.203,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,11.7,385.448
5,18,5-H-018,1,charge,363456.808,6591731.711,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.43,10.06,331.397
5,19,5-H-019,1,charge,363493.188,6591727.072,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,10.98,361.725
5,20,5-H-020,1,charge,363485.591,6591729.58,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
5,21,5-H-021,1,charge,363477.994,6591732.088,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.4,11.02,363.069
5,22,5-H-022,1,charge,363470.398,6591734.596,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.63,11.39,375.21
5,23,5-H-023,1,charge,363462.801,6591737.104,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,10.72,353.384
5,24,5-H-024,1,charge,363455.204,6591739.612,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.53,11.99,394.93
5,25,5-H-025,1,charge,363491.584,6591734.973,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.37,11.13,366.759
5,26,5-H-026,1,charge,363483.987,6591737.481,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.2,368.9
5,27,5-H-027,1,charge,363476.391,6591739.989,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.09,365.304
5,28,5-H-028,1,charge,363468.794,6591742.497,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,11.88,391.321
5,29,5-H-029,1,charge,363461.197,6591745.005,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,11.72,386.11
5,30,5-H-030,1,charge,363453.601,6591747.513,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.21,10.77,354.939
5,31,5-H-031,1,charge,363497.577,6591740.366,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.17,11.17,367.886
5,32,5-H-032,1,charge,363489.98,6591742.874,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,11.85,390.35
