pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
22,1,22-H-001,1,charge,363373.885,6591728.951,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.72,11.62,382.862
22,2,22-H-002,1,charge,363367.177,6591733.311,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.31,11.16,367.72
22,3,22-H-003,1,charge,363360.47,6591737.671,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,10.96,361.273
22,4,22-H-004,1,charge,363353.762,6591742.031,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.13,11.75,387.191
22,5,22-H-005,1,charge,363374.346,6591737.0,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,11.83,389.914
22,6,22-H-006,1,charge,363367.639,6591741.36,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.29,371.924
22,7,22-H-007,1,charge,363360.931,6591745.72,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.3,11.83,389.645
22,8,22-H-008,1,charge,363354.224,6591750.08,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.14,11.96,393.981
22,9,22-H-009,1,charge,363347.516,6591754.44,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.49,11.43,376.682
22,10,22-H-010,1,charge,363381.515,6591740.689,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.08,10.86,357.741
22,11,22-H-011,1,charge,363374.807,6591745.049,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.66,10.83,356.698
22,12,22-H-012,1,charge,363368.1,6591749.409,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.43,376.602
22,13,22-H-013,1,charge,363361.392,6591753.769,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.04,11.16,367.809
22,14,22-H-014,1,charge,363354.685,6591758.129,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.03,11.7,385.37
22,15,22-H-015,1,charge,363347.977,6591762.489,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.86,10.64,350.726
22,16,22-H-016,1,charge,363341.27,6591766.849,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.67,11.68,384.702
22,17,22-H-017,1,charge,363381.976,6591748.738,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,11.76,387.534
22,18,22-H-018,1,charge,363375.268,6591753.098,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.28,371.532
22,19,22-H-019,1,charge,363368.561,6591757.458,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.59,10.87,358.155
22,20,22-H-020,1,charge,363361.853,6591761.818,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.95,11.11,365.963
22,21,22-H-021,1,charge,363355.146,6591766.178,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.55,10.47,345.072
22,22,22-H-022,1,charge,363348.438,6591770.538,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
22,23,22-H-023,1,charge,363341.731,6591774.898,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.74,11.18,368.229
22,24,22-H-024,1,charge,363335.023,6591779.258,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.76,11.24,370.357
22,25,22-H-025,1,charge,363375.73,6591761.147,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.29,11.36,374.456
22,26,22-H-026,1,charge,363369.022,6591765.507,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.89,391.784
22,27,22-H-027,1,charge,363362.315,6591769.867,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.17,368.0
22,28,22-H-028,1,charge,363355.607,6591774.227,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,11.39,375.335
22,29,22-H-029,1,charge,363348.899,6591778.587,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.01,362.845
22,30,22-H-030,1,charge,363342.192,6591782.947,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.12,366.493
22,31,22-H-031,1,charge,363335.484,6591787.307,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.23,11.6,382.208
22,32,22-H-032,1,charge,363362.776,6591777.916,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,10.98,361.789
22,33,22-H-033,1,charge,363356.068,6591782.276,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.87,11.24,370.364
22,34,22-H-034,1,charge,363349.361,6591786.636,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
22,35,22-H-035,1,charge,363342.653,6591790.996,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,11.84,390.236
