pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
16,1,16-H-001,1,charge,363390.306,6591754.223,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.83,11.3,372.429
16,2,16-H-002,1,charge,363384.835,6591760.059,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.48,378.13
16,3,16-H-003,1,charge,363379.363,6591765.895,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.62,11.81,389.009
16,4,16-H-004,1,charge,363373.892,6591771.731,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.27,11.82,389.511
16,5,16-H-005,1,charge,363368.42,6591777.568,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.17,11.29,372.126
16,6,16-H-006,1,charge,363362.949,6591783.404,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.56,10.3,339.328
16,7,16-H-007,1,charge,363387.206,6591767.765,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.43,11.82,389.367
16,8,16-H-008,1,charge,363381.734,6591773.601,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.41,10.31,339.579
16,9,16-H-009,1,charge,363376.263,6591779.437,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.29,10.74,353.87
16,10,16-H-010,1,charge,363370.791,6591785.273,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.8,11.6,382.165
16,11,16-H-011,1,charge,363365.32,6591791.11,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.57,12.11,399.085
16,12,16-H-012,1,charge,363359.848,6591796.946,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.61,11.17,368.17
16,13,16-H-013,1,charge,363389.577,6591775.47,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.81,11.45,377.434
16,14,16-H-014,1,charge,363384.105,6591781.307,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,11.13,366.801
16,15,16-H-015,1,charge,363378.634,6591787.143,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.01,362.781
16,16,16-H-016,1,charge,363373.162,6591792.979,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.04,12.15,400.208
16,17,16-H-017,1,charge,363367.691,6591798.815,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,11.79,388.418
16,18,16-H-018,1,charge,363362.219,6591804.652,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.59,12.3,405.119
16,19,16-H-019,1,charge,363391.948,6591783.176,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.99,11.25,370.755
16,20,16-H-020,1,charge,363386.476,6591789.012,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.66,11.34,373.769
16,21,16-H-021,1,charge,363381.005,6591794.849,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.94,11.59,381.845
16,22,16-H-022,1,charge,363375.533,6591800.685,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.17,11.61,382.453
16,23,16-H-023,1,charge,363370.062,6591806.521,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.33,373.424
16,24,16-H-024,1,charge,363364.59,6591812.358,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.8,11.43,376.587
16,25,16-H-025,1,charge,363394.319,6591790.882,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.27,10.82,356.679
16,26,16-H-026,1,charge,363388.847,6591796.718,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.53,10.52,346.665
16,27,16-H-027,1,charge,363383.376,6591802.554,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.58,10.8,355.828
16,28,16-H-028,1,charge,363377.904,6591808.391,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.18,12.04,396.696
16,29,16-H-029,1,charge,363372.433,6591814.227,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.15,11.53,380.045
16,30,16-H-030,1,charge,363366.961,6591820.063,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.77,10.54,347.138
