pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
10,1,10-H-001,1,charge,363639.049,6591825.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.93,12.15,400.434
10,2,10-H-002,1,charge,363639.049,6591817.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.5,11.27,371.503
10,3,10-H-003,1,charge,363639.049,6591809.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,9.59,316.083
10,4,10-H-004,1,charge,363639.049,6591801.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.68,11.05,364.098
10,5,10-H-005,1,charge,363639.049,6591793.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.31,12.28,404.53
10,6,10-H-006,1,charge,363639.049,6591785.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.87,11.29,371.994
10,7,10-H-007,1,charge,363639.049,6591777.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.73,11.67,384.617
10,8,10-H-008,1,charge,363632.049,6591821.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.32,372.879
10,9,10-H-009,1,charge,363632.049,6591813.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.37,11.48,378.302
10,10,10-H-010,1,charge,363632.049,6591805.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.05,11.35,373.831
10,11,10-H-011,1,charge,363632.049,6591797.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,11.27,371.468
10,12,10-H-012,1,charge,363632.049,6591789.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.79,11.2,369.065
10,13,10-H-013,1,charge,363632.049,6591781.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.6,12.77,420.899
10,14,10-H-014,1,charge,363632.049,6591773.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.92,11.21,369.311
10,15,10-H-015,1,charge,363625.049,6591825.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.24,11.25,370.776
10,16,10-H-016,1,charge,363625.049,6591817.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.54,11.4,375.764
10,17,10-H-017,1,charge,363625.049,6591809.774,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.84,11.35,373.917
