pattern_number,hole_number,hole_id,deck,deck_type,design_x,design_y,design_collar_rl,design_toe_rl,design_bench_height,design_hole_length,explosive_product,explosive_density_gcc,hole_diameter_mm,design_stemming_m,design_explosive_column_m,design_explosive_kg
25,1,25-H-001,1,charge,363597.942,6591909.686,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.02,11.62,382.849
25,2,25-H-002,1,charge,363605.843,6591910.943,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.54,10.8,355.896
25,3,25-H-003,1,charge,363613.743,6591912.2,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.5,10.41,342.874
25,4,25-H-004,1,charge,363621.644,6591913.457,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.25,11.49,378.668
25,5,25-H-005,1,charge,363629.545,6591914.713,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.64,11.02,363.135
25,6,25-H-006,1,charge,363637.445,6591915.97,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.35,10.8,355.92
25,7,25-H-007,1,charge,363645.346,6591917.227,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.71,11.71,385.998
25,8,25-H-008,1,charge,363653.247,6591918.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,10.69,352.276
25,9,25-H-009,1,charge,363661.147,6591919.741,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,11.95,393.83
25,10,25-H-010,1,charge,363669.048,6591920.998,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.6,10.97,361.516
25,11,25-H-011,1,charge,363676.949,6591922.255,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,11.71,385.888
25,12,25-H-012,1,charge,363684.849,6591923.512,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.22,10.75,354.13
25,13,25-H-013,1,charge,363692.75,6591924.769,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.26,10.83,356.868
25,14,25-H-014,1,charge,363700.65,6591926.026,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.97,10.98,361.724
25,15,25-H-015,1,charge,363634.595,6591908.429,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.7,12.19,401.763
25,16,25-H-016,1,charge,363642.495,6591909.686,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.27,11.93,393.093
25,17,25-H-017,1,charge,363650.396,6591910.943,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.17,11.66,384.048
25,18,25-H-018,1,charge,363658.297,6591912.2,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.03,11.74,386.783
25,19,25-H-019,1,charge,363666.197,6591913.457,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.88,10.19,335.818
25,20,25-H-020,1,charge,363674.098,6591914.713,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,3.97,10.25,337.894
25,21,25-H-021,1,charge,363681.999,6591915.97,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.82,11.37,374.681
25,22,25-H-022,1,charge,363689.899,6591917.227,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.65,11.36,374.284
25,23,25-H-023,1,charge,363697.8,6591918.484,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,10.99,362.276
25,24,25-H-024,1,charge,363663.347,6591905.915,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.78,10.63,350.134
25,25,25-H-025,1,charge,363671.248,6591907.172,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.89,11.88,391.364
25,26,25-H-026,1,charge,363679.148,6591908.429,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.13,11.1,365.865
25,27,25-H-027,1,charge,363687.049,6591909.686,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.2,11.0,362.446
25,28,25-H-028,1,charge,363694.949,6591910.943,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.33,11.18,368.469
25,29,25-H-029,1,charge,363684.198,6591902.144,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,5.14,11.14,367.19
25,30,25-H-030,1,charge,363692.099,6591903.401,200.0,183.8,16.2,16.2,ANFO,0.8,229.0,4.71,11.88,391.368
